Rule Text,JSON Mapping
"If a man eats Cassava Root, then he must have a Tattoo on his face.","{'Eating Cassava': 'P', 'Eating Nuts': 'not_P', 'Has Tattoo': 'Q', 'No Tattoo': 'not_Q'}"
"If you enter the Zorg Zone, you must wear a Purple Badge.","{'Entering Zorg': 'P', 'Entering Alpha': 'not_P', 'Purple Badge': 'Q', 'No Badge': 'not_Q'}"
"If a hunter uses the Obsidian Spear, he must be Married.","{'Using Obsidian': 'P', 'Using Wood': 'not_P', 'Married': 'Q', 'Single': 'not_Q'}"
"If a wizard casts Fireball, he must hold a Ruby.","{'Casting Fireball': 'P', 'Casting Light': 'not_P', 'Holding Ruby': 'Q', 'Empty Hand': 'not_Q'}"
"If you drink the Duub Juice, you must offer a Coin to the spirits.","{'Drinking Duub': 'P', 'Drinking Water': 'not_P', 'Offered Coin': 'Q', 'No Coin': 'not_Q'}"
"If a Kalu tribe member sits on the Throne, they must wear the Feather.","{'Sitting on Throne': 'P', 'Sitting on Floor': 'not_P', 'Wearing Feather': 'Q', 'No Feather': 'not_Q'}"
"If a player enters the Red Dungeon, they must carry a Torch.","{'Entering Red': 'P', 'Entering Blue': 'not_P', 'Has Torch': 'Q', 'No Torch': 'not_Q'}"
"If a robot enters the Human Sector, it must activate Speech Mode.","{'Entering Human Sec': 'P', 'In Robot Sec': 'not_P', 'Speech On': 'Q', 'Speech Off': 'not_Q'}"
"If you eat the Aphlo Fruit, you must present a Grower's Token.","{'Eating Aphlo Fruit': 'P', 'Eating common fruit': 'not_P', ""Grower's Token"": 'Q', 'No Token': 'not_Q'}"
"If a politician speaks in the High Council, they must hold the Scepter.","{'Speaking': 'P', 'Listening': 'not_P', 'Holding Scepter': 'Q', 'Empty Hands': 'not_Q'}"
"If you operate the Time Machine, you must have a Chron-Key.","{'Operating Machine': 'P', 'Cleaning Machine': 'not_P', 'Has Key': 'Q', 'No Key': 'not_Q'}"
"If a scientist handles Element-115, they must wear Lead Gloves.","{'Handling 115': 'P', 'Handling Carbon': 'not_P', 'Lead Gloves': 'Q', 'Latex Gloves': 'not_Q'}"
"If a goblin enters the Cave, he must know the Password.","{'Entering Cave': 'P', 'Sleeping outside': 'not_P', 'Knows Password': 'Q', 'Silent': 'not_Q'}"
"If you fly a Dragon, you must have a Saddle.","{'Flying Dragon': 'P', 'Walking': 'not_P', 'Has Saddle': 'Q', 'Bareback': 'not_Q'}"
