Rule Text,JSON Mapping,claude-sonnet-4.6_responses,claude-sonnet-4.6_categories,claude-sonnet-4.6_card_orders,grok-4.1-fast_responses,grok-4.1-fast_categories,grok-4.1-fast_card_orders,gpt-5.2_responses,gpt-5.2_categories,gpt-5.2_card_orders
"If a person is Driving, then they must have a License.","{'Driving': 'P', 'Walking': 'not_P', 'Has License': 'Q', 'No License': 'not_Q'}","[['No License', 'Driving'], ['Driving', 'No License'], ['No License', 'Driving'], ['No License', 'Driving'], ['Driving', 'No License']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['Has License', 'Walking', 'No License', 'Driving'], ['Driving', 'No License', 'Has License', 'Walking'], ['No License', 'Driving', 'Walking', 'Has License'], ['No License', 'Has License', 'Walking', 'Driving'], ['Has License', 'Driving', 'No License', 'Walking']]","[[""'Has License'"", ""'Driving'""], ['Driving', 'No License'], ['Driving', 'No License'], ['Driving', 'No License'], ['Driving', 'No License']]","['NOISE', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['Has License', 'Walking', 'No License', 'Driving'], ['Driving', 'No License', 'Has License', 'Walking'], ['No License', 'Driving', 'Walking', 'Has License'], ['No License', 'Has License', 'Walking', 'Driving'], ['Has License', 'Driving', 'No License', 'Walking']]","[['Driving', 'No License'], ['Driving', 'No License'], ['No License', 'Driving'], ['No License', 'Driving'], ['Driving', 'No License']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['Has License', 'Walking', 'No License', 'Driving'], ['Driving', 'No License', 'Has License', 'Walking'], ['No License', 'Driving', 'Walking', 'Has License'], ['No License', 'Has License', 'Walking', 'Driving'], ['Has License', 'Driving', 'No License', 'Walking']]"
"If a customer pays with Credit Card, they must show ID.","{'Credit Card': 'P', 'Cash': 'not_P', 'Shows ID': 'Q', 'No ID': 'not_Q'}","[['Credit Card', 'No ID'], ['No ID', 'Credit Card'], ['Credit Card', 'No ID'], ['No ID', 'Credit Card'], ['No ID', 'Credit Card']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['Credit Card', 'Shows ID', 'Cash', 'No ID'], ['No ID', 'Credit Card', 'Cash', 'Shows ID'], ['Cash', 'Credit Card', 'No ID', 'Shows ID'], ['No ID', 'Cash', 'Shows ID', 'Credit Card'], ['No ID', 'Credit Card', 'Shows ID', 'Cash']]","[['Credit Card', 'No ID'], ['Credit Card', 'No ID'], ['Credit Card', 'No ID'], ['Credit Card', 'No ID'], ['Credit Card', 'No ID']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['Credit Card', 'Shows ID', 'Cash', 'No ID'], ['No ID', 'Credit Card', 'Cash', 'Shows ID'], ['Cash', 'Credit Card', 'No ID', 'Shows ID'], ['No ID', 'Cash', 'Shows ID', 'Credit Card'], ['No ID', 'Credit Card', 'Shows ID', 'Cash']]","[['Credit Card', 'No ID'], ['Credit Card', 'No ID'], ['Credit Card', 'No ID'], ['Credit Card', 'No ID', 'Shows ID'], ['Credit Card', 'No ID', 'Shows ID']]","['CORRECT', 'CORRECT', 'CORRECT', 'OVER_SELECTION', 'OVER_SELECTION']","[['Credit Card', 'Shows ID', 'Cash', 'No ID'], ['No ID', 'Credit Card', 'Cash', 'Shows ID'], ['Cash', 'Credit Card', 'No ID', 'Shows ID'], ['No ID', 'Cash', 'Shows ID', 'Credit Card'], ['No ID', 'Credit Card', 'Shows ID', 'Cash']]"
"If a passenger is Boarding, they must have a Boarding Pass.","{'Boarding': 'P', 'Waiting': 'not_P', 'Has Pass': 'Q', 'No Pass': 'not_Q'}","[['Boarding', 'No Pass'], ['Boarding', 'No Pass'], ['No Pass', 'Boarding'], ['No Pass', 'Boarding'], ['Boarding', 'No Pass']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['Waiting', 'No Pass', 'Has Pass', 'Boarding'], ['Waiting', 'No Pass', 'Boarding', 'Has Pass'], ['No Pass', 'Boarding', 'Waiting', 'Has Pass'], ['No Pass', 'Waiting', 'Has Pass', 'Boarding'], ['Has Pass', 'Waiting', 'Boarding', 'No Pass']]","[['Boarding', 'No Pass'], ['Boarding', 'No Pass'], ['Boarding', 'No Pass'], ['Boarding', 'No Pass'], ['Boarding', 'No Pass']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['Waiting', 'No Pass', 'Has Pass', 'Boarding'], ['Waiting', 'No Pass', 'Boarding', 'Has Pass'], ['No Pass', 'Boarding', 'Waiting', 'Has Pass'], ['No Pass', 'Waiting', 'Has Pass', 'Boarding'], ['Has Pass', 'Waiting', 'Boarding', 'No Pass']]","[['Boarding', 'No Pass'], ['Boarding', 'No Pass'], ['No Pass', 'Boarding'], ['No Pass', 'Boarding'], ['Boarding', 'No Pass']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['Waiting', 'No Pass', 'Has Pass', 'Boarding'], ['Waiting', 'No Pass', 'Boarding', 'Has Pass'], ['No Pass', 'Boarding', 'Waiting', 'Has Pass'], ['No Pass', 'Waiting', 'Has Pass', 'Boarding'], ['Has Pass', 'Waiting', 'Boarding', 'No Pass']]"
"If you enter the Construction Site, you must wear a Helmet.","{'Entering Site': 'P', 'Passing by': 'not_P', 'Helmet': 'Q', 'Bare Head': 'not_Q'}","[['Bare Head', 'Entering Site'], ['Entering Site', 'Bare Head'], ['Entering Site', 'Bare Head'], ['Bare Head', 'Entering Site'], ['Entering Site', 'Bare Head']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['Bare Head', 'Passing by', 'Entering Site', 'Helmet'], ['Entering Site', 'Helmet', 'Bare Head', 'Passing by'], ['Entering Site', 'Bare Head', 'Helmet', 'Passing by'], ['Bare Head', 'Entering Site', 'Passing by', 'Helmet'], ['Passing by', 'Entering Site', 'Helmet', 'Bare Head']]","[['Entering Site', 'Bare Head'], ['Entering Site', 'Bare Head'], ['Entering Site', 'Bare Head'], ['Bare Head', 'Entering Site'], ['Entering Site', 'Bare Head']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['Bare Head', 'Passing by', 'Entering Site', 'Helmet'], ['Entering Site', 'Helmet', 'Bare Head', 'Passing by'], ['Entering Site', 'Bare Head', 'Helmet', 'Passing by'], ['Bare Head', 'Entering Site', 'Passing by', 'Helmet'], ['Passing by', 'Entering Site', 'Helmet', 'Bare Head']]","[['Entering Site', 'Helmet'], ['Entering Site', 'Bare Head'], ['Entering Site', 'Bare Head'], ['Entering Site', 'Helmet'], ['Entering Site', 'Bare Head']]","['MATCHING_BIAS', 'CORRECT', 'CORRECT', 'MATCHING_BIAS', 'CORRECT']","[['Bare Head', 'Passing by', 'Entering Site', 'Helmet'], ['Entering Site', 'Helmet', 'Bare Head', 'Passing by'], ['Entering Site', 'Bare Head', 'Helmet', 'Passing by'], ['Bare Head', 'Entering Site', 'Passing by', 'Helmet'], ['Passing by', 'Entering Site', 'Helmet', 'Bare Head']]"
"If a student gets a Scholarship, they must have a High GPA.","{'Scholarship': 'P', 'Loan': 'not_P', 'High GPA': 'Q', 'Low GPA': 'not_Q'}","[['Scholarship', 'Low GPA'], ['Scholarship', 'Low GPA'], ['Scholarship', 'Low GPA'], ['Scholarship', 'Low GPA'], ['Scholarship', 'Low GPA']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['High GPA', 'Scholarship', 'Low GPA', 'Loan'], ['Loan', 'High GPA', 'Scholarship', 'Low GPA'], ['Scholarship', 'High GPA', 'Low GPA', 'Loan'], ['Loan', 'Low GPA', 'High GPA', 'Scholarship'], ['Loan', 'Scholarship', 'High GPA', 'Low GPA']]","[['High GPA', 'Scholarship'], ['Scholarship', 'Low GPA'], ['Scholarship', 'Low GPA'], ['Scholarship', 'Low GPA'], ['Scholarship', 'High GPA']]","['MATCHING_BIAS', 'CORRECT', 'CORRECT', 'CORRECT', 'MATCHING_BIAS']","[['High GPA', 'Scholarship', 'Low GPA', 'Loan'], ['Loan', 'High GPA', 'Scholarship', 'Low GPA'], ['Scholarship', 'High GPA', 'Low GPA', 'Loan'], ['Loan', 'Low GPA', 'High GPA', 'Scholarship'], ['Loan', 'Scholarship', 'High GPA', 'Low GPA']]","[['Scholarship', 'Low GPA'], ['Scholarship', 'Low GPA'], ['Scholarship', 'Low GPA'], ['Scholarship', 'Low GPA'], ['Scholarship', 'Low GPA']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['High GPA', 'Scholarship', 'Low GPA', 'Loan'], ['Loan', 'High GPA', 'Scholarship', 'Low GPA'], ['Scholarship', 'High GPA', 'Low GPA', 'Loan'], ['Loan', 'Low GPA', 'High GPA', 'Scholarship'], ['Loan', 'Scholarship', 'High GPA', 'Low GPA']]"
"If you use the Express Lane, you must have <10 Items.","{'Express Lane': 'P', 'Regular Lane': 'not_P', '5 Items': 'Q', '20 Items': 'not_Q'}","[['Express Lane', '20 Items'], ['20 Items', 'Express Lane'], ['Express Lane', '20 Items'], ['**Express Lane', '20 Items**'], ['Express Lane', '20 Items']]","['CORRECT', 'CORRECT', 'CORRECT', 'NOISE', 'CORRECT']","[['Express Lane', '20 Items', '5 Items', 'Regular Lane'], ['20 Items', '5 Items', 'Regular Lane', 'Express Lane'], ['5 Items', '20 Items', 'Express Lane', 'Regular Lane'], ['Regular Lane', 'Express Lane', '20 Items', '5 Items'], ['Express Lane', '20 Items', 'Regular Lane', '5 Items']]","[['Express Lane', '20 Items'], [""'20 Items'"", ""'Express Lane'""], ['Express Lane', '20 Items'], ['Express Lane', '20 Items'], ['Express Lane', '20 Items']]","['CORRECT', 'NOISE', 'CORRECT', 'CORRECT', 'CORRECT']","[['Express Lane', '20 Items', '5 Items', 'Regular Lane'], ['20 Items', '5 Items', 'Regular Lane', 'Express Lane'], ['5 Items', '20 Items', 'Express Lane', 'Regular Lane'], ['Regular Lane', 'Express Lane', '20 Items', '5 Items'], ['Express Lane', '20 Items', 'Regular Lane', '5 Items']]","[['Express Lane', '20 Items', '5 Items'], ['Express Lane', '20 Items', '5 Items'], ['20 Items', 'Express Lane'], ['Express Lane', '20 Items', '5 Items'], ['Express Lane', '20 Items']]","['OVER_SELECTION', 'OVER_SELECTION', 'CORRECT', 'OVER_SELECTION', 'CORRECT']","[['Express Lane', '20 Items', '5 Items', 'Regular Lane'], ['20 Items', '5 Items', 'Regular Lane', 'Express Lane'], ['5 Items', '20 Items', 'Express Lane', 'Regular Lane'], ['Regular Lane', 'Express Lane', '20 Items', '5 Items'], ['Express Lane', '20 Items', 'Regular Lane', '5 Items']]"
"If a person is Voting, they must be Registered.","{'Voting': 'P', 'Observing': 'not_P', 'Registered': 'Q', 'Unregistered': 'not_Q'}","[['Voting', 'Unregistered'], ['Voting', 'Unregistered'], ['Voting', 'Unregistered'], ['Voting', 'Unregistered'], ['Voting', 'Unregistered']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['Registered', 'Observing', 'Unregistered', 'Voting'], ['Voting', 'Observing', 'Registered', 'Unregistered'], ['Unregistered', 'Voting', 'Observing', 'Registered'], ['Observing', 'Unregistered', 'Registered', 'Voting'], ['Voting', 'Unregistered', 'Registered', 'Observing']]","[['Registered', 'Unregistered'], ['Voting', 'Unregistered'], ['Unregistered', 'Voting'], ['Voting', 'Unregistered'], ['Voting', 'Unregistered']]","['NOISE', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['Registered', 'Observing', 'Unregistered', 'Voting'], ['Voting', 'Observing', 'Registered', 'Unregistered'], ['Unregistered', 'Voting', 'Observing', 'Registered'], ['Observing', 'Unregistered', 'Registered', 'Voting'], ['Voting', 'Unregistered', 'Registered', 'Observing']]","[['Registered', 'Unregistered', 'Voting'], ['Voting', 'Unregistered'], ['Unregistered', 'Voting'], ['Voting', 'Unregistered'], ['Voting', 'Unregistered']]","['OVER_SELECTION', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['Registered', 'Observing', 'Unregistered', 'Voting'], ['Voting', 'Observing', 'Registered', 'Unregistered'], ['Unregistered', 'Voting', 'Observing', 'Registered'], ['Observing', 'Unregistered', 'Registered', 'Voting'], ['Voting', 'Unregistered', 'Registered', 'Observing']]"
"If a nurse handles Blood, she must wear Gloves.","{'Handles Blood': 'P', 'Files Papers': 'not_P', 'Gloves': 'Q', 'Bare Hands': 'not_Q'}","[['Bare Hands', 'Handles Blood'], ['Handles Blood', 'Bare Hands'], ['**Handles Blood', 'Bare Hands**'], ['Handles Blood', 'Bare Hands'], ['Bare Hands', 'Handles Blood']]","['CORRECT', 'CORRECT', 'NOISE', 'CORRECT', 'CORRECT']","[['Bare Hands', 'Handles Blood', 'Gloves', 'Files Papers'], ['Files Papers', 'Gloves', 'Bare Hands', 'Handles Blood'], ['Gloves', 'Files Papers', 'Bare Hands', 'Handles Blood'], ['Handles Blood', 'Bare Hands', 'Gloves', 'Files Papers'], ['Bare Hands', 'Files Papers', 'Gloves', 'Handles Blood']]","[['Bare Hands', 'Handles Blood'], ['Handles Blood', 'Bare Hands'], ['Gloves', 'Bare Hands', 'Handles Blood'], ['Handles Blood', 'Bare Hands'], ['Handles Blood', 'Bare Hands']]","['CORRECT', 'CORRECT', 'OVER_SELECTION', 'CORRECT', 'CORRECT']","[['Bare Hands', 'Handles Blood', 'Gloves', 'Files Papers'], ['Files Papers', 'Gloves', 'Bare Hands', 'Handles Blood'], ['Gloves', 'Files Papers', 'Bare Hands', 'Handles Blood'], ['Handles Blood', 'Bare Hands', 'Gloves', 'Files Papers'], ['Bare Hands', 'Files Papers', 'Gloves', 'Handles Blood']]","[['Bare Hands', 'Handles Blood'], ['Handles Blood', 'Bare Hands'], ['Gloves', 'Bare Hands', 'Handles Blood'], ['Handles Blood', 'Bare Hands'], ['Bare Hands', 'Handles Blood']]","['CORRECT', 'CORRECT', 'OVER_SELECTION', 'CORRECT', 'CORRECT']","[['Bare Hands', 'Handles Blood', 'Gloves', 'Files Papers'], ['Files Papers', 'Gloves', 'Bare Hands', 'Handles Blood'], ['Gloves', 'Files Papers', 'Bare Hands', 'Handles Blood'], ['Handles Blood', 'Bare Hands', 'Gloves', 'Files Papers'], ['Bare Hands', 'Files Papers', 'Gloves', 'Handles Blood']]"
"If a traveler enters the Country, they must have a Visa.","{'Entering': 'P', 'Leaving': 'not_P', 'Has Visa': 'Q', 'No Visa': 'not_Q'}","[['Entering', 'No Visa'], ['Entering', 'No Visa'], ['Entering', 'No Visa'], ['Entering', 'No Visa'], ['No Visa', 'Entering']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['Has Visa', 'Leaving', 'Entering', 'No Visa'], ['Leaving', 'Entering', 'Has Visa', 'No Visa'], ['Entering', 'No Visa', 'Leaving', 'Has Visa'], ['Entering', 'Leaving', 'Has Visa', 'No Visa'], ['No Visa', 'Entering', 'Has Visa', 'Leaving']]","[['Entering', 'No Visa'], ['Entering', 'No Visa'], ['Entering', 'No Visa'], ['Entering', 'No Visa'], ['No Visa', 'Entering']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['Has Visa', 'Leaving', 'Entering', 'No Visa'], ['Leaving', 'Entering', 'Has Visa', 'No Visa'], ['Entering', 'No Visa', 'Leaving', 'Has Visa'], ['Entering', 'Leaving', 'Has Visa', 'No Visa'], ['No Visa', 'Entering', 'Has Visa', 'Leaving']]","[['Entering', 'No Visa'], ['Entering', 'No Visa'], ['Entering', 'No Visa'], ['Entering', 'No Visa'], ['No Visa', 'Entering']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['Has Visa', 'Leaving', 'Entering', 'No Visa'], ['Leaving', 'Entering', 'Has Visa', 'No Visa'], ['Entering', 'No Visa', 'Leaving', 'Has Visa'], ['Entering', 'Leaving', 'Has Visa', 'No Visa'], ['No Visa', 'Entering', 'Has Visa', 'Leaving']]"
"If a child plays Video Games, they must finish Homework.","{'Playing Games': 'P', 'Reading Book': 'not_P', 'Homework Done': 'Q', 'Homework Incomplete': 'not_Q'}","[['Playing Games', 'Homework Incomplete'], ['Playing Games', 'Homework Incomplete'], ['Playing Games', 'Homework Incomplete'], ['Playing Games', 'Homework Incomplete'], ['Playing Games', 'Homework Incomplete']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['Playing Games', 'Reading Book', 'Homework Incomplete', 'Homework Done'], ['Homework Done', 'Playing Games', 'Homework Incomplete', 'Reading Book'], ['Playing Games', 'Homework Incomplete', 'Reading Book', 'Homework Done'], ['Playing Games', 'Reading Book', 'Homework Done', 'Homework Incomplete'], ['Reading Book', 'Playing Games', 'Homework Done', 'Homework Incomplete']]","[['Playing Games', 'Homework Incomplete'], ['Homework Incomplete', 'Playing Games'], ['Playing Games', 'Homework Incomplete'], ['Playing Games', 'Homework Incomplete'], ['Playing Games', 'Homework Incomplete']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['Playing Games', 'Reading Book', 'Homework Incomplete', 'Homework Done'], ['Homework Done', 'Playing Games', 'Homework Incomplete', 'Reading Book'], ['Playing Games', 'Homework Incomplete', 'Reading Book', 'Homework Done'], ['Playing Games', 'Reading Book', 'Homework Done', 'Homework Incomplete'], ['Reading Book', 'Playing Games', 'Homework Done', 'Homework Incomplete']]","[['Playing Games', 'Homework Incomplete'], ['Playing Games', 'Homework Incomplete'], ['Playing Games', 'Homework Incomplete'], ['Playing Games', 'Homework Incomplete'], ['Playing Games', 'Homework Incomplete']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['Playing Games', 'Reading Book', 'Homework Incomplete', 'Homework Done'], ['Homework Done', 'Playing Games', 'Homework Incomplete', 'Reading Book'], ['Playing Games', 'Homework Incomplete', 'Reading Book', 'Homework Done'], ['Playing Games', 'Reading Book', 'Homework Done', 'Homework Incomplete'], ['Reading Book', 'Playing Games', 'Homework Done', 'Homework Incomplete']]"
