Rule Text,JSON Mapping,qwen3.5-397b-a17b_responses,qwen3.5-397b-a17b_categories,qwen3.5-397b-a17b_card_orders,glm-4.7-flash_responses,glm-4.7-flash_categories,glm-4.7-flash_card_orders,qwen3-next-80b-a3b-instruct_responses,qwen3-next-80b-a3b-instruct_categories,qwen3-next-80b-a3b-instruct_card_orders,gemma-3-27b-it_responses,gemma-3-27b-it_categories,gemma-3-27b-it_card_orders,deepseek-v3.2_responses,deepseek-v3.2_categories,deepseek-v3.2_card_orders,gemma-3-12b-it_responses,gemma-3-12b-it_categories,gemma-3-12b-it_card_orders
"If there is an A on one side, then there is a 3 on the other side.","{'A': 'P', 'D': 'not_P', '3': 'Q', '7': 'not_Q'}","[['A', '7'], ['A', '7'], ['A', '7'], ['A', '7'], ['A', '7']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['3', 'D', '7', 'A'], ['A', '7', '3', 'D'], ['7', 'A', 'D', '3'], ['7', '3', 'D', 'A'], ['3', 'A', '7', 'D']]","[['D', '7', 'A'], ['A', '3'], ['A', '3'], ['A', '3'], ['A']]","['LOGIC_ERROR', 'MATCHING_BIAS', 'MATCHING_BIAS', 'MATCHING_BIAS', 'CONFIRMATION_BIAS']","[['3', 'D', '7', 'A'], ['A', '7', '3', 'D'], ['7', 'A', 'D', '3'], ['7', '3', 'D', 'A'], ['3', 'A', '7', 'D']]","[['So cards with **non-3** on visible side: **D'], ['- So if we see a'], ['A', '7'], ['A', '7'], [""Wait — but the card showing **D** — the rule doesn't say anything about D. But if the card has D""]]","['NOISE', 'NOISE', 'CORRECT', 'CORRECT', 'NOISE']","[['3', 'D', '7', 'A'], ['A', '7', '3', 'D'], ['7', 'A', 'D', '3'], ['7', '3', 'D', 'A'], ['3', 'A', '7', 'D']]","[['A', '3'], ['A', '3'], ['A', '3'], ['A', '3'], ['A', '3']]","['MATCHING_BIAS', 'MATCHING_BIAS', 'MATCHING_BIAS', 'MATCHING_BIAS', 'MATCHING_BIAS']","[['3', 'D', '7', 'A'], ['A', '7', '3', 'D'], ['7', 'A', 'D', '3'], ['7', '3', 'D', 'A'], ['3', 'A', '7', 'D']]","[['D', '7', 'A'], ['A', '7', 'D'], ['Card showing 3: hidden side could be A (ok'], ['7', 'D', 'A'], ['A', '7', 'D']]","['LOGIC_ERROR', 'LOGIC_ERROR', 'NOISE', 'LOGIC_ERROR', 'LOGIC_ERROR']","[['3', 'D', '7', 'A'], ['A', '7', '3', 'D'], ['7', 'A', 'D', '3'], ['7', '3', 'D', 'A'], ['3', 'A', '7', 'D']]","[['A'], ['A', '3'], ['A', '3'], ['A'], ['A', '3']]","['CONFIRMATION_BIAS', 'MATCHING_BIAS', 'MATCHING_BIAS', 'CONFIRMATION_BIAS', 'MATCHING_BIAS']","[['3', 'D', '7', 'A'], ['A', '7', '3', 'D'], ['7', 'A', 'D', '3'], ['7', '3', 'D', 'A'], ['3', 'A', '7', 'D']]"
"If the letter is D, then the number must be 5.","{'D': 'P', 'F': 'not_P', '5': 'Q', '8': 'not_Q'}","[['D', '8'], ['D', '8'], ['D', '8'], ['8', 'D'], ['D', '8']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['D', '5', 'F', '8'], ['8', 'D', 'F', '5'], ['F', 'D', '8', '5'], ['8', 'F', '5', 'D'], ['8', 'D', '5', 'F']]","[['D'], ['D'], ['D', '5'], ['D'], ['D']]","['CONFIRMATION_BIAS', 'CONFIRMATION_BIAS', 'MATCHING_BIAS', 'CONFIRMATION_BIAS', 'CONFIRMATION_BIAS']","[['D', '5', 'F', '8'], ['8', 'D', 'F', '5'], ['F', 'D', '8', '5'], ['8', 'F', '5', 'D'], ['8', 'D', '5', 'F']]","[['D', '8'], ['8', 'D'], ['D', '8'], ['D', '8'], ['8', 'D']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['D', '5', 'F', '8'], ['8', 'D', 'F', '5'], ['F', 'D', '8', '5'], ['8', 'F', '5', 'D'], ['8', 'D', '5', 'F']]","[['D', '5'], ['D', '5'], ['D', '5'], ['D', '5'], ['D', '5']]","['MATCHING_BIAS', 'MATCHING_BIAS', 'MATCHING_BIAS', 'MATCHING_BIAS', 'MATCHING_BIAS']","[['D', '5', 'F', '8'], ['8', 'D', 'F', '5'], ['F', 'D', '8', '5'], ['8', 'F', '5', 'D'], ['8', 'D', '5', 'F']]","[['D', '8'], ['8', 'D'], ['D', '8'], ['8', 'D'], ['8', 'D']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['D', '5', 'F', '8'], ['8', 'D', 'F', '5'], ['F', 'D', '8', '5'], ['8', 'F', '5', 'D'], ['8', 'D', '5', 'F']]","[['D', '5'], ['D', '5'], ['D', '5'], ['D'], ['D']]","['MATCHING_BIAS', 'MATCHING_BIAS', 'MATCHING_BIAS', 'CONFIRMATION_BIAS', 'CONFIRMATION_BIAS']","[['D', '5', 'F', '8'], ['8', 'D', 'F', '5'], ['F', 'D', '8', '5'], ['8', 'F', '5', 'D'], ['8', 'D', '5', 'F']]"
"If there is a U on the card, then there is an 8 on the back.","{'U': 'P', 'G': 'not_P', '8': 'Q', '1': 'not_Q'}","[['U', '1'], ['U', '1'], ['U'], ['1', 'U'], ['U', '1']]","['CORRECT', 'CORRECT', 'CONFIRMATION_BIAS', 'CORRECT', 'CORRECT']","[['G', '1', '8', 'U'], ['G', '1', 'U', '8'], ['1', 'U', 'G', '8'], ['1', 'G', '8', 'U'], ['8', 'G', 'U', '1']]","[['U'], ['U'], ['U'], ['U'], ['U']]","['CONFIRMATION_BIAS', 'CONFIRMATION_BIAS', 'CONFIRMATION_BIAS', 'CONFIRMATION_BIAS', 'CONFIRMATION_BIAS']","[['G', '1', '8', 'U'], ['G', '1', 'U', '8'], ['1', 'U', 'G', '8'], ['1', 'G', '8', 'U'], ['8', 'G', 'U', '1']]","[['G', '1', 'U'], ['U', '1'], ['To falsify this'], ['But wait'], ['But we can infer: if a card has a **non-8 on']]","['LOGIC_ERROR', 'CORRECT', 'NOISE', 'NOISE', 'NOISE']","[['G', '1', '8', 'U'], ['G', '1', 'U', '8'], ['1', 'U', 'G', '8'], ['1', 'G', '8', 'U'], ['8', 'G', 'U', '1']]","[['U'], ['U'], ['U'], ['U'], ['U', '1']]","['CONFIRMATION_BIAS', 'CONFIRMATION_BIAS', 'CONFIRMATION_BIAS', 'CONFIRMATION_BIAS', 'CORRECT']","[['G', '1', '8', 'U'], ['G', '1', 'U', '8'], ['1', 'U', 'G', '8'], ['1', 'G', '8', 'U'], ['8', 'G', 'U', '1']]","[['G', '1', 'U'], ['1', 'U'], ['U', '1', 'G'], ['U', '1', 'G'], ['G', 'U', '1']]","['LOGIC_ERROR', 'CORRECT', 'LOGIC_ERROR', 'LOGIC_ERROR', 'LOGIC_ERROR']","[['G', '1', '8', 'U'], ['G', '1', 'U', '8'], ['1', 'U', 'G', '8'], ['1', 'G', '8', 'U'], ['8', 'G', 'U', '1']]","[['U'], ['U'], ['U'], ['U'], ['U']]","['CONFIRMATION_BIAS', 'CONFIRMATION_BIAS', 'CONFIRMATION_BIAS', 'CONFIRMATION_BIAS', 'CONFIRMATION_BIAS']","[['G', '1', '8', 'U'], ['G', '1', 'U', '8'], ['1', 'U', 'G', '8'], ['1', 'G', '8', 'U'], ['8', 'G', 'U', '1']]"
"If the card shows an E, then the number is 2.","{'E': 'P', 'K': 'not_P', '2': 'Q', '9': 'not_Q'}","[['E', '9'], ['E', '9'], ['E', '9'], ['E', '9'], ['E', '9']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['9', 'K', 'E', '2'], ['E', '2', '9', 'K'], ['E', '9', '2', 'K'], ['9', 'E', 'K', '2'], ['K', 'E', '2', '9']]","[['E'], ['E'], ['E'], ['card2'], ['E', '9']]","['CONFIRMATION_BIAS', 'CONFIRMATION_BIAS', 'CONFIRMATION_BIAS', 'NOISE', 'CORRECT']","[['9', 'K', 'E', '2'], ['E', '2', '9', 'K'], ['E', '9', '2', 'K'], ['9', 'E', 'K', '2'], ['K', 'E', '2', '9']]","[['So we are looking at'], ['Similarly'], ['E', '9'], ['We must look for **possible violations** of'], ['E', '9']]","['NOISE', 'NOISE', 'CORRECT', 'NOISE', 'CORRECT']","[['9', 'K', 'E', '2'], ['E', '2', '9', 'K'], ['E', '9', '2', 'K'], ['9', 'E', 'K', '2'], ['K', 'E', '2', '9']]","[['E', '2'], ['E', '2'], ['E', '2'], ['E', '2'], ['E', '2']]","['MATCHING_BIAS', 'MATCHING_BIAS', 'MATCHING_BIAS', 'MATCHING_BIAS', 'MATCHING_BIAS']","[['9', 'K', 'E', '2'], ['E', '2', '9', 'K'], ['E', '9', '2', 'K'], ['9', 'E', 'K', '2'], ['K', 'E', '2', '9']]","[['E', '9'], ['E', '9'], ['E', '9'], ['E', '9', 'K'], ['E', '9']]","['CORRECT', 'CORRECT', 'CORRECT', 'LOGIC_ERROR', 'CORRECT']","[['9', 'K', 'E', '2'], ['E', '2', '9', 'K'], ['E', '9', '2', 'K'], ['9', 'E', 'K', '2'], ['K', 'E', '2', '9']]","[['E'], ['E'], ['E'], ['E'], ['E', '2']]","['CONFIRMATION_BIAS', 'CONFIRMATION_BIAS', 'CONFIRMATION_BIAS', 'CONFIRMATION_BIAS', 'MATCHING_BIAS']","[['9', 'K', 'E', '2'], ['E', '2', '9', 'K'], ['E', '9', '2', 'K'], ['9', 'E', 'K', '2'], ['K', 'E', '2', '9']]"
"If the card shows a 7, then the letter is X.","{'7': 'P', '4': 'not_P', 'X': 'Q', 'Y': 'not_Q'}","[['7', 'Y'], ['7', 'Y'], ['7', 'Y'], ['7', 'Y'], ['7', 'Y']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['X', '7', 'Y', '4'], ['4', 'X', '7', 'Y'], ['7', 'X', 'Y', '4'], ['4', 'Y', 'X', '7'], ['4', '7', 'X', 'Y']]","[['7'], ['7'], ['7'], ['card2', 'card4'], ['7']]","['CONFIRMATION_BIAS', 'CONFIRMATION_BIAS', 'CONFIRMATION_BIAS', 'NOISE', 'CONFIRMATION_BIAS']","[['X', '7', 'Y', '4'], ['4', 'X', '7', 'Y'], ['7', 'X', 'Y', '4'], ['4', 'Y', 'X', '7'], ['4', '7', 'X', 'Y']]","[['7', 'Y'], ['7', 'Y'], ['7', 'Y'], ['7', 'Y'], ['7', 'Y']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['X', '7', 'Y', '4'], ['4', 'X', '7', 'Y'], ['7', 'X', 'Y', '4'], ['4', 'Y', 'X', '7'], ['4', '7', 'X', 'Y']]","[['7', 'X'], ['7', 'X'], ['7'], ['7', 'X'], ['7', 'X']]","['MATCHING_BIAS', 'MATCHING_BIAS', 'CONFIRMATION_BIAS', 'MATCHING_BIAS', 'MATCHING_BIAS']","[['X', '7', 'Y', '4'], ['4', 'X', '7', 'Y'], ['7', 'X', 'Y', '4'], ['4', 'Y', 'X', '7'], ['4', '7', 'X', 'Y']]","[['7', 'Y'], ['7', 'Y'], ['7', 'Y'], ['Y', '7'], ['7', 'Y']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['X', '7', 'Y', '4'], ['4', 'X', '7', 'Y'], ['7', 'X', 'Y', '4'], ['4', 'Y', 'X', '7'], ['4', '7', 'X', 'Y']]","[['7', 'Y'], ['X', '7'], ['7', 'X'], ['7'], ['7']]","['CORRECT', 'MATCHING_BIAS', 'MATCHING_BIAS', 'CONFIRMATION_BIAS', 'CONFIRMATION_BIAS']","[['X', '7', 'Y', '4'], ['4', 'X', '7', 'Y'], ['7', 'X', 'Y', '4'], ['4', 'Y', 'X', '7'], ['4', '7', 'X', 'Y']]"
"If the letter is K, then the number is 4.","{'K': 'P', 'A': 'not_P', '4': 'Q', '9': 'not_Q'}","[['K', '9'], ['K', '9'], ['9', 'K'], ['K', '9'], ['K', '9']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['K', '9', '4', 'A'], ['9', '4', 'A', 'K'], ['4', '9', 'K', 'A'], ['A', 'K', '9', '4'], ['K', '9', 'A', '4']]","[['K', '4'], ['K'], ['K'], ['K'], ['K']]","['MATCHING_BIAS', 'CONFIRMATION_BIAS', 'CONFIRMATION_BIAS', 'CONFIRMATION_BIAS', 'CONFIRMATION_BIAS']","[['K', '9', '4', 'A'], ['9', '4', 'A', 'K'], ['4', '9', 'K', 'A'], ['A', 'K', '9', '4'], ['K', '9', 'A', '4']]","[['K', '9'], [""- Card **'A'** → shows letter that is not K → so not P → rule""], ['K', '9'], ['K', '9'], ['K', '9']]","['CORRECT', 'NOISE', 'CORRECT', 'CORRECT', 'CORRECT']","[['K', '9', '4', 'A'], ['9', '4', 'A', 'K'], ['4', '9', 'K', 'A'], ['A', 'K', '9', '4'], ['K', '9', 'A', '4']]","[['K', '4'], ['K'], ['K', '4'], ['K', '9'], ['K', '9']]","['MATCHING_BIAS', 'CONFIRMATION_BIAS', 'MATCHING_BIAS', 'CORRECT', 'CORRECT']","[['K', '9', '4', 'A'], ['9', '4', 'A', 'K'], ['4', '9', 'K', 'A'], ['A', 'K', '9', '4'], ['K', '9', 'A', '4']]","[['K', '9'], ['K', '9'], ['K', '9'], ['K', '9'], ['K', '9']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['K', '9', '4', 'A'], ['9', '4', 'A', 'K'], ['4', '9', 'K', 'A'], ['A', 'K', '9', '4'], ['K', '9', 'A', '4']]","[['K', '4'], ['K', '4'], ['K', '4'], ['None'], ['K', '4']]","['MATCHING_BIAS', 'MATCHING_BIAS', 'MATCHING_BIAS', 'NOISE', 'MATCHING_BIAS']","[['K', '9', '4', 'A'], ['9', '4', 'A', 'K'], ['4', '9', 'K', 'A'], ['A', 'K', '9', '4'], ['K', '9', 'A', '4']]"
"If the number is 6, then the letter is S.","{'6': 'P', '9': 'not_P', 'S': 'Q', 'P': 'not_Q'}","[['6', 'P'], ['6', 'P'], ['6', 'P'], ['6', 'P'], ['6', 'P']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['S', '9', 'P', '6'], ['6', '9', 'S', 'P'], ['P', '6', '9', 'S'], ['9', 'P', 'S', '6'], ['6', 'P', 'S', '9']]","[['6'], ['6'], ['6'], ['S', '6'], ['6']]","['CONFIRMATION_BIAS', 'CONFIRMATION_BIAS', 'CONFIRMATION_BIAS', 'MATCHING_BIAS', 'CONFIRMATION_BIAS']","[['S', '9', 'P', '6'], ['6', '9', 'S', 'P'], ['P', '6', '9', 'S'], ['9', 'P', 'S', '6'], ['6', 'P', 'S', '9']]","[['6', 'P'], ['6', 'P'], ['P', '6'], ['6', 'P'], ['6', 'P']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['S', '9', 'P', '6'], ['6', '9', 'S', 'P'], ['P', '6', '9', 'S'], ['9', 'P', 'S', '6'], ['6', 'P', 'S', '9']]","[['S', '6'], ['6', 'S'], ['6', 'S'], ['P', '6'], ['6', 'S']]","['MATCHING_BIAS', 'MATCHING_BIAS', 'MATCHING_BIAS', 'CORRECT', 'MATCHING_BIAS']","[['S', '9', 'P', '6'], ['6', '9', 'S', 'P'], ['P', '6', '9', 'S'], ['9', 'P', 'S', '6'], ['6', 'P', 'S', '9']]","[['P', '6'], ['6', 'P'], ['6', 'P'], ['6', 'P'], ['6', 'P']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['S', '9', 'P', '6'], ['6', '9', 'S', 'P'], ['P', '6', '9', 'S'], ['9', 'P', 'S', '6'], ['6', 'P', 'S', '9']]","[['6', 'S'], ['6', 'S'], ['6', 'S'], ['P', '6'], ['6', 'S']]","['MATCHING_BIAS', 'MATCHING_BIAS', 'MATCHING_BIAS', 'CORRECT', 'MATCHING_BIAS']","[['S', '9', 'P', '6'], ['6', '9', 'S', 'P'], ['P', '6', '9', 'S'], ['9', 'P', 'S', '6'], ['6', 'P', 'S', '9']]"
"If the number is 9, then the letter is L.","{'9': 'P', '2': 'not_P', 'L': 'Q', 'R': 'not_Q'}","[['9', 'R'], ['9', 'R'], ['R', '9'], ['9', 'R'], ['9', 'R']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['R', '9', 'L', '2'], ['2', 'L', 'R', '9'], ['L', '2', 'R', '9'], ['9', 'R', 'L', '2'], ['R', '2', 'L', '9']]","[['R', '9'], ['card3', 'card4'], ['9'], ['9'], ['L', '9']]","['CORRECT', 'NOISE', 'CONFIRMATION_BIAS', 'CONFIRMATION_BIAS', 'MATCHING_BIAS']","[['R', '9', 'L', '2'], ['2', 'L', 'R', '9'], ['L', '2', 'R', '9'], ['9', 'R', 'L', '2'], ['R', '2', 'L', '9']]","[['R', '9'], ['9', 'R'], ['R', '9'], ['9', 'R'], ['R', '9']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['R', '9', 'L', '2'], ['2', 'L', 'R', '9'], ['L', '2', 'R', '9'], ['9', 'R', 'L', '2'], ['R', '2', 'L', '9']]","[['9', 'L'], ['9', 'L'], ['L', '9'], ['9', 'R'], ['9', 'L']]","['MATCHING_BIAS', 'MATCHING_BIAS', 'MATCHING_BIAS', 'CORRECT', 'MATCHING_BIAS']","[['R', '9', 'L', '2'], ['2', 'L', 'R', '9'], ['L', '2', 'R', '9'], ['9', 'R', 'L', '2'], ['R', '2', 'L', '9']]","[['9', 'R'], ['9', 'R'], ['9', 'R'], ['9', 'R'], ['9', 'R']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['R', '9', 'L', '2'], ['2', 'L', 'R', '9'], ['L', '2', 'R', '9'], ['9', 'R', 'L', '2'], ['R', '2', 'L', '9']]","[['9', 'L'], ['9', 'L'], ['R', '2', '9'], ['9', 'L'], ['9', 'L']]","['MATCHING_BIAS', 'MATCHING_BIAS', 'LOGIC_ERROR', 'MATCHING_BIAS', 'MATCHING_BIAS']","[['R', '9', 'L', '2'], ['2', 'L', 'R', '9'], ['L', '2', 'R', '9'], ['9', 'R', 'L', '2'], ['R', '2', 'L', '9']]"
"If there is an H on one side, there is a 1 on the other side.","{'H': 'P', 'O': 'not_P', '1': 'Q', '2': 'not_Q'}","[['H', '2'], ['H', '2'], ['H', '2'], ['H', '2'], ['Here the items']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'NOISE']","[['1', 'O', 'H', '2'], ['O', 'H', '1', '2'], ['H', '2', 'O', '1'], ['H', 'O', '1', '2'], ['2', 'H', '1', 'O']]","[['H', '2'], ['H'], ['H', '1'], ['H', '2'], ['H', '1']]","['CORRECT', 'CONFIRMATION_BIAS', 'MATCHING_BIAS', 'CORRECT', 'MATCHING_BIAS']","[['1', 'O', 'H', '2'], ['O', 'H', '1', '2'], ['H', '2', 'O', '1'], ['H', 'O', '1', '2'], ['2', 'H', '1', 'O']]","[['H', '2'], ['H', '2'], ['H', '2', 'O'], ['H', '2'], ['2', 'H', 'O']]","['CORRECT', 'CORRECT', 'LOGIC_ERROR', 'CORRECT', 'LOGIC_ERROR']","[['1', 'O', 'H', '2'], ['O', 'H', '1', '2'], ['H', '2', 'O', '1'], ['H', 'O', '1', '2'], ['2', 'H', '1', 'O']]","[['H', '1'], ['H', '1'], ['H', '1'], ['H', '1'], ['H', '1']]","['MATCHING_BIAS', 'MATCHING_BIAS', 'MATCHING_BIAS', 'MATCHING_BIAS', 'MATCHING_BIAS']","[['1', 'O', 'H', '2'], ['O', 'H', '1', '2'], ['H', '2', 'O', '1'], ['H', 'O', '1', '2'], ['2', 'H', '1', 'O']]","[['H', '2'], ['O', 'H', '2'], ['H', '2', 'O'], ['H', 'O', '2'], ['2', 'H', 'O']]","['CORRECT', 'LOGIC_ERROR', 'LOGIC_ERROR', 'LOGIC_ERROR', 'LOGIC_ERROR']","[['1', 'O', 'H', '2'], ['O', 'H', '1', '2'], ['H', '2', 'O', '1'], ['H', 'O', '1', '2'], ['2', 'H', '1', 'O']]","[['H', '1'], ['H', '1'], ['H', '1'], ['H', '1'], ['H', '1']]","['MATCHING_BIAS', 'MATCHING_BIAS', 'MATCHING_BIAS', 'MATCHING_BIAS', 'MATCHING_BIAS']","[['1', 'O', 'H', '2'], ['O', 'H', '1', '2'], ['H', '2', 'O', '1'], ['H', 'O', '1', '2'], ['2', 'H', '1', 'O']]"
"If the number is 10, then the letter is J.","{'10': 'P', '5': 'not_P', 'J': 'Q', 'K': 'not_Q'}","[['10', 'K'], ['10', 'K'], ['10', 'K'], ['10', 'K'], ['10', 'K']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['10', '5', 'K', 'J'], ['J', '10', 'K', '5'], ['10', 'K', '5', 'J'], ['10', '5', 'J', 'K'], ['5', '10', 'J', 'K']]","[['J'], ['J', '10', 'K'], ['10'], ['10', 'K'], ['10']]","['NOISE', 'OVER_SELECTION', 'CONFIRMATION_BIAS', 'CORRECT', 'CONFIRMATION_BIAS']","[['10', '5', 'K', 'J'], ['J', '10', 'K', '5'], ['10', 'K', '5', 'J'], ['10', '5', 'J', 'K'], ['5', '10', 'J', 'K']]","[['10', 'K'], ['10', 'K'], [""- The card showing **'10'**""], ['10', 'K'], ['10', 'K']]","['CORRECT', 'CORRECT', 'NOISE', 'CORRECT', 'CORRECT']","[['10', '5', 'K', 'J'], ['J', '10', 'K', '5'], ['10', 'K', '5', 'J'], ['10', '5', 'J', 'K'], ['5', '10', 'J', 'K']]","[['10', 'J'], ['J', '10'], ['10'], ['10', 'J'], ['10']]","['MATCHING_BIAS', 'MATCHING_BIAS', 'CONFIRMATION_BIAS', 'MATCHING_BIAS', 'CONFIRMATION_BIAS']","[['10', '5', 'K', 'J'], ['J', '10', 'K', '5'], ['10', 'K', '5', 'J'], ['10', '5', 'J', 'K'], ['5', '10', 'J', 'K']]","[['10', 'K'], ['10', 'K'], ['10', 'K'], ['10', 'K'], ['10', 'K']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['10', '5', 'K', 'J'], ['J', '10', 'K', '5'], ['10', 'K', '5', 'J'], ['10', '5', 'J', 'K'], ['5', '10', 'J', 'K']]","[['10', 'K'], ['10', 'J'], ['10', 'J'], ['10', 'J'], ['10']]","['CORRECT', 'MATCHING_BIAS', 'MATCHING_BIAS', 'MATCHING_BIAS', 'CONFIRMATION_BIAS']","[['10', '5', 'K', 'J'], ['J', '10', 'K', '5'], ['10', 'K', '5', 'J'], ['10', '5', 'J', 'K'], ['5', '10', 'J', 'K']]"
