Rule Text,JSON Mapping
"If the animal is an Elephant, then it has a Trunk.","{'Elephant': 'P', 'Rhino': 'not_P', 'Trunk': 'Q', 'No trunk': 'not_Q'}"
"If the fish is a Clownfish, then it lives near Anemones.","{'Clownfish': 'P', 'Salmon': 'not_P', 'Anemones': 'Q', 'Open water': 'not_Q'}"
"If the metal is Silver, then it conducts Electricity.","{'Silver': 'P', 'Wood': 'not_P', 'Conducts electricity': 'Q', 'Does not conduct': 'not_Q'}"
"If the fruit is a Banana, then the peel is Yellow.","{'Banana': 'P', 'Kiwi': 'not_P', 'Yellow': 'Q', 'Brown': 'not_Q'}"
"If the animal is a Crocodile, then it is Cold-blooded.","{'Crocodile': 'P', 'Lion': 'not_P', 'Cold-blooded': 'Q', 'Warm-blooded': 'not_Q'}"
"If the vehicle is a Car, then the fuel is Gas.","{'Car': 'P', 'Bike': 'not_P', 'Gas': 'Q', 'Electric': 'not_Q'}"
"If the month is June, then the season is Summer.","{'June': 'P', 'December': 'not_P', 'Summer': 'Q', 'Winter': 'not_Q'}"
"If the tool is a Hammer, then the handle is Wood.","{'Hammer': 'P', 'Wrench': 'not_P', 'Wood': 'Q', 'Metal': 'not_Q'}"
"If the liquid is Lava, then the temperature is Extremely hot.","{'Lava': 'P', 'Water': 'not_P', 'Extremely hot': 'Q', 'Room temperature': 'not_Q'}"
"If the animal is a Hedgehog, then it has Spines.","{'Hedgehog': 'P', 'Squirrel': 'not_P', 'Spines': 'Q', 'Fur': 'not_Q'}"
"If the planet is Mars, then the sky is Pink.","{'Mars': 'P', 'Venus': 'not_P', 'Pink': 'Q', 'Blue': 'not_Q'}"
"If the animal is a Octopus, then it has Eight arms.","{'Octopus': 'P', 'Squid': 'not_P', 'Eight arms': 'Q', 'Ten arms': 'not_Q'}"
"If the card shows a Fish, then the habitat is Water.","{'Fish': 'P', 'Bird': 'not_P', 'Water': 'Q', 'Air': 'not_Q'}"
"If the instrument is a Drum, then the sound is Loud.","{'Drum': 'P', 'Flute': 'not_P', 'Loud': 'Q', 'Quiet': 'not_Q'}"
"If the planet is Mercury, then it is closest to the Sun.","{'Mercury': 'P', 'Venus': 'not_P', 'Closest to Sun': 'Q', 'Not closest': 'not_Q'}"
"If the country is Russia, then the currency is Ruble.","{'Russia': 'P', 'Poland': 'not_P', 'Ruble': 'Q', 'Zloty': 'not_Q'}"
"If the bird is a Woodpecker, then it pecks Trees.","{'Woodpecker': 'P', 'Robin': 'not_P', 'Pecks trees': 'Q', 'Does not peck': 'not_Q'}"
"If the tree is an Oak, then the acorn is Brown.","{'Oak': 'P', 'Pine': 'not_P', 'Brown': 'Q', 'Green': 'not_Q'}"
"If the operator is Plus, then the result is Positive.","{'Plus': 'P', 'Minus': 'not_P', 'Positive': 'Q', 'Negative': 'not_Q'}"
"If the animal is a Giraffe, then it has the Longest neck.","{'Giraffe': 'P', 'Horse': 'not_P', 'Longest neck': 'Q', 'Short neck': 'not_Q'}"
"If the animal is a Cheetah, then it is the Fastest land animal.","{'Cheetah': 'P', 'Lion': 'not_P', 'Fastest land animal': 'Q', 'Not fastest': 'not_Q'}"
"If the insect is a Mosquito, then it feeds on Blood.","{'Mosquito': 'P', 'Butterfly': 'not_P', 'Blood': 'Q', 'Nectar': 'not_Q'}"
"If the direction is North, then the wind is Cold.","{'North': 'P', 'South': 'not_P', 'Cold': 'Q', 'Warm': 'not_Q'}"
"If the food is Tofu, then it is made from Soybeans.","{'Tofu': 'P', 'Cheese': 'not_P', 'Soybeans': 'Q', 'Milk': 'not_Q'}"
"If the animal is a Mole, then it lives Underground.","{'Mole': 'P', 'Rabbit': 'not_P', 'Underground': 'Q', 'Above ground': 'not_Q'}"
"If the liquid is Acid, then the litmus is Red.","{'Acid': 'P', 'Base': 'not_P', 'Red': 'Q', 'Blue': 'not_Q'}"
"If the food is Chili pepper, then it tastes Spicy.","{'Chili pepper': 'P', 'Bell pepper': 'not_P', 'Spicy': 'Q', 'Mild': 'not_Q'}"
"If the planet is Earth, then the moon is One.","{'Earth': 'P', 'Mars': 'not_P', 'One': 'Q', 'Two': 'not_Q'}"
"If the animal is a Seahorse, then the Male carries the Young.","{'Seahorse': 'P', 'Shark': 'not_P', 'Male carries young': 'Q', 'Female carries young': 'not_Q'}"
"If the battery is AA, then the volts are 1.5.","{'AA': 'P', '9V': 'not_P', '1.5': 'Q', '9': 'not_Q'}"
"If the animal is a Parrot, then it can Mimic speech.","{'Parrot': 'P', 'Crow': 'not_P', 'Mimics speech': 'Q', 'Cannot mimic': 'not_Q'}"
"If the animal is a Shark, then it lives in Water.","{'Shark': 'P', 'Eagle': 'not_P', 'Water': 'Q', 'Land': 'not_Q'}"
"If the metal is Iron, then it is magnetic.","{'Iron': 'P', 'Copper': 'not_P', 'Magnetic': 'Q', 'Non-magnetic': 'not_Q'}"
"If the fruit is a Lemon, then the taste is Sour.","{'Lemon': 'P', 'Mango': 'not_P', 'Sour': 'Q', 'Sweet': 'not_Q'}"
"If the planet is Saturn, then it has Rings.","{'Saturn': 'P', 'Mars': 'not_P', 'Rings': 'Q', 'No rings': 'not_Q'}"
"If the insect is a Firefly, then it Glows.","{'Firefly': 'P', 'Beetle': 'not_P', 'Glows': 'Q', 'Does not glow': 'not_Q'}"
"If the bird is a Penguin, then it cannot Fly.","{'Penguin': 'P', 'Eagle': 'not_P', 'Cannot fly': 'Q', 'Can fly': 'not_Q'}"
"If the gas is Oxygen, then it supports Combustion.","{'Oxygen': 'P', 'Nitrogen': 'not_P', 'Supports combustion': 'Q', 'Does not support combustion': 'not_Q'}"
"If the material is Wood, then it Floats on water.","{'Wood': 'P', 'Steel': 'not_P', 'Floats': 'Q', 'Sinks': 'not_Q'}"
"If the reptile is a Chameleon, then it Changes color.","{'Chameleon': 'P', 'Lizard': 'not_P', 'Changes color': 'Q', 'Stays same color': 'not_Q'}"
"If the star is the Sun, then it is at the center of our Solar system.","{'Sun': 'P', 'Moon': 'not_P', 'Center of solar system': 'Q', 'Not center': 'not_Q'}"
"If the liquid is Mercury, then it is a Metal.","{'Mercury': 'P', 'Water': 'not_P', 'Metal': 'Q', 'Non-metal': 'not_Q'}"
"If the mammal is a Bat, then it uses Echolocation.","{'Bat': 'P', 'Cat': 'not_P', 'Echolocation': 'Q', 'No echolocation': 'not_Q'}"
"If the vegetable is a Carrot, then it grows Underground.","{'Carrot': 'P', 'Tomato': 'not_P', 'Underground': 'Q', 'Above ground': 'not_Q'}"
"If the element is Gold, then it does not Rust.","{'Gold': 'P', 'Iron': 'not_P', 'Does not rust': 'Q', 'Rusts': 'not_Q'}"
