ID,Rule Text,JSON Mapping,prompt,llama-3.2-3b-instruct_response,llama-3.2-3b-instruct_category,qwen3-30b-a3b-instruct-2507_response,qwen3-30b-a3b-instruct-2507_category,gpt-5.2_response,gpt-5.2_category,claude-sonnet-4.5_response,claude-sonnet-4.5_category,qwen3-30b-a3b_response,qwen3-30b-a3b_category,qwen3-8b-reasoning_response,qwen3-8b-reasoning_category,qwen3.5-397b-a17b_responses,qwen3.5-397b-a17b_categories,qwen3.5-397b-a17b_card_orders,qwen3-next-80b-a3b-instruct_responses,qwen3-next-80b-a3b-instruct_categories,qwen3-next-80b-a3b-instruct_card_orders,gemma-3-27b-it_responses,gemma-3-27b-it_categories,gemma-3-27b-it_card_orders,glm-4.7-flash_responses,glm-4.7-flash_categories,glm-4.7-flash_card_orders,gemma-3-12b-it_responses,gemma-3-12b-it_categories,gemma-3-12b-it_card_orders,deepseek-v3.2_responses,deepseek-v3.2_categories,deepseek-v3.2_card_orders
T01,"If a card has a Vowel on one side, then it has an Even Number on the other side.","{'A': 'P', 'K': 'not_P', '4': 'Q', '7': 'not_Q'}","Rule: ""If a card has a Vowel on one side, then it has an Even Number on the other side.""
Cards: ['A', 'K', '4', '7']

Which cards must you turn over?
Your answer:","['A', '4']",MATCHING_BIAS,"['A', '7']",CORRECT,"['A', '7']",CORRECT,"['A', '7']",CORRECT,"['A', '7']",CORRECT,"['A', '7']",CORRECT,"[['K', '7', 'A'], ['A', '7'], ['A', '7'], ['7', 'A'], ['A', '7']]","['LOGIC_ERROR', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['4', 'K', '7', 'A'], ['A', '7', '4', 'K'], ['7', 'A', 'K', '4'], ['7', '4', 'K', 'A'], ['4', 'A', '7', 'K']]","[['A', '7'], ['A', '7'], ['A', '7'], ['A', '7'], ['A', '7']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['4', 'K', '7', 'A'], ['A', '7', '4', 'K'], ['7', 'A', 'K', '4'], ['7', '4', 'K', 'A'], ['4', 'A', '7', 'K']]","[['4', 'A'], ['A', '7'], ['or 7', 'A'], ['7', 'A'], ['4', 'A']]","['MATCHING_BIAS', 'CORRECT', 'CONFIRMATION_BIAS', 'CORRECT', 'MATCHING_BIAS']","[['4', 'K', '7', 'A'], ['A', '7', '4', 'K'], ['7', 'A', 'K', '4'], ['7', '4', 'K', 'A'], ['4', 'A', '7', 'K']]","[['4', 'K'], ['A', '7'], ['A', '4'], ['4', 'K'], ['4', 'A']]","['LOGIC_ERROR', 'CORRECT', 'MATCHING_BIAS', 'LOGIC_ERROR', 'MATCHING_BIAS']","[['4', 'K', '7', 'A'], ['A', '7', '4', 'K'], ['7', 'A', 'K', '4'], ['7', '4', 'K', 'A'], ['4', 'A', '7', 'K']]","[['4', 'K', 'A'], ['A', '7', 'K'], ['7', 'K'], ['7', 'K', 'A'], ['4', 'A', '7', 'K']]","['LOGIC_ERROR', 'LOGIC_ERROR', 'LOGIC_ERROR', 'LOGIC_ERROR', 'ALL_CARDS']","[['4', 'K', '7', 'A'], ['A', '7', '4', 'K'], ['7', 'A', 'K', '4'], ['7', '4', 'K', 'A'], ['4', 'A', '7', 'K']]","[['4', 'A'], ['A', '7'], ['A', '7'], ['7', 'A'], ['4', 'A', '7']]","['MATCHING_BIAS', 'CORRECT', 'CORRECT', 'CORRECT', 'OVER_SELECTION']","[['4', 'K', '7', 'A'], ['A', '7', '4', 'K'], ['7', 'A', 'K', '4'], ['7', '4', 'K', 'A'], ['4', 'A', '7', 'K']]"
T02,"If a card has a Consonant on one side, then it has an Odd Number on the other side.","{'K': 'P', 'A': 'not_P', '7': 'Q', '4': 'not_Q'}","Rule: ""If a card has a Consonant on one side, then it has an Odd Number on the other side.""
Cards: ['K', 'A', '7', '4']

Which cards must you turn over?
Your answer:","['K', '7']",MATCHING_BIAS,"['K', '7', '4']",OVER_SELECTION,"['K', '4']",CORRECT,"['K', '4']",CORRECT,"['K', '4']",CORRECT,"['K', '4']",CORRECT,"[['K', '4'], ['K', '4'], ['K', '4'], ['4', 'K'], ['4', 'K']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['K', '7', 'A', '4'], ['4', 'K', 'A', '7'], ['A', 'K', '4', '7'], ['4', 'A', '7', 'K'], ['4', 'K', '7', 'A']]","[['K', '4'], ['K', '4'], ['A', 'K', '4'], ['A', 'K', '4'], ['K', '4']]","['CORRECT', 'CORRECT', 'LOGIC_ERROR', 'LOGIC_ERROR', 'CORRECT']","[['K', '7', 'A', '4'], ['4', 'K', 'A', '7'], ['A', 'K', '4', '7'], ['4', 'A', '7', 'K'], ['4', 'K', '7', 'A']]","[['K', '4'], ['4', 'K'], ['A', 'K'], ['4', 'A'], ['4', 'K']]","['CORRECT', 'CORRECT', 'LOGIC_ERROR', 'LOGIC_ERROR', 'CORRECT']","[['K', '7', 'A', '4'], ['4', 'K', 'A', '7'], ['A', 'K', '4', '7'], ['4', 'A', '7', 'K'], ['4', 'K', '7', 'A']]","[['K', '7'], ['K', '7'], ['K', '7'], ['4', 'A'], ['K', '7']]","['MATCHING_BIAS', 'MATCHING_BIAS', 'MATCHING_BIAS', 'LOGIC_ERROR', 'MATCHING_BIAS']","[['K', '7', 'A', '4'], ['4', 'K', 'A', '7'], ['A', 'K', '4', '7'], ['4', 'A', '7', 'K'], ['4', 'K', '7', 'A']]","[['K', 'A', '4'], ['4', 'K', 'A', '7'], ['A', 'K', '4'], ['4', 'A', 'K'], ['4', 'K', '7', 'A']]","['LOGIC_ERROR', 'ALL_CARDS', 'LOGIC_ERROR', 'LOGIC_ERROR', 'ALL_CARDS']","[['K', '7', 'A', '4'], ['4', 'K', 'A', '7'], ['A', 'K', '4', '7'], ['4', 'A', '7', 'K'], ['4', 'K', '7', 'A']]","[['K', 'A', '4'], ['4', 'K', 'A'], ['A', '7'], ['4', 'K'], ['4', 'K', 'A']]","['LOGIC_ERROR', 'LOGIC_ERROR', 'LOGIC_ERROR', 'CORRECT', 'LOGIC_ERROR']","[['K', '7', 'A', '4'], ['4', 'K', 'A', '7'], ['A', 'K', '4', '7'], ['4', 'A', '7', 'K'], ['4', 'K', '7', 'A']]"
T03,"If there is an A on one side, then there is a 3 on the other side.","{'A': 'P', 'D': 'not_P', '3': 'Q', '7': 'not_Q'}","Rule: ""If there is an A on one side, then there is a 3 on the other side.""
Cards: ['A', 'D', '3', '7']

Which cards must you turn over?
Your answer:","['A', '3']",MATCHING_BIAS,"['A', '7']",CORRECT,"['A', '7']",CORRECT,"['A', '7']",CORRECT,"['A', '7']",CORRECT,[''],NOISE,"[['7', 'A'], ['A', '7'], ['A', '7'], ['7', 'A'], ['A', '7']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['D', '7', '3', 'A'], ['D', '7', 'A', '3'], ['7', 'A', 'D', '3'], ['7', 'D', '3', 'A'], ['3', 'D', 'A', '7']]","[['A', '7'], ['A', '7'], ['A', '7'], ['A', '7'], ['A', '7']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['D', '7', '3', 'A'], ['D', '7', 'A', '3'], ['7', 'A', 'D', '3'], ['7', 'D', '3', 'A'], ['3', 'D', 'A', '7']]","[['A', '3'], ['or A', '3'], ['A', '7'], ['A', '3'], ['A', '3']]","['MATCHING_BIAS', 'NOISE', 'CORRECT', 'MATCHING_BIAS', 'MATCHING_BIAS']","[['D', '7', '3', 'A'], ['D', '7', 'A', '3'], ['7', 'A', 'D', '3'], ['7', 'D', '3', 'A'], ['3', 'D', 'A', '7']]","[['A', '7'], ['A', '7'], ['A', '3'], ['A', '3'], ['A', '3']]","['CORRECT', 'CORRECT', 'MATCHING_BIAS', 'MATCHING_BIAS', 'MATCHING_BIAS']","[['D', '7', '3', 'A'], ['D', '7', 'A', '3'], ['7', 'A', 'D', '3'], ['7', 'D', '3', 'A'], ['3', 'D', 'A', '7']]","[['D', '7'], ['D', '7'], ['7', 'D'], ['7', 'D'], ['D', '7']]","['LOGIC_ERROR', 'LOGIC_ERROR', 'LOGIC_ERROR', 'LOGIC_ERROR', 'LOGIC_ERROR']","[['D', '7', '3', 'A'], ['D', '7', 'A', '3'], ['7', 'A', 'D', '3'], ['7', 'D', '3', 'A'], ['3', 'D', 'A', '7']]","[['D', 'A'], ['A', '7'], ['A', '7'], ['A', '7'], ['A', '7']]","['LOGIC_ERROR', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['D', '7', '3', 'A'], ['D', '7', 'A', '3'], ['7', 'A', 'D', '3'], ['7', 'D', '3', 'A'], ['3', 'D', 'A', '7']]"
T04,"If the letter is D, then the number must be 5.","{'D': 'P', 'F': 'not_P', '5': 'Q', '8': 'not_Q'}","Rule: ""If the letter is D, then the number must be 5.""
Cards: ['D', 'F', '5', '8']

Which cards must you turn over?
Your answer:","['F', '8']",LOGIC_ERROR,"['D', '8']",CORRECT,"['D', '8']",CORRECT,"['D', '8']",CORRECT,"['D', '8']",CORRECT,"['D', '8']",CORRECT,"[['F', 'D'], ['D', '8'], ['D', '8'], ['D', '8'], ['D', '8']]","['LOGIC_ERROR', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['8', 'F', 'D', '5'], ['D', '5', '8', 'F'], ['D', '8', '5', 'F'], ['8', 'D', 'F', '5'], ['F', 'D', '5', '8']]","[['D', '8'], ['D', '8'], ['D', '8'], ['D', '8'], ['D', '8']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['8', 'F', 'D', '5'], ['D', '5', '8', 'F'], ['D', '8', '5', 'F'], ['8', 'D', 'F', '5'], ['F', 'D', '5', '8']]","[['8', 'F', 'D'], ['D', '5'], ['D', '8'], ['8', 'D'], ['D', '5']]","['LOGIC_ERROR', 'MATCHING_BIAS', 'CORRECT', 'CORRECT', 'MATCHING_BIAS']","[['8', 'F', 'D', '5'], ['D', '5', '8', 'F'], ['D', '8', '5', 'F'], ['8', 'D', 'F', '5'], ['F', 'D', '5', '8']]","[['D', '8'], ['D', '8'], ['D', '8'], ['D', '8'], ['D', '5']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'MATCHING_BIAS']","[['8', 'F', 'D', '5'], ['D', '5', '8', 'F'], ['D', '8', '5', 'F'], ['8', 'D', 'F', '5'], ['F', 'D', '5', '8']]","[['8', 'F', '5'], ['D', '5'], ['D', '8', '5'], ['8', 'F'], ['D', '5']]","['LOGIC_ERROR', 'MATCHING_BIAS', 'OVER_SELECTION', 'LOGIC_ERROR', 'MATCHING_BIAS']","[['8', 'F', 'D', '5'], ['D', '5', '8', 'F'], ['D', '8', '5', 'F'], ['8', 'D', 'F', '5'], ['F', 'D', '5', '8']]","[['D', '8'], ['D', '8'], ['D', '8'], ['D', '8'], ['D', '8']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['8', 'F', 'D', '5'], ['D', '5', '8', 'F'], ['D', '8', '5', 'F'], ['8', 'D', 'F', '5'], ['F', 'D', '5', '8']]"
T05,"If there is a U on the card, then there is an 8 on the back.","{'U': 'P', 'G': 'not_P', '8': 'Q', '1': 'not_Q'}","Rule: ""If there is a U on the card, then there is an 8 on the back.""
Cards: ['U', 'G', '8', '1']

Which cards must you turn over?
Your answer:","['G', '1']",LOGIC_ERROR,"['U', '8']",MATCHING_BIAS,"['U', '1']",CORRECT,"['U', '1']",CORRECT,['U'],CONFIRMATION_BIAS,"['U', '1']",CORRECT,"[['U', '1'], ['U', '1'], ['U', '1'], ['G', '1', '8', 'U'], ['U', '1']]","['CORRECT', 'CORRECT', 'CORRECT', 'ALL_CARDS', 'CORRECT']","[['8', 'U', '1', 'G'], ['G', '8', 'U', '1'], ['U', '8', '1', 'G'], ['G', '1', '8', 'U'], ['G', 'U', '8', '1']]","[['U', '1'], ['U', '1'], ['U', '1'], ['U', '1'], ['U', '1']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['8', 'U', '1', 'G'], ['G', '8', 'U', '1'], ['U', '8', '1', 'G'], ['G', '1', '8', 'U'], ['G', 'U', '8', '1']]","[['8', 'U'], ['or U', '1'], ['U', '1'], ['or G', '1'], ['or U', '1']]","['MATCHING_BIAS', 'SINGLE_VIOLATION', 'CORRECT', 'SINGLE_VIOLATION', 'SINGLE_VIOLATION']","[['8', 'U', '1', 'G'], ['G', '8', 'U', '1'], ['U', '8', '1', 'G'], ['G', '1', '8', 'U'], ['G', 'U', '8', '1']]","[['8', 'U'], ['8', 'U'], ['U', '1'], ['U', '1'], ['U', '1']]","['MATCHING_BIAS', 'MATCHING_BIAS', 'CORRECT', 'CORRECT', 'CORRECT']","[['8', 'U', '1', 'G'], ['G', '8', 'U', '1'], ['U', '8', '1', 'G'], ['G', '1', '8', 'U'], ['G', 'U', '8', '1']]","[['U'], ['U'], ['U'], ['U'], ['U']]","['CONFIRMATION_BIAS', 'CONFIRMATION_BIAS', 'CONFIRMATION_BIAS', 'CONFIRMATION_BIAS', 'CONFIRMATION_BIAS']","[['8', 'U', '1', 'G'], ['G', '8', 'U', '1'], ['U', '8', '1', 'G'], ['G', '1', '8', 'U'], ['G', 'U', '8', '1']]","[['U', '1'], ['U', '8'], ['U', '1'], ['U', '1'], ['U', '1']]","['CORRECT', 'MATCHING_BIAS', 'CORRECT', 'CORRECT', 'CORRECT']","[['8', 'U', '1', 'G'], ['G', '8', 'U', '1'], ['U', '8', '1', 'G'], ['G', '1', '8', 'U'], ['G', 'U', '8', '1']]"
T06,"If the number is Even, then the letter is a Vowel.","{'4': 'P', '7': 'not_P', 'E': 'Q', 'K': 'not_Q'}","Rule: ""If the number is Even, then the letter is a Vowel.""
Cards: ['4', '7', 'E', 'K']

Which cards must you turn over?
Your answer:","['4', 'E']",MATCHING_BIAS,"['4', 'E']",MATCHING_BIAS,"['4', 'K']",CORRECT,"['4', 'K']",CORRECT,"['4', 'K']",CORRECT,"['4', 'K']",CORRECT,"[['4', 'K'], ['E', '7', '4'], ['E', '4', '7'], ['4', 'K'], ['4', 'K']]","['CORRECT', 'LOGIC_ERROR', 'LOGIC_ERROR', 'CORRECT', 'CORRECT']","[['4', 'K', 'E', '7'], ['K', 'E', '7', '4'], ['E', 'K', '4', '7'], ['7', '4', 'K', 'E'], ['4', 'K', '7', 'E']]","[['4', 'K'], ['K', '4'], ['E', 'K', '4', '7'], [""'4'"", ""'K'""], ['4', 'K']]","['CORRECT', 'CORRECT', 'ALL_CARDS', 'NOISE', 'CORRECT']","[['4', 'K', 'E', '7'], ['K', 'E', '7', '4'], ['E', 'K', '4', '7'], ['7', '4', 'K', 'E'], ['4', 'K', '7', 'E']]","[['4', 'K'], ['K', '7', '4'], ['E', 'K', '4', '7'], ['7', '4', 'K'], ['4', 'K']]","['CORRECT', 'LOGIC_ERROR', 'ALL_CARDS', 'LOGIC_ERROR', 'CORRECT']","[['4', 'K', 'E', '7'], ['K', 'E', '7', '4'], ['E', 'K', '4', '7'], ['7', '4', 'K', 'E'], ['4', 'K', '7', 'E']]","[['4', 'K'], ['E', '4'], ['4'], ['4'], ['4', 'K']]","['CORRECT', 'MATCHING_BIAS', 'CONFIRMATION_BIAS', 'CONFIRMATION_BIAS', 'CORRECT']","[['4', 'K', 'E', '7'], ['K', 'E', '7', '4'], ['E', 'K', '4', '7'], ['7', '4', 'K', 'E'], ['4', 'K', '7', 'E']]","[['4', 'K', '7'], ['E', '4'], ['4'], ['4', 'K', 'E'], ['K', 'E']]","['LOGIC_ERROR', 'MATCHING_BIAS', 'CONFIRMATION_BIAS', 'OVER_SELECTION', 'NOISE']","[['4', 'K', 'E', '7'], ['K', 'E', '7', '4'], ['E', 'K', '4', '7'], ['7', '4', 'K', 'E'], ['4', 'K', '7', 'E']]","[['4', '7'], ['K', '7', '4'], ['E', '7'], ['4', 'K'], ['4', '7', 'K']]","['LOGIC_ERROR', 'LOGIC_ERROR', 'LOGIC_ERROR', 'CORRECT', 'LOGIC_ERROR']","[['4', 'K', 'E', '7'], ['K', 'E', '7', '4'], ['E', 'K', '4', '7'], ['7', '4', 'K', 'E'], ['4', 'K', '7', 'E']]"
T07,"If the number is Odd, then the letter is a Consonant.","{'9': 'P', '6': 'not_P', 'M': 'Q', 'A': 'not_Q'}","Rule: ""If the number is Odd, then the letter is a Consonant.""
Cards: ['9', '6', 'M', 'A']

Which cards must you turn over?
Your answer:","['9', 'M']",MATCHING_BIAS,"['9', 'A']",CORRECT,"['9', 'A']",CORRECT,"['9', 'A']",CORRECT,"['9', 'A']",CORRECT,"['9', 'A']",CORRECT,"[['A', '9'], ['9', 'A'], ['A', '9'], ['A', '9'], ['9', 'A']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['M', '6', 'A', '9'], ['9', '6', 'M', 'A'], ['A', '9', '6', 'M'], ['6', 'A', 'M', '9'], ['9', 'A', 'M', '6']]","[['M', 'A', '9'], ['9', 'M', 'A'], ['A', '9'], ['A', 'M', '9'], ['9', 'A']]","['OVER_SELECTION', 'OVER_SELECTION', 'CORRECT', 'OVER_SELECTION', 'CORRECT']","[['M', '6', 'A', '9'], ['9', '6', 'M', 'A'], ['A', '9', '6', 'M'], ['6', 'A', 'M', '9'], ['9', 'A', 'M', '6']]","[['M', '6', 'A', '9'], ['9', '6', 'A'], ['A', '9', '6', 'M'], ['6', 'A'], ['9', 'A']]","['ALL_CARDS', 'LOGIC_ERROR', 'ALL_CARDS', 'LOGIC_ERROR', 'CORRECT']","[['M', '6', 'A', '9'], ['9', '6', 'M', 'A'], ['A', '9', '6', 'M'], ['6', 'A', 'M', '9'], ['9', 'A', 'M', '6']]","[['M', '9'], ['9', 'M'], ['9', 'M'], ['6', '9'], ['9', 'A']]","['MATCHING_BIAS', 'MATCHING_BIAS', 'MATCHING_BIAS', 'LOGIC_ERROR', 'CORRECT']","[['M', '6', 'A', '9'], ['9', '6', 'M', 'A'], ['A', '9', '6', 'M'], ['6', 'A', 'M', '9'], ['9', 'A', 'M', '6']]","[['6', '9'], ['9', 'M'], ['9', 'M'], ['6', 'A', 'M', '9'], ['9', 'A']]","['LOGIC_ERROR', 'MATCHING_BIAS', 'MATCHING_BIAS', 'ALL_CARDS', 'CORRECT']","[['M', '6', 'A', '9'], ['9', '6', 'M', 'A'], ['A', '9', '6', 'M'], ['6', 'A', 'M', '9'], ['9', 'A', 'M', '6']]","[['M', '9'], ['9', 'A'], ['9', 'M'], ['6', '9', 'M'], ['9', 'M']]","['MATCHING_BIAS', 'CORRECT', 'MATCHING_BIAS', 'LOGIC_ERROR', 'MATCHING_BIAS']","[['M', '6', 'A', '9'], ['9', '6', 'M', 'A'], ['A', '9', '6', 'M'], ['6', 'A', 'M', '9'], ['9', 'A', 'M', '6']]"
T08,"If the card shows an E, then the number is 2.","{'E': 'P', 'K': 'not_P', '2': 'Q', '9': 'not_Q'}","Rule: ""If the card shows an E, then the number is 2.""
Cards: ['E', 'K', '2', '9']

Which cards must you turn over?
Your answer:",['2'],NOISE,"['E', '9']",CORRECT,"['E', '9']",CORRECT,"['E', '9']",CORRECT,"['E', '9']",CORRECT,"['E', '9']",CORRECT,"[['E', '9'], ['9', 'E'], ['9', 'E'], ['E', '9'], ['9', 'E']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['9', 'E', '2', 'K'], ['K', '2', '9', 'E'], ['2', 'K', '9', 'E'], ['E', '9', '2', 'K'], ['9', 'K', '2', 'E']]","[['E', '9'], ['E', '9'], ['E', '9'], ['E', '9'], ['E', '9']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['9', 'E', '2', 'K'], ['K', '2', '9', 'E'], ['2', 'K', '9', 'E'], ['E', '9', '2', 'K'], ['9', 'K', '2', 'E']]","[['9', 'E'], ['E', '2'], ['2', 'E'], ['or E', '9'], ['9', 'K', 'E']]","['CORRECT', 'MATCHING_BIAS', 'MATCHING_BIAS', 'SINGLE_VIOLATION', 'LOGIC_ERROR']","[['9', 'E', '2', 'K'], ['K', '2', '9', 'E'], ['2', 'K', '9', 'E'], ['E', '9', '2', 'K'], ['9', 'K', '2', 'E']]","[['E', '2'], ['E'], ['2', 'E'], ['E'], ['E']]","['MATCHING_BIAS', 'CONFIRMATION_BIAS', 'MATCHING_BIAS', 'CONFIRMATION_BIAS', 'CONFIRMATION_BIAS']","[['9', 'E', '2', 'K'], ['K', '2', '9', 'E'], ['2', 'K', '9', 'E'], ['E', '9', '2', 'K'], ['9', 'K', '2', 'E']]","[['E'], ['K', '9'], ['K', '9'], ['9', 'K'], ['9', 'K']]","['CONFIRMATION_BIAS', 'LOGIC_ERROR', 'LOGIC_ERROR', 'LOGIC_ERROR', 'LOGIC_ERROR']","[['9', 'E', '2', 'K'], ['K', '2', '9', 'E'], ['2', 'K', '9', 'E'], ['E', '9', '2', 'K'], ['9', 'K', '2', 'E']]","[['E', '9'], ['E', '2'], ['E', '2'], ['E', '2'], ['E', '2']]","['CORRECT', 'MATCHING_BIAS', 'MATCHING_BIAS', 'MATCHING_BIAS', 'MATCHING_BIAS']","[['9', 'E', '2', 'K'], ['K', '2', '9', 'E'], ['2', 'K', '9', 'E'], ['E', '9', '2', 'K'], ['9', 'K', '2', 'E']]"
T09,"If the card shows a 7, then the letter is X.","{'7': 'P', '4': 'not_P', 'X': 'Q', 'Y': 'not_Q'}","Rule: ""If the card shows a 7, then the letter is X.""
Cards: ['7', '4', 'X', 'Y']

Which cards must you turn over?
Your answer:","['7', 'X']",MATCHING_BIAS,"['7', 'X']",MATCHING_BIAS,"['7', 'Y']",CORRECT,"['7', 'Y']",CORRECT,"['7', 'Y']",CORRECT,['7'],CONFIRMATION_BIAS,"[['4', '7'], ['7', 'Y'], ['7', 'Y'], ['7', 'Y'], ['Y', '7']]","['LOGIC_ERROR', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['X', '4', '7', 'Y'], ['4', '7', 'X', 'Y'], ['7', 'Y', '4', 'X'], ['7', '4', 'X', 'Y'], ['Y', '7', 'X', '4']]","[['7', 'Y'], ['7', 'Y'], ['7', 'Y'], ['7', 'Y'], ['7', 'Y']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['X', '4', '7', 'Y'], ['4', '7', 'X', 'Y'], ['7', 'Y', '4', 'X'], ['7', '4', 'X', 'Y'], ['Y', '7', 'X', '4']]","[['7', 'X'], ['4', '7'], ['7', 'Y'], ['7', 'X'], ['Y', '7']]","['MATCHING_BIAS', 'LOGIC_ERROR', 'CORRECT', 'MATCHING_BIAS', 'CORRECT']","[['X', '4', '7', 'Y'], ['4', '7', 'X', 'Y'], ['7', 'Y', '4', 'X'], ['7', '4', 'X', 'Y'], ['Y', '7', 'X', '4']]","[['7'], ['7', 'X'], ['7', 'X'], ['7', 'X'], ['7']]","['CONFIRMATION_BIAS', 'MATCHING_BIAS', 'MATCHING_BIAS', 'MATCHING_BIAS', 'CONFIRMATION_BIAS']","[['X', '4', '7', 'Y'], ['4', '7', 'X', 'Y'], ['7', 'Y', '4', 'X'], ['7', '4', 'X', 'Y'], ['Y', '7', 'X', '4']]","[['4', '7', 'Y'], ['4', 'X', 'Y'], ['7', 'Y', '4'], ['7', 'X'], ['7']]","['LOGIC_ERROR', 'LOGIC_ERROR', 'LOGIC_ERROR', 'MATCHING_BIAS', 'CONFIRMATION_BIAS']","[['X', '4', '7', 'Y'], ['4', '7', 'X', 'Y'], ['7', 'Y', '4', 'X'], ['7', '4', 'X', 'Y'], ['Y', '7', 'X', '4']]","[['7', 'X'], ['7', 'X'], ['7', 'X'], ['7', 'X'], ['7', 'X']]","['MATCHING_BIAS', 'MATCHING_BIAS', 'MATCHING_BIAS', 'MATCHING_BIAS', 'MATCHING_BIAS']","[['X', '4', '7', 'Y'], ['4', '7', 'X', 'Y'], ['7', 'Y', '4', 'X'], ['7', '4', 'X', 'Y'], ['Y', '7', 'X', '4']]"
T10,"If the letter is B, then the number is Greater than 10.","{'B': 'P', 'A': 'not_P', '15': 'Q', '5': 'not_Q'}","Rule: ""If the letter is B, then the number is Greater than 10.""
Cards: ['B', 'A', '15', '5']

Which cards must you turn over?
Your answer:","['B', '15']",MATCHING_BIAS,"['B', '5']",CORRECT,"['B', '5']",CORRECT,"['B', '5']",CORRECT,"['B', '5']",CORRECT,"['B', '5']",CORRECT,"[['B', '5'], ['B', '5'], ['B', '5'], ['B', '5'], ['B', '5']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['B', 'A', '5', '15'], ['15', 'B', '5', 'A'], ['B', '5', 'A', '15'], ['B', 'A', '15', '5'], ['A', 'B', '15', '5']]","[['B', '5'], ['B', '5'], ['B', '5'], ['B', '5'], ['B', '5']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['B', 'A', '5', '15'], ['15', 'B', '5', 'A'], ['B', '5', 'A', '15'], ['B', 'A', '15', '5'], ['A', 'B', '15', '5']]","[['B', '5'], ['15', 'B'], ['B', '5'], ['B', '5'], ['B', '5']]","['CORRECT', 'MATCHING_BIAS', 'CORRECT', 'CORRECT', 'CORRECT']","[['B', 'A', '5', '15'], ['15', 'B', '5', 'A'], ['B', '5', 'A', '15'], ['B', 'A', '15', '5'], ['A', 'B', '15', '5']]","[['B', '5'], ['15', 'B'], ['B', '5'], ['B', '15'], ['B', '15']]","['CORRECT', 'MATCHING_BIAS', 'CORRECT', 'MATCHING_BIAS', 'MATCHING_BIAS']","[['B', 'A', '5', '15'], ['15', 'B', '5', 'A'], ['B', '5', 'A', '15'], ['B', 'A', '15', '5'], ['A', 'B', '15', '5']]","[['B', '15'], ['B', '15'], ['B', '15'], ['B', '15'], ['B', '15', '5']]","['MATCHING_BIAS', 'MATCHING_BIAS', 'MATCHING_BIAS', 'MATCHING_BIAS', 'OVER_SELECTION']","[['B', 'A', '5', '15'], ['15', 'B', '5', 'A'], ['B', '5', 'A', '15'], ['B', 'A', '15', '5'], ['A', 'B', '15', '5']]","[['B', '5'], ['15', 'B', '5'], ['B', '5'], ['B', '5'], ['B', '5']]","['CORRECT', 'OVER_SELECTION', 'CORRECT', 'CORRECT', 'CORRECT']","[['B', 'A', '5', '15'], ['15', 'B', '5', 'A'], ['B', '5', 'A', '15'], ['B', 'A', '15', '5'], ['A', 'B', '15', '5']]"
