Rule Text,JSON Mapping,claude-sonnet-4.6_responses,claude-sonnet-4.6_categories,claude-sonnet-4.6_card_orders,grok-4.1-fast_responses,grok-4.1-fast_categories,grok-4.1-fast_card_orders,gpt-5.2_responses,gpt-5.2_categories,gpt-5.2_card_orders
"If there is an A on one side, then there is a 3 on the other side.","{'A': 'P', 'D': 'not_P', '3': 'Q', '7': 'not_Q'}","[['A', '7'], ['A', '7', 'D'], ['A', '7', 'D'], ['A', '7', 'D'], ['A', '7', 'D']]","['CORRECT', 'LOGIC_ERROR', 'LOGIC_ERROR', 'LOGIC_ERROR', 'LOGIC_ERROR']","[['3', 'D', '7', 'A'], ['A', '7', '3', 'D'], ['7', 'A', 'D', '3'], ['7', '3', 'D', 'A'], ['3', 'A', '7', 'D']]","[['A'], ['A', 'D'], ['A'], ['A'], ['A', '7']]","['CONFIRMATION_BIAS', 'LOGIC_ERROR', 'CONFIRMATION_BIAS', 'CONFIRMATION_BIAS', 'CORRECT']","[['3', 'D', '7', 'A'], ['A', '7', '3', 'D'], ['7', 'A', 'D', '3'], ['7', '3', 'D', 'A'], ['3', 'A', '7', 'D']]","[['7', 'A'], ['A', '7'], ['7', 'A'], ['7', 'A'], ['A', '7']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['3', 'D', '7', 'A'], ['A', '7', '3', 'D'], ['7', 'A', 'D', '3'], ['7', '3', 'D', 'A'], ['3', 'A', '7', 'D']]"
"If the letter is D, then the number must be 5.","{'D': 'P', 'F': 'not_P', '5': 'Q', '8': 'not_Q'}","[['D', '8'], ['8', 'D'], ['D', '8'], ['8', 'D'], ['D', '8']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['D', '5', 'F', '8'], ['8', 'D', 'F', '5'], ['F', 'D', '8', '5'], ['8', 'F', '5', 'D'], ['8', 'D', '5', 'F']]","[['D', '8'], ['D'], ['D', '5'], ['D'], ['D', '8']]","['CORRECT', 'CONFIRMATION_BIAS', 'MATCHING_BIAS', 'CONFIRMATION_BIAS', 'CORRECT']","[['D', '5', 'F', '8'], ['8', 'D', 'F', '5'], ['F', 'D', '8', '5'], ['8', 'F', '5', 'D'], ['8', 'D', '5', 'F']]","[['D', '8'], ['8', 'D'], ['D', '8'], ['8', 'D'], ['8', 'D']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['D', '5', 'F', '8'], ['8', 'D', 'F', '5'], ['F', 'D', '8', '5'], ['8', 'F', '5', 'D'], ['8', 'D', '5', 'F']]"
"If there is a U on the card, then there is an 8 on the back.","{'U': 'P', 'G': 'not_P', '8': 'Q', '1': 'not_Q'}","[['1', 'U'], ['U', '1'], ['U', '1'], ['1', 'G', 'U'], ['U', 'G', '1']]","['CORRECT', 'CORRECT', 'CORRECT', 'LOGIC_ERROR', 'LOGIC_ERROR']","[['G', '1', '8', 'U'], ['G', '1', 'U', '8'], ['1', 'U', 'G', '8'], ['1', 'G', '8', 'U'], ['8', 'G', 'U', '1']]","[['U', '1'], ['U'], ['U'], ['U'], ['U', '8']]","['CORRECT', 'CONFIRMATION_BIAS', 'CONFIRMATION_BIAS', 'CONFIRMATION_BIAS', 'MATCHING_BIAS']","[['G', '1', '8', 'U'], ['G', '1', 'U', '8'], ['1', 'U', 'G', '8'], ['1', 'G', '8', 'U'], ['8', 'G', 'U', '1']]","[['G', 'U'], ['U', '1'], ['U', '1'], ['1', 'U'], ['U', '1']]","['LOGIC_ERROR', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['G', '1', '8', 'U'], ['G', '1', 'U', '8'], ['1', 'U', 'G', '8'], ['1', 'G', '8', 'U'], ['8', 'G', 'U', '1']]"
"If the card shows an E, then the number is 2.","{'E': 'P', 'K': 'not_P', '2': 'Q', '9': 'not_Q'}","[['E', '9'], ['E', '9'], ['E', '9'], ['E', '9'], ['E', '9']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['9', 'K', 'E', '2'], ['E', '2', '9', 'K'], ['E', '9', '2', 'K'], ['9', 'E', 'K', '2'], ['K', 'E', '2', '9']]","[['E', '2'], ['E', '9'], ['E', '9'], ['9', 'E'], ['E', '9']]","['MATCHING_BIAS', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['9', 'K', 'E', '2'], ['E', '2', '9', 'K'], ['E', '9', '2', 'K'], ['9', 'E', 'K', '2'], ['K', 'E', '2', '9']]","[['9', 'E'], ['E', '9'], ['E', '9'], ['E', '9'], ['E', '9']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['9', 'K', 'E', '2'], ['E', '2', '9', 'K'], ['E', '9', '2', 'K'], ['9', 'E', 'K', '2'], ['K', 'E', '2', '9']]"
"If the card shows a 7, then the letter is X.","{'7': 'P', '4': 'not_P', 'X': 'Q', 'Y': 'not_Q'}","[['7', 'Y'], ['7', 'Y'], ['7', 'Y'], ['7', 'Y'], ['7', 'Y']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['X', '7', 'Y', '4'], ['4', 'X', '7', 'Y'], ['7', 'X', 'Y', '4'], ['4', 'Y', 'X', '7'], ['4', '7', 'X', 'Y']]","[['7'], ['7', 'Y'], ['7', 'Y'], ['Y', '7'], ['7', 'Y']]","['CONFIRMATION_BIAS', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['X', '7', 'Y', '4'], ['4', 'X', '7', 'Y'], ['7', 'X', 'Y', '4'], ['4', 'Y', 'X', '7'], ['4', '7', 'X', 'Y']]","[['7', 'Y'], ['7', 'Y'], ['7', 'Y'], ['Y', '7'], ['7', 'Y']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['X', '7', 'Y', '4'], ['4', 'X', '7', 'Y'], ['7', 'X', 'Y', '4'], ['4', 'Y', 'X', '7'], ['4', '7', 'X', 'Y']]"
"If the letter is K, then the number is 4.","{'K': 'P', 'A': 'not_P', '4': 'Q', '9': 'not_Q'}","[['K', '9'], ['K', '9'], ['K', '9'], ['K', '9'], ['K', '9']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['K', '9', '4', 'A'], ['9', '4', 'A', 'K'], ['4', '9', 'K', 'A'], ['A', 'K', '9', '4'], ['K', '9', 'A', '4']]","[['K'], ['9', 'K'], ['K', '9'], ['K', '9'], ['- **K**: turn (check if 4 on']]","['CONFIRMATION_BIAS', 'CORRECT', 'CORRECT', 'CORRECT', 'NOISE']","[['K', '9', '4', 'A'], ['9', '4', 'A', 'K'], ['4', '9', 'K', 'A'], ['A', 'K', '9', '4'], ['K', '9', 'A', '4']]","[['K', '9'], ['9', 'K'], ['9', 'K'], ['K', '9'], ['K']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CONFIRMATION_BIAS']","[['K', '9', '4', 'A'], ['9', '4', 'A', 'K'], ['4', '9', 'K', 'A'], ['A', 'K', '9', '4'], ['K', '9', 'A', '4']]"
"If the number is 6, then the letter is S.","{'6': 'P', '9': 'not_P', 'S': 'Q', 'P': 'not_Q'}","[['P', '6'], ['6', 'P'], ['6', 'P'], ['6', 'P'], ['6', 'P']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['S', '9', 'P', '6'], ['6', '9', 'S', 'P'], ['P', '6', '9', 'S'], ['9', 'P', 'S', '6'], ['6', 'P', 'S', '9']]","[['6', 'P'], ['6', 'P'], ['P', '6'], ['6', 'P'], ['6', 'P']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['S', '9', 'P', '6'], ['6', '9', 'S', 'P'], ['P', '6', '9', 'S'], ['9', 'P', 'S', '6'], ['6', 'P', 'S', '9']]","[['P', '6'], ['6', 'P'], ['P', '6'], ['6', 'P'], ['6', 'P']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['S', '9', 'P', '6'], ['6', '9', 'S', 'P'], ['P', '6', '9', 'S'], ['9', 'P', 'S', '6'], ['6', 'P', 'S', '9']]"
"If the number is 9, then the letter is L.","{'9': 'P', '2': 'not_P', 'L': 'Q', 'R': 'not_Q'}","[['9', 'R'], ['R', '9'], ['R', '9'], ['9', 'R'], ['R', '9']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['R', '9', 'L', '2'], ['2', 'L', 'R', '9'], ['L', '2', 'R', '9'], ['9', 'R', 'L', '2'], ['R', '2', 'L', '9']]","[['9', 'R'], ['9', 'R'], ['9', 'R'], ['9', 'R'], ['9']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CONFIRMATION_BIAS']","[['R', '9', 'L', '2'], ['2', 'L', 'R', '9'], ['L', '2', 'R', '9'], ['9', 'R', 'L', '2'], ['R', '2', 'L', '9']]","[['R', '9'], ['R', '9'], ['R', '9'], ['9', 'R'], ['R', '9']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['R', '9', 'L', '2'], ['2', 'L', 'R', '9'], ['L', '2', 'R', '9'], ['9', 'R', 'L', '2'], ['R', '2', 'L', '9']]"
"If there is an H on one side, there is a 1 on the other side.","{'H': 'P', 'O': 'not_P', '1': 'Q', '2': 'not_Q'}","[['H', 'O', '2'], ['H', 'O', '2'], ['H', '2', 'O'], ['H', '2'], ['H', '2']]","['LOGIC_ERROR', 'LOGIC_ERROR', 'LOGIC_ERROR', 'CORRECT', 'CORRECT']","[['1', 'O', 'H', '2'], ['O', 'H', '1', '2'], ['H', '2', 'O', '1'], ['H', 'O', '1', '2'], ['2', 'H', '1', 'O']]","[['H'], ['H', '2'], ['H', '2'], ['H', '2'], ['H']]","['CONFIRMATION_BIAS', 'CORRECT', 'CORRECT', 'CORRECT', 'CONFIRMATION_BIAS']","[['1', 'O', 'H', '2'], ['O', 'H', '1', '2'], ['H', '2', 'O', '1'], ['H', 'O', '1', '2'], ['2', 'H', '1', 'O']]","[['H', '2'], ['H', '2'], ['H', '2'], ['H', '2'], ['2', 'H']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['1', 'O', 'H', '2'], ['O', 'H', '1', '2'], ['H', '2', 'O', '1'], ['H', 'O', '1', '2'], ['2', 'H', '1', 'O']]"
"If the number is 10, then the letter is J.","{'10': 'P', '5': 'not_P', 'J': 'Q', 'K': 'not_Q'}","[['10', 'K'], ['10', 'K'], ['10', 'K'], ['10', 'K'], ['10', 'K']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['10', '5', 'K', 'J'], ['J', '10', 'K', '5'], ['10', 'K', '5', 'J'], ['10', '5', 'J', 'K'], ['5', '10', 'J', 'K']]","[['10', 'K'], ['10', 'K'], ['10'], ['10', 'K'], ['10', 'K']]","['CORRECT', 'CORRECT', 'CONFIRMATION_BIAS', 'CORRECT', 'CORRECT']","[['10', '5', 'K', 'J'], ['J', '10', 'K', '5'], ['10', 'K', '5', 'J'], ['10', '5', 'J', 'K'], ['5', '10', 'J', 'K']]","[['10', 'K'], ['10', 'K'], ['10', 'K'], ['10', 'K'], ['10', 'K']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['10', '5', 'K', 'J'], ['J', '10', 'K', '5'], ['10', 'K', '5', 'J'], ['10', '5', 'J', 'K'], ['5', '10', 'J', 'K']]"
