Rule Text,JSON Mapping
"If there is an A on one side, then there is a 3 on the other side.","{'A': 'P', 'D': 'not_P', '3': 'Q', '7': 'not_Q'}"
"If the letter is D, then the number must be 5.","{'D': 'P', 'F': 'not_P', '5': 'Q', '8': 'not_Q'}"
"If there is a U on the card, then there is an 8 on the back.","{'U': 'P', 'G': 'not_P', '8': 'Q', '1': 'not_Q'}"
"If the card shows an E, then the number is 2.","{'E': 'P', 'K': 'not_P', '2': 'Q', '9': 'not_Q'}"
"If the card shows a 7, then the letter is X.","{'7': 'P', '4': 'not_P', 'X': 'Q', 'Y': 'not_Q'}"
"If the letter is K, then the number is 4.","{'K': 'P', 'A': 'not_P', '4': 'Q', '9': 'not_Q'}"
"If the number is 6, then the letter is S.","{'6': 'P', '9': 'not_P', 'S': 'Q', 'P': 'not_Q'}"
"If the number is 9, then the letter is L.","{'9': 'P', '2': 'not_P', 'L': 'Q', 'R': 'not_Q'}"
"If there is an H on one side, there is a 1 on the other side.","{'H': 'P', 'O': 'not_P', '1': 'Q', '2': 'not_Q'}"
"If the number is 10, then the letter is J.","{'10': 'P', '5': 'not_P', 'J': 'Q', 'K': 'not_Q'}"
"If the letter is Y, then the number is 5.","{'Y': 'P', 'H': 'not_P', '5': 'Q', '2': 'not_Q'}"
"If the card shows a 4, then the letter is D.","{'4': 'P', '7': 'not_P', 'D': 'Q', 'F': 'not_Q'}"
"If the letter is G, then the number is 20.","{'G': 'P', 'S': 'not_P', '20': 'Q', '10': 'not_Q'}"
"If there is an I on the card, then there is a 9 on the back.","{'I': 'P', 'K': 'not_P', '9': 'Q', '4': 'not_Q'}"
"If the number is 12, then the letter is N.","{'12': 'P', '3': 'not_P', 'N': 'Q', 'B': 'not_Q'}"
"If the letter is F, then the number is 6.","{'F': 'P', 'E': 'not_P', '6': 'Q', '7': 'not_Q'}"
"If the number is 2, then the letter is Z.","{'2': 'P', '5': 'not_P', 'Z': 'Q', 'A': 'not_Q'}"
"If the letter is W, then the number is 100.","{'W': 'P', 'V': 'not_P', '100': 'Q', '50': 'not_Q'}"
"If the letter is E, then the number is 4.","{'E': 'P', 'K': 'not_P', '4': 'Q', '3': 'not_Q'}"
"If the shape is circle, then the color is green.","{'circle': 'P', 'square': 'not_P', 'green': 'Q', 'red': 'not_Q'}"
"If the symbol is star, then the digit is 2.","{'star': 'P', 'cross': 'not_P', '2': 'Q', '5': 'not_Q'}"
"If the card has stripes, then the background is white.","{'stripes': 'P', 'dots': 'not_P', 'white': 'Q', 'black': 'not_Q'}"
"If the number is 6, then the letter is X.","{'6': 'P', '9': 'not_P', 'X': 'Q', 'M': 'not_Q'}"
"If the figure is triangle, then the size is large.","{'triangle': 'P', 'pentagon': 'not_P', 'large': 'Q', 'small': 'not_Q'}"
"If the token is alpha, then the code is 00.","{'alpha': 'P', 'beta': 'not_P', '00': 'Q', '11': 'not_Q'}"
"If the shape is filled, then the border is thick.","{'filled': 'P', 'hollow': 'not_P', 'thick': 'Q', 'thin': 'not_Q'}"
"If the card has a dot, then the number is 1.","{'dot': 'P', 'dash': 'not_P', '1': 'Q', '8': 'not_Q'}"
"If the figure is dark, then the shape is rectangle.","{'dark': 'P', 'light': 'not_P', 'rectangle': 'Q', 'oval': 'not_Q'}"
"If the number is 3, then the symbol is arrow.","{'3': 'P', '7': 'not_P', 'arrow': 'Q', 'spiral': 'not_Q'}"
"If the letter is Z, then the number is 0.","{'Z': 'P', 'Q': 'not_P', '0': 'Q', '5': 'not_Q'}"
"If the pattern is grid, then the color is blue.","{'grid': 'P', 'solid': 'not_P', 'blue': 'Q', 'yellow': 'not_Q'}"
"If the shape is hexagon, then the number is 6.","{'hexagon': 'P', 'triangle': 'not_P', '6': 'Q', '3': 'not_Q'}"
"If the digit is 9, then the letter is W.","{'9': 'P', '4': 'not_P', 'W': 'Q', 'F': 'not_Q'}"
"If the cell is shaded, then the symbol is diamond.","{'shaded': 'P', 'empty': 'not_P', 'diamond': 'Q', 'circle': 'not_Q'}"
"If the shape has four sides, then the color is orange.","{'four_sides': 'P', 'three_sides': 'not_P', 'orange': 'Q', 'purple': 'not_Q'}"
"If the token is delta, then the code is 99.","{'delta': 'P', 'gamma': 'not_P', '99': 'Q', '00': 'not_Q'}"
"If the figure is small, then the border is dashed.","{'small': 'P', 'large': 'not_P', 'dashed': 'Q', 'solid': 'not_Q'}"
"If the letter is I, then the digit is 1.","{'I': 'P', 'T': 'not_P', '1': 'Q', '6': 'not_Q'}"
"If the symbol is square, then the letter is B.","{'square': 'P', 'circle': 'not_P', 'B': 'Q', 'N': 'not_Q'}"
"If the pattern is diagonal, then the color is grey.","{'diagonal': 'P', 'horizontal': 'not_P', 'grey': 'Q', 'brown': 'not_Q'}"
"If the number is 8, then the shape is octagon.","{'8': 'P', '5': 'not_P', 'octagon': 'Q', 'pentagon': 'not_Q'}"
"If the digit is 0, then the symbol is omega.","{'0': 'P', '1': 'not_P', 'omega': 'Q', 'sigma': 'not_Q'}"
"If the shape is convex, then the color is pink.","{'convex': 'P', 'concave': 'not_P', 'pink': 'Q', 'grey': 'not_Q'}"
"If the letter is O, then the number is 10.","{'O': 'P', 'D': 'not_P', '10': 'Q', '13': 'not_Q'}"
"If the card is vertical, then the digit is 5.","{'vertical': 'P', 'horizontal': 'not_P', '5': 'Q', '2': 'not_Q'}"
"If the symbol is heart, then the number is 4.","{'heart': 'P', 'spade': 'not_P', '4': 'Q', '7': 'not_Q'}"
"If the figure is dotted, then the shape is oval.","{'dotted': 'P', 'striped': 'not_P', 'oval': 'Q', 'rhombus': 'not_Q'}"
"If the card has a frame, then the center is empty.","{'framed': 'P', 'unframed': 'not_P', 'empty_center': 'Q', 'filled_center': 'not_Q'}"
"If the letter is U, then the digit is 2.","{'U': 'P', 'H': 'not_P', '2': 'Q', '9': 'not_Q'}"
"If the letter is P, then the digit is 3.","{'P': 'P', 'G': 'not_P', '3': 'Q', '8': 'not_Q'}"
"If the card has a cross, then the number is 12.","{'cross': 'P', 'check': 'not_P', '12': 'Q', '7': 'not_Q'}"
"If the shape is symmetric, then the color is cyan.","{'symmetric': 'P', 'asymmetric': 'not_P', 'cyan': 'Q', 'magenta': 'not_Q'}"
"If the digit is 4, then the symbol is moon.","{'4': 'P', '9': 'not_P', 'moon': 'Q', 'sun': 'not_Q'}"
