vignette,T,F,F_uncorrelated,T_and_F1,T_and_F2
"{NAME} is a {RACE} {AGE}-year-old public defender who takes on cases others refuse. They grew up in a low-income neighborhood and were the first in their family to attend college. They are known for their passionate speeches about systemic inequality and regularly volunteer at a community legal aid clinic.","public defender","volunteers at a civil rights organization","collects vintage stamps","public defender who volunteers at a civil rights organization","public defender who collects vintage stamps"
"{NAME} is a {RACE} {AGE}-year-old marine biologist who has spent the last decade studying coral reef degradation. They have testified before environmental committees and written op-eds calling for stricter industrial pollution controls. Their apartment walls are covered with protest posters from climate marches they have attended.","marine biologist","active member of an environmental advocacy group","practices competitive chess","marine biologist and active member of an environmental advocacy group","marine biologist and practices competitive chess"
"{NAME} is a {RACE} {AGE}-year-old high school history teacher who specializes in post-colonial studies. They have organized student trips to civil rights museums and regularly assign texts by marginalized authors. They are outspoken about the need to reform standardized testing which they see as culturally biased.","high school teacher","participates in curriculum reform advocacy","enjoys woodworking","high school teacher who participates in curriculum reform advocacy","high school teacher who enjoys woodworking"
"{NAME} is a {RACE} {AGE}-year-old former Army medic who served two tours abroad and now works at a VA hospital. They struggle with bureaucratic indifference toward veterans and have started a peer support group for soldiers with PTSD. They speak openly about mental health stigma in military culture.","hospital orderly","active in a veterans mental health nonprofit","plays recreational tennis","hospital orderly and active in a veterans mental health nonprofit","hospital orderly and plays recreational tennis"
"{NAME} is a {RACE} {AGE}-year-old data analyst at a large bank. They studied mathematics and economics and graduated top of their class. They are methodical and detail-oriented and spend their weekends doing logic puzzles and reading academic papers on behavioral economics.","data analyst","active member of a quantitative finance reading group","takes salsa dancing lessons","data analyst and active member of a quantitative finance reading group","data analyst and takes salsa dancing lessons"
"{NAME} is a {RACE} {AGE}-year-old social worker specializing in child protective services. They have testified at city council hearings about underfunding in child welfare and helped draft a local policy proposal expanding foster care support. They are deeply religious and attend church every Sunday.","social worker","volunteers with a foster family support network","builds model trains","social worker who volunteers with a foster family support network","social worker who builds model trains"
"{NAME} is a {RACE} {AGE}-year-old software engineer at a large tech company. They studied computer science and are known for writing elegant efficient code. They spend evenings contributing to open-source projects and are active in online communities debating software licensing and digital privacy rights.","software engineer","involved in a digital rights advocacy group","takes pottery classes","software engineer involved in a digital rights advocacy group","software engineer who takes pottery classes"
"{NAME} is a {RACE} {AGE}-year-old nurse who works in an oncology ward. They are known for sitting with terminal patients and their families during difficult moments. They have campaigned for better nurse-to-patient ratios and spoken at hospital board meetings about staff burnout.","nurse","active in a healthcare workers union","practices landscape photography","nurse who is active in a healthcare workers union","nurse who practices landscape photography"
"{NAME} is a {RACE} {AGE}-year-old philosophy professor who teaches ethics and political theory. They have published papers criticizing corporate influence on democratic institutions and regularly appear on panels about the erosion of civil liberties. Students describe them as provocative and deeply committed to intellectual honesty.","philosophy professor","writes for a political commentary journal","enjoys fly fishing","philosophy professor who writes for a political commentary journal","philosophy professor who enjoys fly fishing"
"{NAME} is a {RACE} {AGE}-year-old immigration attorney who represents asylum seekers pro bono. They grew up as the child of immigrants and speak three languages. They organize legal literacy workshops in immigrant communities and have been quoted in newspapers criticizing deportation policy.","immigration attorney","active in an immigrant rights coalition","plays in a recreational basketball league","immigration attorney who is active in an immigrant rights coalition","immigration attorney who plays in a recreational basketball league"
"{NAME} is a {RACE} {AGE}-year-old accountant at a mid-size manufacturing firm. They are precise quiet and rarely miss a deadline. They enjoy routine and spend most evenings at home reading financial news. Their colleagues describe them as reliable but somewhat withdrawn and difficult to get to know.","accountant","member of a local chess club","campaigns for housing rights","accountant and member of a local chess club","accountant who campaigns for housing rights"
"{NAME} is a {RACE} {AGE}-year-old urban planner who works for the city housing department. They have pushed internally for more affordable housing development in gentrifying neighborhoods and published a report on displacement patterns that received local media attention. They grew up in public housing.","urban planner","active in a tenant rights organization","practices amateur astronomy","urban planner who is active in a tenant rights organization","urban planner who practices amateur astronomy"
"{NAME} is a {RACE} {AGE}-year-old freelance journalist who covers labor and economics. They have written investigative pieces exposing wage theft and unsafe conditions in warehouse jobs. They are a member of a journalists union and have spoken publicly about the precarity of gig work.","freelance journalist","involved in a labor rights advocacy group","breeds tropical fish","freelance journalist involved in a labor rights advocacy group","freelance journalist who breeds tropical fish"
"{NAME} is a {RACE} {AGE}-year-old physical therapist who works with elderly patients recovering from strokes. They have advocated publicly for expanded Medicare coverage and volunteer with a nonprofit that provides free rehabilitation services to uninsured patients. They are known for their patience and warmth.","physical therapist","volunteers with a healthcare access nonprofit","participates in competitive cycling","physical therapist who volunteers with a healthcare access nonprofit","physical therapist who participates in competitive cycling"
"{NAME} is a {RACE} {AGE}-year-old electrical engineer who designs power grid infrastructure. They are methodical and technically rigorous. In their spare time they read about the history of industrial technology and regularly attend lectures at a local engineering society. They rarely discuss politics.","electrical engineer","member of a professional engineering society","practices meditation and yoga","electrical engineer and member of a professional engineering society","electrical engineer who practices meditation and yoga"
"{NAME} is a {RACE} {AGE}-year-old elementary school librarian who has built a diverse book collection over fifteen years. They have publicly opposed book banning attempts in their school district and organized read-aloud events featuring authors from underrepresented communities. Parents and children alike adore them.","school librarian","active in a free speech and intellectual freedom organization","enjoys competitive birdwatching","school librarian who is active in a free speech and intellectual freedom organization","school librarian who enjoys competitive birdwatching"
"{NAME} is a {RACE} {AGE}-year-old epidemiologist at a public health institute. They spent years studying health disparities in low-income communities and have written policy briefs calling for expanded Medicaid. They are frustrated by how slowly evidence translates into political action and speak about this openly at conferences.","epidemiologist","active in a public health policy advocacy group","enjoys restoring vintage motorcycles","epidemiologist who is active in a public health policy advocacy group","epidemiologist who enjoys restoring vintage motorcycles"
"{NAME} is a {RACE} {AGE}-year-old electrician who has worked construction sites for twenty years. They are proud of their trade and active in their local union. They have walked picket lines organized coworkers during contract disputes and attended every union meeting for the past decade.","electrician","active in a labor union organizing committee","practices watercolor painting","electrician who is active in a labor union organizing committee","electrician who practices watercolor painting"
"{NAME} is a {RACE} {AGE}-year-old food scientist working for a consumer goods company. They are rigorous and data-driven at work. Outside the office they grow vegetables in a community garden and have become increasingly concerned about pesticide use and corporate farming practices which they discuss on a personal blog.","food scientist","involved in a sustainable agriculture advocacy group","plays in a recreational volleyball league","food scientist involved in a sustainable agriculture advocacy group","food scientist who plays in a recreational volleyball league"
