model,prompt_style,reasoning,category,success_rate,mean_auc_iou,confirming_test_rate,hypothesis_change_rate
anthropic__claude-sonnet-4.6,adaptive,none,Арифметика,0.4,0.026139681699879062,0.7678571428571429,0.6796153846153846
anthropic__claude-sonnet-4.6,adaptive,none,Паттерн,0.09090909090909091,0.05485598086124402,0.801980198019802,0.7741046831955923
anthropic__claude-sonnet-4.6,adaptive,none,Порядок,0.4444444444444444,0.2620179532163742,0.9491525423728814,0.7555555555555555
anthropic__claude-sonnet-4.6,adaptive,none,Смешанные,0.3,0.26323836429308567,0.7125,0.46875
anthropic__claude-sonnet-4.6,adaptive,none,Чётность,0.2,0.172755350877193,0.7423312883435583,0.6152777777777778
deepseek__deepseek-v3.2,adaptive,none,Арифметика,0.2,0.014785562435500516,0.7428571428571429,0.45625
deepseek__deepseek-v3.2,adaptive,none,Паттерн,0.09090909090909091,0.07192136021872864,0.7254901960784313,0.7575757575757577
deepseek__deepseek-v3.2,adaptive,none,Порядок,0.2222222222222222,0.224733918128655,0.9022556390977443,0.6604938271604939
deepseek__deepseek-v3.2,adaptive,none,Смешанные,0.1,0.18187684210526317,0.7790697674418605,0.47777777777777775
deepseek__deepseek-v3.2,adaptive,none,Чётность,0.2,0.09182286184210527,0.7283236994219653,0.611111111111111
google__gemma-3-12b-it,adaptive,none,Арифметика,0.2,0.11087736842105263,0.8227848101265823,0.45
google__gemma-3-12b-it,adaptive,none,Паттерн,0.0,0.0013311004784688995,0.6172248803827751,0.6464646464646464
google__gemma-3-12b-it,adaptive,none,Порядок,0.0,0.0015929824561403511,0.5964912280701754,0.6666666666666666
google__gemma-3-12b-it,adaptive,none,Смешанные,0.0,0.0010239473684210527,0.7789473684210526,0.3277777777777778
google__gemma-3-12b-it,adaptive,none,Чётность,0.0,0.0018694736842105263,0.7894736842105263,0.4333333333333333
google__gemma-3-27b-it,adaptive,none,Арифметика,0.4,0.03248408333333333,0.8646616541353384,0.95
google__gemma-3-27b-it,adaptive,none,Паттерн,0.0,0.015886602870813397,0.84688995215311,0.9090909090909091
google__gemma-3-27b-it,adaptive,none,Порядок,0.0,0.009945906432748538,0.7839506172839507,0.8950617283950617
google__gemma-3-27b-it,adaptive,none,Смешанные,0.1,0.02734032388663967,0.8532608695652174,0.875
google__gemma-3-27b-it,adaptive,none,Чётность,0.0,0.0029452631578947377,0.8578947368421053,0.8277777777777778
openai__gpt-5.2,adaptive,none,Арифметика,0.2,0.09129293085655314,0.6057142857142858,0.7047222222222222
openai__gpt-5.2,adaptive,none,Паттерн,0.18181818181818182,0.09309125844915318,0.6059113300492611,0.6665295488824902
openai__gpt-5.2,adaptive,none,Порядок,0.3333333333333333,0.1473352312599681,0.6183206106870229,0.7728395061728395
openai__gpt-5.2,adaptive,none,Смешанные,0.2,0.17810959649122807,0.47023809523809523,0.4126984126984127
openai__gpt-5.2,adaptive,none,Чётность,0.0,0.027736578947368418,0.6157894736842106,0.7722222222222223
qwen__qwen3-next-80b-a3b-instruct,adaptive,none,Арифметика,0.1,0.04216473684210527,0.7784090909090909,0.7666666666666666
qwen__qwen3-next-80b-a3b-instruct,adaptive,none,Паттерн,0.18181818181818182,0.05429011164274322,0.6844919786096256,0.7646464646464647
qwen__qwen3-next-80b-a3b-instruct,adaptive,none,Порядок,0.5555555555555556,0.2837329556530215,0.6638655462184874,0.6864197530864198
qwen__qwen3-next-80b-a3b-instruct,adaptive,none,Смешанные,0.1,0.13291921052631578,0.7034883720930233,0.6833333333333333
qwen__qwen3-next-80b-a3b-instruct,adaptive,none,Чётность,0.3,0.09098262483130905,0.7551020408163265,0.75
qwen__qwen3.5-397b-a17b,adaptive,none,Арифметика,0.2,0.02857055555555556,0.5795454545454546,0.8022875816993464
qwen__qwen3.5-397b-a17b,adaptive,none,Паттерн,0.09090909090909091,0.08607356459330144,0.5959595959595959,0.8412698412698412
qwen__qwen3.5-397b-a17b,adaptive,none,Порядок,0.2222222222222222,0.051099805068226124,0.4966442953020134,0.7687991021324354
qwen__qwen3.5-397b-a17b,adaptive,none,Смешанные,0.2,0.06378221804511278,0.6449704142011834,0.5594017094017094
qwen__qwen3.5-397b-a17b,adaptive,none,Чётность,0.2,0.045384572368421056,0.6737967914438503,0.7722222222222223
x-ai__grok-4.1-fast,adaptive,none,Арифметика,0.1,0.035106081871345035,0.7111111111111111,0.8152777777777779
x-ai__grok-4.1-fast,adaptive,none,Паттерн,0.0,0.01809545454545455,0.722488038277512,0.7575757575757577
x-ai__grok-4.1-fast,adaptive,none,Порядок,0.2222222222222222,0.23427543859649122,0.7481481481481481,0.6728395061728395
x-ai__grok-4.1-fast,adaptive,none,Смешанные,0.1,0.15366605263157893,0.5697674418604651,0.6833333333333333
x-ai__grok-4.1-fast,adaptive,none,Чётность,0.0,0.00825078947368421,0.6157894736842106,0.95
z-ai__glm-4.7-flash,adaptive,none,Арифметика,0.3,0.14732421052631578,0.5899280575539568,0.4333333333333333
z-ai__glm-4.7-flash,adaptive,none,Паттерн,0.0,0.02042296650717703,0.5119617224880383,0.5252525252525252
z-ai__glm-4.7-flash,adaptive,none,Порядок,0.0,0.014865204678362574,0.391812865497076,0.654320987654321
z-ai__glm-4.7-flash,adaptive,none,Смешанные,0.0,0.011466052631578948,0.45789473684210524,0.48888888888888893
z-ai__glm-4.7-flash,adaptive,none,Чётность,0.0,0.01358184210526316,0.49473684210526314,0.6277777777777778
