ID,Rule Text,JSON Mapping,prompt,llama-3.2-3b-instruct_response,llama-3.2-3b-instruct_category,qwen3-30b-a3b-instruct-2507_response,qwen3-30b-a3b-instruct-2507_category,gpt-5.2_response,gpt-5.2_category,claude-sonnet-4.5_response,claude-sonnet-4.5_category,qwen3-30b-a3b_response,qwen3-30b-a3b_category,qwen3-8b-reasoning_response,qwen3-8b-reasoning_category,qwen3.5-397b-a17b_responses,qwen3.5-397b-a17b_categories,qwen3.5-397b-a17b_card_orders,glm-4.7-flash_responses,glm-4.7-flash_categories,glm-4.7-flash_card_orders,qwen3-next-80b-a3b-instruct_responses,qwen3-next-80b-a3b-instruct_categories,qwen3-next-80b-a3b-instruct_card_orders,gemma-3-12b-it_responses,gemma-3-12b-it_categories,gemma-3-12b-it_card_orders,deepseek-v3.2_responses,deepseek-v3.2_categories,deepseek-v3.2_card_orders,gemma-3-27b-it_responses,gemma-3-27b-it_categories,gemma-3-27b-it_card_orders
T01,"If a card has a Vowel on one side, then it has an Even Number on the other side.","{'A': 'P', 'K': 'not_P', '4': 'Q', '7': 'not_Q'}","Rule: ""If a card has a Vowel on one side, then it has an Even Number on the other side.""
Cards: ['A', 'K', '4', '7']

Which cards must you turn over?
Your answer:","['A', '4']",MATCHING_BIAS,"['A', '7']",CORRECT,"['A', '7']",CORRECT,"['A', '7']",CORRECT,"['A', '7']",CORRECT,"['A', '7']",CORRECT,"[['7', 'A'], ['A', '7'], ['7', 'A'], ['A', '7'], ['A', '7']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['4', 'K', '7', 'A'], ['A', '7', '4', 'K'], ['7', 'A', 'K', '4'], ['7', '4', 'K', 'A'], ['4', 'A', '7', 'K']]","[['K', 'A'], ['A', '4'], ['A', '4'], ['A'], ['A']]","['LOGIC_ERROR', 'MATCHING_BIAS', 'MATCHING_BIAS', 'CONFIRMATION_BIAS', 'CONFIRMATION_BIAS']","[['4', 'K', '7', 'A'], ['A', '7', '4', 'K'], ['7', 'A', 'K', '4'], ['7', '4', 'K', 'A'], ['4', 'A', '7', 'K']]","[['A', '7'], ['A', '7'], ['7', 'A'], ['A', '7'], ['A', '7']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['4', 'K', '7', 'A'], ['A', '7', '4', 'K'], ['7', 'A', 'K', '4'], ['7', '4', 'K', 'A'], ['4', 'A', '7', 'K']]","[['4', 'A'], ['A', '7'], ['A'], ['7', 'A'], ['7']]","['MATCHING_BIAS', 'CORRECT', 'CONFIRMATION_BIAS', 'CORRECT', 'SINGLE_VIOLATION']","[['4', 'K', '7', 'A'], ['A', '7', '4', 'K'], ['7', 'A', 'K', '4'], ['7', '4', 'K', 'A'], ['4', 'A', '7', 'K']]","[['7', 'A'], ['A', '7'], ['A', '7'], ['7', 'K', 'A'], ['A', '7']]","['CORRECT', 'CORRECT', 'CORRECT', 'LOGIC_ERROR', 'CORRECT']","[['4', 'K', '7', 'A'], ['A', '7', '4', 'K'], ['7', 'A', 'K', '4'], ['7', '4', 'K', 'A'], ['4', 'A', '7', 'K']]","[['A', '7'], ['A', '7'], ['7', 'A'], ['7', 'A'], ['A', '4']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'MATCHING_BIAS']","[['4', 'K', '7', 'A'], ['A', '7', '4', 'K'], ['7', 'A', 'K', '4'], ['7', '4', 'K', 'A'], ['4', 'A', '7', 'K']]"
T02,"If a card has a Consonant on one side, then it has an Odd Number on the other side.","{'K': 'P', 'A': 'not_P', '7': 'Q', '4': 'not_Q'}","Rule: ""If a card has a Consonant on one side, then it has an Odd Number on the other side.""
Cards: ['K', 'A', '7', '4']

Which cards must you turn over?
Your answer:","['K', '7']",MATCHING_BIAS,"['K', '7', '4']",OVER_SELECTION,"['K', '4']",CORRECT,"['K', '4']",CORRECT,"['K', '4']",CORRECT,"['K', '4']",CORRECT,"[['K', '4'], ['4', 'K'], ['K', '4'], ['4', 'K'], ['K', '4']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['K', '7', 'A', '4'], ['4', 'K', 'A', '7'], ['A', 'K', '4', '7'], ['4', 'A', '7', 'K'], ['4', 'K', '7', 'A']]","[['K', '4'], ['K'], ['K'], ['K'], ['4', 'K']]","['CORRECT', 'CONFIRMATION_BIAS', 'CONFIRMATION_BIAS', 'CONFIRMATION_BIAS', 'CORRECT']","[['K', '7', 'A', '4'], ['4', 'K', 'A', '7'], ['A', 'K', '4', '7'], ['4', 'A', '7', 'K'], ['4', 'K', '7', 'A']]","[['K', '4'], ['4', 'K'], ['K', '4'], ['4', 'K'], ['K', '4']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['K', '7', 'A', '4'], ['4', 'K', 'A', '7'], ['A', 'K', '4', '7'], ['4', 'A', '7', 'K'], ['4', 'K', '7', 'A']]","[['K', '7', 'A', '4'], ['4'], ['K', '4'], ['4', 'A', 'K'], ['4']]","['ALL_CARDS', 'SINGLE_VIOLATION', 'CORRECT', 'LOGIC_ERROR', 'SINGLE_VIOLATION']","[['K', '7', 'A', '4'], ['4', 'K', 'A', '7'], ['A', 'K', '4', '7'], ['4', 'A', '7', 'K'], ['4', 'K', '7', 'A']]","[['K', '4'], ['4', 'K'], ['K', '4'], ['4', 'A', 'K'], ['4', 'K']]","['CORRECT', 'CORRECT', 'CORRECT', 'LOGIC_ERROR', 'CORRECT']","[['K', '7', 'A', '4'], ['4', 'K', 'A', '7'], ['A', 'K', '4', '7'], ['4', 'A', '7', 'K'], ['4', 'K', '7', 'A']]","[['K', '4'], ['4', 'K'], ['K', '4'], ['4', 'K'], ['K']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CONFIRMATION_BIAS']","[['K', '7', 'A', '4'], ['4', 'K', 'A', '7'], ['A', 'K', '4', '7'], ['4', 'A', '7', 'K'], ['4', 'K', '7', 'A']]"
T03,"If there is an A on one side, then there is a 3 on the other side.","{'A': 'P', 'D': 'not_P', '3': 'Q', '7': 'not_Q'}","Rule: ""If there is an A on one side, then there is a 3 on the other side.""
Cards: ['A', 'D', '3', '7']

Which cards must you turn over?
Your answer:","['A', '3']",MATCHING_BIAS,"['A', '7']",CORRECT,"['A', '7']",CORRECT,"['A', '7']",CORRECT,"['A', '7']",CORRECT,[''],NOISE,"[['A', '7'], ['A', '7'], ['A', '7'], ['A', '7'], ['A', '7']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['D', '7', '3', 'A'], ['D', '7', 'A', '3'], ['7', 'A', 'D', '3'], ['7', 'D', '3', 'A'], ['3', 'D', 'A', '7']]","[['3', 'A'], ['A'], ['A', '3'], ['A'], ['A', '7']]","['MATCHING_BIAS', 'CONFIRMATION_BIAS', 'MATCHING_BIAS', 'CONFIRMATION_BIAS', 'CORRECT']","[['D', '7', '3', 'A'], ['D', '7', 'A', '3'], ['7', 'A', 'D', '3'], ['7', 'D', '3', 'A'], ['3', 'D', 'A', '7']]","[['A', '7'], ['A', '7'], ['A', '7'], ['A', '7'], ['A', '7']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['D', '7', '3', 'A'], ['D', '7', 'A', '3'], ['7', 'A', 'D', '3'], ['7', 'D', '3', 'A'], ['3', 'D', 'A', '7']]","[['A'], ['A', '3'], ['3'], ['None'], ['A', '3']]","['CONFIRMATION_BIAS', 'MATCHING_BIAS', 'NOISE', 'NOISE', 'MATCHING_BIAS']","[['D', '7', '3', 'A'], ['D', '7', 'A', '3'], ['7', 'A', 'D', '3'], ['7', 'D', '3', 'A'], ['3', 'D', 'A', '7']]","[['A', 'D', '7'], ['A', 'D', '7'], ['7', 'A', 'D'], ['7', 'D', 'A'], ['A', 'D', '7']]","['LOGIC_ERROR', 'LOGIC_ERROR', 'LOGIC_ERROR', 'LOGIC_ERROR', 'LOGIC_ERROR']","[['D', '7', '3', 'A'], ['D', '7', 'A', '3'], ['7', 'A', 'D', '3'], ['7', 'D', '3', 'A'], ['3', 'D', 'A', '7']]","[['A'], ['A', '3'], ['A', '3'], ['A'], ['A', '3']]","['CONFIRMATION_BIAS', 'MATCHING_BIAS', 'MATCHING_BIAS', 'CONFIRMATION_BIAS', 'MATCHING_BIAS']","[['D', '7', '3', 'A'], ['D', '7', 'A', '3'], ['7', 'A', 'D', '3'], ['7', 'D', '3', 'A'], ['3', 'D', 'A', '7']]"
T04,"If the letter is D, then the number must be 5.","{'D': 'P', 'F': 'not_P', '5': 'Q', '8': 'not_Q'}","Rule: ""If the letter is D, then the number must be 5.""
Cards: ['D', 'F', '5', '8']

Which cards must you turn over?
Your answer:","['F', '8']",LOGIC_ERROR,"['D', '8']",CORRECT,"['D', '8']",CORRECT,"['D', '8']",CORRECT,"['D', '8']",CORRECT,"['D', '8']",CORRECT,"[['D', '8'], ['D', '8'], ['D', '8'], ['D', '8'], ['D', '8']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['8', 'F', 'D', '5'], ['D', '5', '8', 'F'], ['D', '8', '5', 'F'], ['8', 'D', 'F', '5'], ['F', 'D', '5', '8']]","[['D'], ['D', '8'], ['D', '5'], ['D'], ['D', '5']]","['CONFIRMATION_BIAS', 'CORRECT', 'MATCHING_BIAS', 'CONFIRMATION_BIAS', 'MATCHING_BIAS']","[['8', 'F', 'D', '5'], ['D', '5', '8', 'F'], ['D', '8', '5', 'F'], ['8', 'D', 'F', '5'], ['F', 'D', '5', '8']]","[['D', '8'], ['D', '8'], ['- The card showing **'], ['D', '8'], ['D', '8']]","['CORRECT', 'CORRECT', 'NOISE', 'CORRECT', 'CORRECT']","[['8', 'F', 'D', '5'], ['D', '5', '8', 'F'], ['D', '8', '5', 'F'], ['8', 'D', 'F', '5'], ['F', 'D', '5', '8']]","[['D', '5'], ['D', '5'], ['D', '5'], ['D', '5'], ['However', 'if we want to be absolutely sure that the rule is not violated']]","['MATCHING_BIAS', 'MATCHING_BIAS', 'MATCHING_BIAS', 'MATCHING_BIAS', 'NOISE']","[['8', 'F', 'D', '5'], ['D', '5', '8', 'F'], ['D', '8', '5', 'F'], ['8', 'D', 'F', '5'], ['F', 'D', '5', '8']]","[['8', 'D'], ['D', '8'], ['D', '8'], ['8', 'D'], ['D', '8']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['8', 'F', 'D', '5'], ['D', '5', '8', 'F'], ['D', '8', '5', 'F'], ['8', 'D', 'F', '5'], ['F', 'D', '5', '8']]","[['D', '5'], ['D', '5'], ['D', '8'], ['D', '5'], ['D', '5']]","['MATCHING_BIAS', 'MATCHING_BIAS', 'CORRECT', 'MATCHING_BIAS', 'MATCHING_BIAS']","[['8', 'F', 'D', '5'], ['D', '5', '8', 'F'], ['D', '8', '5', 'F'], ['8', 'D', 'F', '5'], ['F', 'D', '5', '8']]"
T05,"If there is a U on the card, then there is an 8 on the back.","{'U': 'P', 'G': 'not_P', '8': 'Q', '1': 'not_Q'}","Rule: ""If there is a U on the card, then there is an 8 on the back.""
Cards: ['U', 'G', '8', '1']

Which cards must you turn over?
Your answer:","['G', '1']",LOGIC_ERROR,"['U', '8']",MATCHING_BIAS,"['U', '1']",CORRECT,"['U', '1']",CORRECT,['U'],CONFIRMATION_BIAS,"['U', '1']",CORRECT,"[['U', '1'], ['U', '1'], ['U', '1'], ['1', 'U'], ['U', '1']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['8', 'U', '1', 'G'], ['G', '8', 'U', '1'], ['U', '8', '1', 'G'], ['G', '1', '8', 'U'], ['G', 'U', '8', '1']]","[['U'], ['U'], ['U'], ['U'], ['U']]","['CONFIRMATION_BIAS', 'CONFIRMATION_BIAS', 'CONFIRMATION_BIAS', 'CONFIRMATION_BIAS', 'CONFIRMATION_BIAS']","[['8', 'U', '1', 'G'], ['G', '8', 'U', '1'], ['U', '8', '1', 'G'], ['G', '1', '8', 'U'], ['G', 'U', '8', '1']]","[['We need to check any card that **might have a non-8 on the back**', 'because if it has a U on the front', 'that would violate'], [""What if the back of the '1""], ['So **only if'], ['So if a card has **8 on front**', 'back could be'], ['Wait — this is the critical point.']]","['NOISE', 'NOISE', 'NOISE', 'NOISE', 'NOISE']","[['8', 'U', '1', 'G'], ['G', '8', 'U', '1'], ['U', '8', '1', 'G'], ['G', '1', '8', 'U'], ['G', 'U', '8', '1']]","[['U'], ['U'], ['U'], ['U'], ['U']]","['CONFIRMATION_BIAS', 'CONFIRMATION_BIAS', 'CONFIRMATION_BIAS', 'CONFIRMATION_BIAS', 'CONFIRMATION_BIAS']","[['8', 'U', '1', 'G'], ['G', '8', 'U', '1'], ['U', '8', '1', 'G'], ['G', '1', '8', 'U'], ['G', 'U', '8', '1']]","[['But in the original Wason selection task with numbers and letters', 'the correct answer for “If vowel', 'then even number” with cards showing E', 'K', '4', '7 is E and 7'], ['- 1 (to check if U on back — because if 1’s back is U', 'then'], ['U'], ['G', '1', 'U'], ['- Which cards could be ""not 8 on back""? We don’t know', 'so we check cards whose front is not necessarily U but could be U if we turn? No — we look at front to']]","['NOISE', 'NOISE', 'CONFIRMATION_BIAS', 'LOGIC_ERROR', 'NOISE']","[['8', 'U', '1', 'G'], ['G', '8', 'U', '1'], ['U', '8', '1', 'G'], ['G', '1', '8', 'U'], ['G', 'U', '8', '1']]","[['U', '8'], ['U', '8'], ['U', '8'], ['U'], ['U', '8']]","['MATCHING_BIAS', 'MATCHING_BIAS', 'MATCHING_BIAS', 'CONFIRMATION_BIAS', 'MATCHING_BIAS']","[['8', 'U', '1', 'G'], ['G', '8', 'U', '1'], ['U', '8', '1', 'G'], ['G', '1', '8', 'U'], ['G', 'U', '8', '1']]"
T06,"If the number is Even, then the letter is a Vowel.","{'4': 'P', '7': 'not_P', 'E': 'Q', 'K': 'not_Q'}","Rule: ""If the number is Even, then the letter is a Vowel.""
Cards: ['4', '7', 'E', 'K']

Which cards must you turn over?
Your answer:","['4', 'E']",MATCHING_BIAS,"['4', 'E']",MATCHING_BIAS,"['4', 'K']",CORRECT,"['4', 'K']",CORRECT,"['4', 'K']",CORRECT,"['4', 'K']",CORRECT,"[['4', 'K'], ['K', '4'], ['K', '4'], ['4', 'K'], ['4', 'K']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['4', 'K', 'E', '7'], ['K', 'E', '7', '4'], ['E', 'K', '4', '7'], ['7', '4', 'K', 'E'], ['4', 'K', '7', 'E']]","[['4'], ['4'], ['4'], ['4', 'K', 'E'], ['4']]","['CONFIRMATION_BIAS', 'CONFIRMATION_BIAS', 'CONFIRMATION_BIAS', 'OVER_SELECTION', 'CONFIRMATION_BIAS']","[['4', 'K', 'E', '7'], ['K', 'E', '7', '4'], ['E', 'K', '4', '7'], ['7', '4', 'K', 'E'], ['4', 'K', '7', 'E']]","[['4', 'K'], ['K', '4'], ['K', '4'], ['4', 'K'], ['4', 'K']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['4', 'K', 'E', '7'], ['K', 'E', '7', '4'], ['E', 'K', '4', '7'], ['7', '4', 'K', 'E'], ['4', 'K', '7', 'E']]","[['4', 'K', 'E', '7'], ['E', '7', '4'], ['E', 'K', '4'], ['4', 'E'], ['4', 'K']]","['ALL_CARDS', 'LOGIC_ERROR', 'OVER_SELECTION', 'MATCHING_BIAS', 'CORRECT']","[['4', 'K', 'E', '7'], ['K', 'E', '7', '4'], ['E', 'K', '4', '7'], ['7', '4', 'K', 'E'], ['4', 'K', '7', 'E']]","[['4', 'K'], ['K', '4'], ['K', '4'], ['4', 'K'], ['4', 'K']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['4', 'K', 'E', '7'], ['K', 'E', '7', '4'], ['E', 'K', '4', '7'], ['7', '4', 'K', 'E'], ['4', 'K', '7', 'E']]","[['4'], ['K', '4'], ['K', '4'], ['4', 'K'], ['4']]","['CONFIRMATION_BIAS', 'CORRECT', 'CORRECT', 'CORRECT', 'CONFIRMATION_BIAS']","[['4', 'K', 'E', '7'], ['K', 'E', '7', '4'], ['E', 'K', '4', '7'], ['7', '4', 'K', 'E'], ['4', 'K', '7', 'E']]"
T07,"If the number is Odd, then the letter is a Consonant.","{'9': 'P', '6': 'not_P', 'M': 'Q', 'A': 'not_Q'}","Rule: ""If the number is Odd, then the letter is a Consonant.""
Cards: ['9', '6', 'M', 'A']

Which cards must you turn over?
Your answer:","['9', 'M']",MATCHING_BIAS,"['9', 'A']",CORRECT,"['9', 'A']",CORRECT,"['9', 'A']",CORRECT,"['9', 'A']",CORRECT,"['9', 'A']",CORRECT,"[['9', 'A'], ['9', 'A'], ['A', '9'], ['9', 'A'], ['9', 'A']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['M', '6', 'A', '9'], ['9', '6', 'M', 'A'], ['A', '9', '6', 'M'], ['6', 'A', 'M', '9'], ['9', 'A', 'M', '6']]","[['9'], ['A'], ['A', '9', 'M'], ['A', '9'], ['9']]","['CONFIRMATION_BIAS', 'SINGLE_VIOLATION', 'OVER_SELECTION', 'CORRECT', 'CONFIRMATION_BIAS']","[['M', '6', 'A', '9'], ['9', '6', 'M', 'A'], ['A', '9', '6', 'M'], ['6', 'A', 'M', '9'], ['9', 'A', 'M', '6']]","[['A', '9'], ['9', 'A'], ['A', '9'], ['A', '9'], ['9', 'A']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['M', '6', 'A', '9'], ['9', '6', 'M', 'A'], ['A', '9', '6', 'M'], ['6', 'A', 'M', '9'], ['9', 'A', 'M', '6']]","[['9'], ['9', '6', 'A'], ['A', '9'], ['A', '9'], ['9', 'A']]","['CONFIRMATION_BIAS', 'LOGIC_ERROR', 'CORRECT', 'CORRECT', 'CORRECT']","[['M', '6', 'A', '9'], ['9', '6', 'M', 'A'], ['A', '9', '6', 'M'], ['6', 'A', 'M', '9'], ['9', 'A', 'M', '6']]","[['A', '9'], ['9', 'A'], ['A', '9'], ['A', '9'], ['9', 'A']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['M', '6', 'A', '9'], ['9', '6', 'M', 'A'], ['A', '9', '6', 'M'], ['6', 'A', 'M', '9'], ['9', 'A', 'M', '6']]","[['A', '9'], ['9', 'M', 'A'], ['A', '9'], ['A', '9'], ['9']]","['CORRECT', 'OVER_SELECTION', 'CORRECT', 'CORRECT', 'CONFIRMATION_BIAS']","[['M', '6', 'A', '9'], ['9', '6', 'M', 'A'], ['A', '9', '6', 'M'], ['6', 'A', 'M', '9'], ['9', 'A', 'M', '6']]"
T08,"If the card shows an E, then the number is 2.","{'E': 'P', 'K': 'not_P', '2': 'Q', '9': 'not_Q'}","Rule: ""If the card shows an E, then the number is 2.""
Cards: ['E', 'K', '2', '9']

Which cards must you turn over?
Your answer:",['2'],NOISE,"['E', '9']",CORRECT,"['E', '9']",CORRECT,"['E', '9']",CORRECT,"['E', '9']",CORRECT,"['E', '9']",CORRECT,"[['E'], ['E', '9'], ['E', '9'], ['E', '9'], ['9', 'E']]","['CONFIRMATION_BIAS', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['9', 'E', '2', 'K'], ['K', '2', '9', 'E'], ['2', 'K', '9', 'E'], ['E', '9', '2', 'K'], ['9', 'K', '2', 'E']]","[['E'], ['E'], ['9', 'E'], ['E', '2'], ['E']]","['CONFIRMATION_BIAS', 'CONFIRMATION_BIAS', 'CORRECT', 'MATCHING_BIAS', 'CONFIRMATION_BIAS']","[['9', 'E', '2', 'K'], ['K', '2', '9', 'E'], ['2', 'K', '9', 'E'], ['E', '9', '2', 'K'], ['9', 'K', '2', 'E']]","[[""- **'2'** → no need (rule doesn’t require 2 to have""], ['> When you see E on the front → number must be'], ['E', '9'], [""→ So we **must** turn over '9' to check if it has""], ['So if we see a card with a number that is **not 2**', 'we must check that the other side is **not E** — because if it is E', 'then we have E with a non-2']]","['NOISE', 'NOISE', 'CORRECT', 'NOISE', 'NOISE']","[['9', 'E', '2', 'K'], ['K', '2', '9', 'E'], ['2', 'K', '9', 'E'], ['E', '9', '2', 'K'], ['9', 'K', '2', 'E']]","[['E'], ['E'], ['E'], ['E'], ['E']]","['CONFIRMATION_BIAS', 'CONFIRMATION_BIAS', 'CONFIRMATION_BIAS', 'CONFIRMATION_BIAS', 'CONFIRMATION_BIAS']","[['9', 'E', '2', 'K'], ['K', '2', '9', 'E'], ['2', 'K', '9', 'E'], ['E', '9', '2', 'K'], ['9', 'K', '2', 'E']]","[['9', 'E'], ['E', '9'], ['E', '9'], ['E', '9'], ['E', '9']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['9', 'E', '2', 'K'], ['K', '2', '9', 'E'], ['2', 'K', '9', 'E'], ['E', '9', '2', 'K'], ['9', 'K', '2', 'E']]","[['E'], ['E', '2'], ['E', '2'], ['E'], ['9', 'E', 'K']]","['CONFIRMATION_BIAS', 'MATCHING_BIAS', 'MATCHING_BIAS', 'CONFIRMATION_BIAS', 'LOGIC_ERROR']","[['9', 'E', '2', 'K'], ['K', '2', '9', 'E'], ['2', 'K', '9', 'E'], ['E', '9', '2', 'K'], ['9', 'K', '2', 'E']]"
T09,"If the card shows a 7, then the letter is X.","{'7': 'P', '4': 'not_P', 'X': 'Q', 'Y': 'not_Q'}","Rule: ""If the card shows a 7, then the letter is X.""
Cards: ['7', '4', 'X', 'Y']

Which cards must you turn over?
Your answer:","['7', 'X']",MATCHING_BIAS,"['7', 'X']",MATCHING_BIAS,"['7', 'Y']",CORRECT,"['7', 'Y']",CORRECT,"['7', 'Y']",CORRECT,['7'],CONFIRMATION_BIAS,"[['7', 'Y'], ['7', 'Y'], ['7', 'Y'], ['7', 'Y'], ['Y', '7']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['X', '4', '7', 'Y'], ['4', '7', 'X', 'Y'], ['7', 'Y', '4', 'X'], ['7', '4', 'X', 'Y'], ['Y', '7', 'X', '4']]","[['7'], ['7'], ['7'], ['7', 'Y'], ['7', 'X']]","['CONFIRMATION_BIAS', 'CONFIRMATION_BIAS', 'CONFIRMATION_BIAS', 'CORRECT', 'MATCHING_BIAS']","[['X', '4', '7', 'Y'], ['4', '7', 'X', 'Y'], ['7', 'Y', '4', 'X'], ['7', '4', 'X', 'Y'], ['Y', '7', 'X', '4']]","[['7', 'Y'], ['7', 'Y'], ['Cards that don’t need to be turned'], ['7', 'Y'], ['In the classic Wason selection task', 'for ""If P then Q""', 'you turn over']]","['CORRECT', 'CORRECT', 'NOISE', 'CORRECT', 'NOISE']","[['X', '4', '7', 'Y'], ['4', '7', 'X', 'Y'], ['7', 'Y', '4', 'X'], ['7', '4', 'X', 'Y'], ['Y', '7', 'X', '4']]","[['7'], ['7'], ['7', 'X'], ['7'], ['7', 'X']]","['CONFIRMATION_BIAS', 'CONFIRMATION_BIAS', 'MATCHING_BIAS', 'CONFIRMATION_BIAS', 'MATCHING_BIAS']","[['X', '4', '7', 'Y'], ['4', '7', 'X', 'Y'], ['7', 'Y', '4', 'X'], ['7', '4', 'X', 'Y'], ['Y', '7', 'X', '4']]","[['7', 'Y'], ['7', 'Y'], ['7', 'Y'], ['7', 'Y'], ['Y', '7']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['X', '4', '7', 'Y'], ['4', '7', 'X', 'Y'], ['7', 'Y', '4', 'X'], ['7', '4', 'X', 'Y'], ['Y', '7', 'X', '4']]","[['7', 'X', 'Y'], ['7', 'X'], ['7', 'Y'], ['7', 'X'], ['7', 'Y']]","['OVER_SELECTION', 'MATCHING_BIAS', 'CORRECT', 'MATCHING_BIAS', 'CORRECT']","[['X', '4', '7', 'Y'], ['4', '7', 'X', 'Y'], ['7', 'Y', '4', 'X'], ['7', '4', 'X', 'Y'], ['Y', '7', 'X', '4']]"
T10,"If the letter is B, then the number is Greater than 10.","{'B': 'P', 'A': 'not_P', '15': 'Q', '5': 'not_Q'}","Rule: ""If the letter is B, then the number is Greater than 10.""
Cards: ['B', 'A', '15', '5']

Which cards must you turn over?
Your answer:","['B', '15']",MATCHING_BIAS,"['B', '5']",CORRECT,"['B', '5']",CORRECT,"['B', '5']",CORRECT,"['B', '5']",CORRECT,"['B', '5']",CORRECT,"[['B', '5'], ['B', '5'], ['B', '5'], ['B', '5'], ['B', '5']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['B', 'A', '5', '15'], ['15', 'B', '5', 'A'], ['B', '5', 'A', '15'], ['B', 'A', '15', '5'], ['A', 'B', '15', '5']]","[['B', '5'], ['B'], ['B', '15'], ['B', '5'], ['B', '5']]","['CORRECT', 'CONFIRMATION_BIAS', 'MATCHING_BIAS', 'CORRECT', 'CORRECT']","[['B', 'A', '5', '15'], ['15', 'B', '5', 'A'], ['B', '5', 'A', '15'], ['B', 'A', '15', '5'], ['A', 'B', '15', '5']]","[['B', '5'], ['B', '5'], ['B', '5'], ['B', '5'], ['B', '5']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['B', 'A', '5', '15'], ['15', 'B', '5', 'A'], ['B', '5', 'A', '15'], ['B', 'A', '15', '5'], ['A', 'B', '15', '5']]","[['B', '5'], ['B', '5'], ['B', '15'], ['B', '5'], ['B', '5']]","['CORRECT', 'CORRECT', 'MATCHING_BIAS', 'CORRECT', 'CORRECT']","[['B', 'A', '5', '15'], ['15', 'B', '5', 'A'], ['B', '5', 'A', '15'], ['B', 'A', '15', '5'], ['A', 'B', '15', '5']]","[['B', '5'], ['B', '5'], ['B', '5'], ['B', '5'], ['B', '5']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['B', 'A', '5', '15'], ['15', 'B', '5', 'A'], ['B', '5', 'A', '15'], ['B', 'A', '15', '5'], ['A', 'B', '15', '5']]","[['B', '5'], ['B'], ['B', '5'], ['B', '15', '5'], ['B', '5']]","['CORRECT', 'CONFIRMATION_BIAS', 'CORRECT', 'OVER_SELECTION', 'CORRECT']","[['B', 'A', '5', '15'], ['15', 'B', '5', 'A'], ['B', '5', 'A', '15'], ['B', 'A', '15', '5'], ['A', 'B', '15', '5']]"
