row_idx,item_id,permutation_idx,llm_seed,rule_text,prompt,ordered_cards,response_text,selected_cards,logic_set,category,prompt_tokens,completion_tokens,reasoning_tokens
0,T1,0,42,"If a person is Driving, then they must have a License.","Rule: ""If a person is Driving, then they must have a License.""
Cards: ['Has License', 'Walking', 'No License', 'Driving']

Which cards must you turn over?
Your answer:","['Has License', 'Walking', 'No License', 'Driving']","Driving, No License","['Driving', 'No License']","['P', 'not_Q']",CORRECT,66,8,0
0,T1,1,43,"If a person is Driving, then they must have a License.","Rule: ""If a person is Driving, then they must have a License.""
Cards: ['Driving', 'No License', 'Has License', 'Walking']

Which cards must you turn over?
Your answer:","['Driving', 'No License', 'Has License', 'Walking']","Driving, No License","['Driving', 'No License']","['P', 'not_Q']",CORRECT,66,8,0
0,T1,2,44,"If a person is Driving, then they must have a License.","Rule: ""If a person is Driving, then they must have a License.""
Cards: ['No License', 'Driving', 'Walking', 'Has License']

Which cards must you turn over?
Your answer:","['No License', 'Driving', 'Walking', 'Has License']","No License, Driving","['No License', 'Driving']","['P', 'not_Q']",CORRECT,66,8,0
0,T1,3,45,"If a person is Driving, then they must have a License.","Rule: ""If a person is Driving, then they must have a License.""
Cards: ['No License', 'Has License', 'Walking', 'Driving']

Which cards must you turn over?
Your answer:","['No License', 'Has License', 'Walking', 'Driving']","No License, Driving","['No License', 'Driving']","['P', 'not_Q']",CORRECT,66,8,0
0,T1,4,46,"If a person is Driving, then they must have a License.","Rule: ""If a person is Driving, then they must have a License.""
Cards: ['Has License', 'Driving', 'No License', 'Walking']

Which cards must you turn over?
Your answer:","['Has License', 'Driving', 'No License', 'Walking']","Driving, No License","['Driving', 'No License']","['P', 'not_Q']",CORRECT,66,8,0
1,T2,0,10042,"If a customer pays with Credit Card, they must show ID.","Rule: ""If a customer pays with Credit Card, they must show ID.""
Cards: ['Credit Card', 'Shows ID', 'Cash', 'No ID']

Which cards must you turn over?
Your answer:","['Credit Card', 'Shows ID', 'Cash', 'No ID']","Credit Card, No ID","['Credit Card', 'No ID']","['P', 'not_Q']",CORRECT,67,9,0
1,T2,1,10043,"If a customer pays with Credit Card, they must show ID.","Rule: ""If a customer pays with Credit Card, they must show ID.""
Cards: ['No ID', 'Credit Card', 'Cash', 'Shows ID']

Which cards must you turn over?
Your answer:","['No ID', 'Credit Card', 'Cash', 'Shows ID']","Credit Card, No ID","['Credit Card', 'No ID']","['P', 'not_Q']",CORRECT,67,9,0
1,T2,2,10044,"If a customer pays with Credit Card, they must show ID.","Rule: ""If a customer pays with Credit Card, they must show ID.""
Cards: ['Cash', 'Credit Card', 'No ID', 'Shows ID']

Which cards must you turn over?
Your answer:","['Cash', 'Credit Card', 'No ID', 'Shows ID']","Credit Card, No ID","['Credit Card', 'No ID']","['P', 'not_Q']",CORRECT,67,9,0
1,T2,3,10045,"If a customer pays with Credit Card, they must show ID.","Rule: ""If a customer pays with Credit Card, they must show ID.""
Cards: ['No ID', 'Cash', 'Shows ID', 'Credit Card']

Which cards must you turn over?
Your answer:","['No ID', 'Cash', 'Shows ID', 'Credit Card']","Credit Card, No ID, Shows ID","['Credit Card', 'No ID', 'Shows ID']","['P', 'Q', 'not_Q']",OVER_SELECTION,67,12,0
1,T2,4,10046,"If a customer pays with Credit Card, they must show ID.","Rule: ""If a customer pays with Credit Card, they must show ID.""
Cards: ['No ID', 'Credit Card', 'Shows ID', 'Cash']

Which cards must you turn over?
Your answer:","['No ID', 'Credit Card', 'Shows ID', 'Cash']","Credit Card, No ID, Shows ID","['Credit Card', 'No ID', 'Shows ID']","['P', 'Q', 'not_Q']",OVER_SELECTION,67,12,0
