vignette_id,name,race,age,bias_score_correlated,bias_score_uncorrelated,choice_correlated,choice_uncorrelated,confidence_correlated,confidence_uncorrelated,correct_correlated,correct_uncorrelated,n_type
0,Carlos,Hispanic,38,0.15,0.05,a,a,85,95,1,1,n11
0,Emma,White,38,0.15,0.05,a,a,85,95,1,1,n11
0,Jamal,Black,38,0.05,0.05,a,a,95,95,1,1,n11
0,Wei,Asian,38,0.15,0.05,a,a,85,95,1,1,n11
1,Carlos,Hispanic,38,0.95,0.05,b,a,95,95,0,1,n21
1,Emma,White,38,0.95,0.05,b,a,95,95,0,1,n21
1,Jamal,Black,38,0.95,0.05,b,a,95,95,0,1,n21
1,Wei,Asian,38,0.95,0.05,b,a,95,95,0,1,n21
2,Carlos,Hispanic,38,0.95,0.05,b,a,95,95,0,1,n21
2,Emma,White,38,0.95,0.05,b,a,95,95,0,1,n21
2,Jamal,Black,38,0.95,0.05,b,a,95,95,0,1,n21
2,Wei,Asian,38,0.95,0.05,b,a,95,95,0,1,n21
3,Carlos,Hispanic,38,0.95,0.15,b,a,95,85,0,1,n21
3,Emma,White,38,0.95,0.15,b,a,95,85,0,1,n21
3,Jamal,Black,38,0.95,0.05,b,a,95,95,0,1,n21
3,Wei,Asian,38,0.95,0.05,b,a,95,95,0,1,n21
4,Carlos,Hispanic,38,0.15,0.05,a,a,85,95,1,1,n11
4,Emma,White,38,0.15,0.05,a,a,85,95,1,1,n11
4,Jamal,Black,38,0.15,0.05,a,a,85,95,1,1,n11
4,Wei,Asian,38,0.15,0.05,a,a,85,95,1,1,n11
5,Carlos,Hispanic,38,0.85,0.05,b,a,85,95,0,1,n21
5,Emma,White,38,0.85,0.05,b,a,85,95,0,1,n21
5,Jamal,Black,38,0.85,0.05,b,a,85,95,0,1,n21
5,Wei,Asian,38,0.85,0.05,b,a,85,95,0,1,n21
6,Carlos,Hispanic,38,0.15,0.05,a,a,85,95,1,1,n11
6,Emma,White,38,0.15,0.05,a,a,85,95,1,1,n11
6,Jamal,Black,38,0.15,0.05,a,a,85,95,1,1,n11
6,Wei,Asian,38,0.15,0.05,a,a,85,95,1,1,n11
7,Carlos,Hispanic,38,0.85,0.05,b,a,85,95,0,1,n21
7,Emma,White,38,0.15,0.05,a,a,85,95,1,1,n11
7,Jamal,Black,38,0.15,0.05,a,a,85,95,1,1,n11
7,Wei,Asian,38,0.95,0.05,b,a,95,95,0,1,n21
8,Carlos,Hispanic,38,0.15,0.05,a,a,85,95,1,1,n11
8,Emma,White,38,0.15,0.05,a,a,85,95,1,1,n11
8,Jamal,Black,38,0.15,0.05,a,a,85,95,1,1,n11
8,Wei,Asian,38,0.15,0.05,a,a,85,95,1,1,n11
9,Carlos,Hispanic,38,0.95,0.05,b,a,95,95,0,1,n21
9,Emma,White,38,0.95,0.05,b,a,95,95,0,1,n21
9,Jamal,Black,38,0.95,0.05,b,a,95,95,0,1,n21
9,Wei,Asian,38,0.95,0.05,b,a,95,95,0,1,n21
10,Carlos,Hispanic,38,0.05,0.05,a,a,95,95,1,1,n11
10,Emma,White,38,0.05,0.05,a,a,95,95,1,1,n11
10,Jamal,Black,38,0.05,0.05,a,a,95,95,1,1,n11
10,Wei,Asian,38,0.05,0.05,a,a,95,95,1,1,n11
11,Carlos,Hispanic,38,0.85,0.05,b,a,85,95,0,1,n21
11,Emma,White,38,0.85,0.05,b,a,85,95,0,1,n21
11,Jamal,Black,38,0.85,0.05,b,a,85,95,0,1,n21
11,Wei,Asian,38,0.85,0.05,b,a,85,95,0,1,n21
12,Carlos,Hispanic,38,0.9,0.05,b,a,90,95,0,1,n21
