Rule Text,JSON Mapping
"If a person is Driving, then they must have a License.","{'Driving': 'P', 'Walking': 'not_P', 'Has License': 'Q', 'No License': 'not_Q'}"
"If a customer pays with Credit Card, they must show ID.","{'Credit Card': 'P', 'Cash': 'not_P', 'Shows ID': 'Q', 'No ID': 'not_Q'}"
"If a passenger is Boarding, they must have a Boarding Pass.","{'Boarding': 'P', 'Waiting': 'not_P', 'Has Pass': 'Q', 'No Pass': 'not_Q'}"
"If you enter the Construction Site, you must wear a Helmet.","{'Entering Site': 'P', 'Passing by': 'not_P', 'Helmet': 'Q', 'Bare Head': 'not_Q'}"
"If a student gets a Scholarship, they must have a High GPA.","{'Scholarship': 'P', 'Loan': 'not_P', 'High GPA': 'Q', 'Low GPA': 'not_Q'}"
"If you use the Express Lane, you must have <10 Items.","{'Express Lane': 'P', 'Regular Lane': 'not_P', '5 Items': 'Q', '20 Items': 'not_Q'}"
"If a person is Voting, they must be Registered.","{'Voting': 'P', 'Observing': 'not_P', 'Registered': 'Q', 'Unregistered': 'not_Q'}"
"If a nurse handles Blood, she must wear Gloves.","{'Handles Blood': 'P', 'Files Papers': 'not_P', 'Gloves': 'Q', 'Bare Hands': 'not_Q'}"
"If a traveler enters the Country, they must have a Visa.","{'Entering': 'P', 'Leaving': 'not_P', 'Has Visa': 'Q', 'No Visa': 'not_Q'}"
"If a child plays Video Games, they must finish Homework.","{'Playing Games': 'P', 'Reading Book': 'not_P', 'Homework Done': 'Q', 'Homework Incomplete': 'not_Q'}"
"If you park in the Handicap Spot, you must have a Permit.","{'Handicap Spot': 'P', 'Regular Spot': 'not_P', 'Has Permit': 'Q', 'No Permit': 'not_Q'}"
"If an item is imported, then Tax must be paid.","{'Imported': 'P', 'Local': 'not_P', 'Tax Paid': 'Q', 'No Tax': 'not_Q'}"
"If you access the Server Room, you need a Security Badge.","{'Server Room': 'P', 'Lobby': 'not_P', 'Has Badge': 'Q', 'No Badge': 'not_Q'}"
"If a hunter shoots a Deer, they must have a Tag.","{'Shot Deer': 'P', 'Shot Rabbit': 'not_P', 'Has Tag': 'Q', 'No Tag': 'not_Q'}"
"If you sit in the Exit Row, you must be Willing to assist.","{'Exit Row': 'P', 'Window Seat': 'not_P', 'Willing': 'Q', 'Refuses': 'not_Q'}"
"If a purchase is over $1000, it must be Approved.","{'$1500 Purchase': 'P', '$50 Purchase': 'not_P', 'Approved': 'Q', 'Not Approved': 'not_Q'}"
"If you bring a Dog, it must be on a Leash.","{'Dog': 'P', 'Cat': 'not_P', 'Leash': 'Q', 'Running Free': 'not_Q'}"
"If a person gets the Senior Discount, they must be Over 65.","{'Discount Taken': 'P', 'Full Price': 'not_P', 'Over 65': 'Q', '30 years old': 'not_Q'}"
"If you borrow a Book, you must have a Library Card.","{'Borrowing': 'P', 'Reading inside': 'not_P', 'Has Card': 'Q', 'No Card': 'not_Q'}"
"If you light a Fire, you must have a Permit.","{'Lit Fire': 'P', 'Set up Tent': 'not_P', 'Has Permit': 'Q', 'No Permit': 'not_Q'}"
"If the light is Red, the car must Stop.","{'Red Light': 'P', 'Green Light': 'not_P', 'Stopped': 'Q', 'Moving': 'not_Q'}"
"If you enter the Clean Room, you must wear a Suit.","{'Entering Room': 'P', 'In Office': 'not_P', 'Wearing Suit': 'Q', 'Street Clothes': 'not_Q'}"
"If you buy Cigarettes, you must show Proof of Age.","{'Buying Cigs': 'P', 'Buying Gum': 'not_P', 'Showed ID': 'Q', 'No ID': 'not_Q'}"
"If a scout earns a Badge, they must complete the Task.","{'Earned Badge': 'P', 'Joined Troop': 'not_P', 'Completed Task': 'Q', 'Task Incomplete': 'not_Q'}"
"If you ride the Subway, you must have a Ticket.","{'Riding Subway': 'P', 'Walking': 'not_P', 'Has Ticket': 'Q', 'No Ticket': 'not_Q'}"
"If a student is Late, they must have a Pass.","{'Late': 'P', 'On Time': 'not_P', 'Has Pass': 'Q', 'No Pass': 'not_Q'}"
"If you adopt a Pet, you must sign a Contract.","{'Adopted Pet': 'P', 'Visited Shelter': 'not_P', 'Signed Contract': 'Q', 'No Contract': 'not_Q'}"
"If you withdraw Cash, you must enter a PIN.","{'Withdrawal': 'P', 'Check Balance': 'not_P', 'Entered PIN': 'Q', 'No PIN': 'not_Q'}"
"If you go Scuba Diving, you must be Certified.","{'Diving': 'P', 'Snorkeling': 'not_P', 'Certified': 'Q', 'Uncertified': 'not_Q'}"
"If a package is Fragile, it must have a Label.","{'Fragile Item': 'P', 'Standard Item': 'not_P', 'Has Label': 'Q', 'No Label': 'not_Q'}"
"If you claim the Warranty, you must have the Receipt.","{'Claiming Warranty': 'P', 'Buying New': 'not_P', 'Has Receipt': 'Q', 'No Receipt': 'not_Q'}"
"If you enter the Pool, you must Shower first.","{'Entering Pool': 'P', 'Sunbathing': 'not_P', 'Showered': 'Q', 'Dry': 'not_Q'}"
"If a person is Drinking alcohol, they must be of Legal age.","{'Drinking alcohol': 'P', 'Drinking soda': 'not_P', 'Legal age': 'Q', 'Underage': 'not_Q'}"
"If a person watches an Age-restricted film, they must show ID.","{'Age-restricted film': 'P', 'General film': 'not_P', 'Shows ID': 'Q', 'No ID': 'not_Q'}"
"If you send a Letter, you must attach a Stamp.","{'Sending letter': 'P', 'Sending email': 'not_P', 'Has stamp': 'Q', 'No stamp': 'not_Q'}"
"If an employee works Extra hours, they must receive Compensation.","{'Extra hours': 'P', 'Regular hours': 'not_P', 'Compensated': 'Q', 'Not compensated': 'not_Q'}"
"If a restaurant adds a Service charge, customers must be Informed.","{'Service charge': 'P', 'No charge': 'not_P', 'Informed': 'Q', 'Not informed': 'not_Q'}"
"If a worker enters a Hazardous zone, they must wear Protective gear.","{'Hazardous zone': 'P', 'Office': 'not_P', 'Protective gear': 'Q', 'No gear': 'not_Q'}"
"If a referee blows the Whistle, the game must Pause.","{'Whistle blown': 'P', 'No whistle': 'not_P', 'Game paused': 'Q', 'Game continues': 'not_Q'}"
"If a customer uses a Loyalty card, they earn Points.","{'Loyalty card': 'P', 'No card': 'not_P', 'Earns points': 'Q', 'No points': 'not_Q'}"
"If a person is Speeding, they must pay a Fine.","{'Speeding': 'P', 'Normal speed': 'not_P', 'Pays fine': 'Q', 'No fine': 'not_Q'}"
"If you board a Plane, you must pass Security.","{'Boarding plane': 'P', 'Waiting outside': 'not_P', 'Passed security': 'Q', 'Skipped security': 'not_Q'}"
"If a doctor prescribes Medicine, the patient needs a Prescription.","{'Prescription drug': 'P', 'Over-the-counter': 'not_P', 'Has prescription': 'Q', 'No prescription': 'not_Q'}"
"If you enter a Courtroom, you must be Silent.","{'Courtroom': 'P', 'Hallway': 'not_P', 'Silent': 'Q', 'Talking': 'not_Q'}"
"If a car is Parked illegally, it gets a Ticket.","{'Illegal parking': 'P', 'Legal parking': 'not_P', 'Gets ticket': 'Q', 'No ticket': 'not_Q'}"
"If you enter a Museum, you must buy a Ticket.","{'Entering museum': 'P', 'Passing by': 'not_P', 'Has ticket': 'Q', 'No ticket': 'not_Q'}"
"If you sign a Contract, you must honor its Terms.","{'Signed contract': 'P', 'Verbal agreement': 'not_P', 'Honors terms': 'Q', 'Breaks terms': 'not_Q'}"
