row_idx,item_id,permutation_idx,llm_seed,rule_text,prompt,ordered_cards,response_text,selected_cards,logic_set,category,prompt_tokens,completion_tokens,reasoning_tokens
0,T01,0,42,"If a card has a Vowel on one side, then it has an Even Number on the other side.","Rule: ""If a card has a Vowel on one side, then it has an Even Number on the other side.""
Cards: ['4', 'K', '7', 'A']

Which cards must you turn over?
Your answer:","['4', 'K', '7', 'A']","A, 7","['A', '7']","['P', 'not_Q']",CORRECT,294,4,0
0,T01,1,43,"If a card has a Vowel on one side, then it has an Even Number on the other side.","Rule: ""If a card has a Vowel on one side, then it has an Even Number on the other side.""
Cards: ['A', '7', '4', 'K']

Which cards must you turn over?
Your answer:","['A', '7', '4', 'K']","A, 4","['A', '4']","['P', 'Q']",MATCHING_BIAS,294,4,0
0,T01,2,44,"If a card has a Vowel on one side, then it has an Even Number on the other side.","Rule: ""If a card has a Vowel on one side, then it has an Even Number on the other side.""
Cards: ['7', 'A', 'K', '4']

Which cards must you turn over?
Your answer:","['7', 'A', 'K', '4']","A, 4","['A', '4']","['P', 'Q']",MATCHING_BIAS,294,4,0
0,T01,3,45,"If a card has a Vowel on one side, then it has an Even Number on the other side.","Rule: ""If a card has a Vowel on one side, then it has an Even Number on the other side.""
Cards: ['7', '4', 'K', 'A']

Which cards must you turn over?
Your answer:","['7', '4', 'K', 'A']","A, 4","['A', '4']","['P', 'Q']",MATCHING_BIAS,294,4,0
0,T01,4,46,"If a card has a Vowel on one side, then it has an Even Number on the other side.","Rule: ""If a card has a Vowel on one side, then it has an Even Number on the other side.""
Cards: ['4', 'A', '7', 'K']

Which cards must you turn over?
Your answer:","['4', 'A', '7', 'K']","A, 7","['A', '7']","['P', 'not_Q']",CORRECT,294,4,0
1,T02,0,10042,"If a card has a Consonant on one side, then it has an Odd Number on the other side.","Rule: ""If a card has a Consonant on one side, then it has an Odd Number on the other side.""
Cards: ['K', '7', 'A', '4']

Which cards must you turn over?
Your answer:","['K', '7', 'A', '4']","A, 4, K","['A', '4', 'K']","['P', 'not_P', 'not_Q']",LOGIC_ERROR,294,6,0
1,T02,1,10043,"If a card has a Consonant on one side, then it has an Odd Number on the other side.","Rule: ""If a card has a Consonant on one side, then it has an Odd Number on the other side.""
Cards: ['4', 'K', 'A', '7']

Which cards must you turn over?
Your answer:","['4', 'K', 'A', '7']","K, A, 7","['K', 'A', '7']","['P', 'Q', 'not_P']",LOGIC_ERROR,294,6,0
1,T02,2,10044,"If a card has a Consonant on one side, then it has an Odd Number on the other side.","Rule: ""If a card has a Consonant on one side, then it has an Odd Number on the other side.""
Cards: ['A', 'K', '4', '7']

Which cards must you turn over?
Your answer:","['A', 'K', '4', '7']","A, K, 4","['A', 'K', '4']","['P', 'not_P', 'not_Q']",LOGIC_ERROR,294,6,0
1,T02,3,10045,"If a card has a Consonant on one side, then it has an Odd Number on the other side.","Rule: ""If a card has a Consonant on one side, then it has an Odd Number on the other side.""
Cards: ['4', 'A', '7', 'K']

Which cards must you turn over?
Your answer:","['4', 'A', '7', 'K']","A, 7","['A', '7']","['Q', 'not_P']",LOGIC_ERROR,294,4,0
1,T02,4,10046,"If a card has a Consonant on one side, then it has an Odd Number on the other side.","Rule: ""If a card has a Consonant on one side, then it has an Odd Number on the other side.""
Cards: ['4', 'K', '7', 'A']

Which cards must you turn over?
Your answer:","['4', 'K', '7', 'A']","A, K, 7","['A', 'K', '7']","['P', 'Q', 'not_P']",LOGIC_ERROR,294,6,0
2,T03,0,20042,"If there is an A on one side, then there is a 3 on the other side.","Rule: ""If there is an A on one side, then there is a 3 on the other side.""
Cards: ['D', '7', '3', 'A']

Which cards must you turn over?
Your answer:","['D', '7', '3', 'A']","A, 3","['A', '3']","['P', 'Q']",MATCHING_BIAS,293,4,0
2,T03,1,20043,"If there is an A on one side, then there is a 3 on the other side.","Rule: ""If there is an A on one side, then there is a 3 on the other side.""
Cards: ['D', '7', 'A', '3']

Which cards must you turn over?
Your answer:","['D', '7', 'A', '3']","A, D","['A', 'D']","['P', 'not_P']",LOGIC_ERROR,293,3,0
