row_idx,item_id,permutation_idx,llm_seed,rule_text,prompt,ordered_cards,response_text,selected_cards,logic_set,category,prompt_tokens,completion_tokens,reasoning_tokens
0,T1,0,42,"If there is an A on one side, then there is a 3 on the other side.","Rule: ""If there is an A on one side, then there is a 3 on the other side.""
Cards: ['3', 'D', '7', 'A']

Which cards must you turn over?
Your answer:","['3', 'D', '7', 'A']","D, 7","['D', '7']","['not_P', 'not_Q']",LOGIC_ERROR,76,5,0
0,T1,1,43,"If there is an A on one side, then there is a 3 on the other side.","Rule: ""If there is an A on one side, then there is a 3 on the other side.""
Cards: ['A', '7', '3', 'D']

Which cards must you turn over?
Your answer:","['A', '7', '3', 'D']","7, D","['7', 'D']","['not_P', 'not_Q']",LOGIC_ERROR,76,4,0
0,T1,2,44,"If there is an A on one side, then there is a 3 on the other side.","Rule: ""If there is an A on one side, then there is a 3 on the other side.""
Cards: ['7', 'A', 'D', '3']

Which cards must you turn over?
Your answer:","['7', 'A', 'D', '3']","7, D","['7', 'D']","['not_P', 'not_Q']",LOGIC_ERROR,76,4,0
0,T1,3,45,"If there is an A on one side, then there is a 3 on the other side.","Rule: ""If there is an A on one side, then there is a 3 on the other side.""
Cards: ['7', '3', 'D', 'A']

Which cards must you turn over?
Your answer:","['7', '3', 'D', 'A']","7, D","['7', 'D']","['not_P', 'not_Q']",LOGIC_ERROR,76,4,0
0,T1,4,46,"If there is an A on one side, then there is a 3 on the other side.","Rule: ""If there is an A on one side, then there is a 3 on the other side.""
Cards: ['3', 'A', '7', 'D']

Which cards must you turn over?
Your answer:","['3', 'A', '7', 'D']","3, A, D","['3', 'A', 'D']","['P', 'Q', 'not_P']",LOGIC_ERROR,76,6,0
1,T2,0,10042,"If the letter is D, then the number must be 5.","Rule: ""If the letter is D, then the number must be 5.""
Cards: ['D', '5', 'F', '8']

Which cards must you turn over?
Your answer:","['D', '5', 'F', '8']","D, 5","['D', '5']","['P', 'Q']",MATCHING_BIAS,70,5,0
1,T2,1,10043,"If the letter is D, then the number must be 5.","Rule: ""If the letter is D, then the number must be 5.""
Cards: ['8', 'D', 'F', '5']

Which cards must you turn over?
Your answer:","['8', 'D', 'F', '5']","D, 5","['D', '5']","['P', 'Q']",MATCHING_BIAS,70,5,0
1,T2,2,10044,"If the letter is D, then the number must be 5.","Rule: ""If the letter is D, then the number must be 5.""
Cards: ['F', 'D', '8', '5']

Which cards must you turn over?
Your answer:","['F', 'D', '8', '5']","D, 8","['D', '8']","['P', 'not_Q']",CORRECT,70,5,0
1,T2,3,10045,"If the letter is D, then the number must be 5.","Rule: ""If the letter is D, then the number must be 5.""
Cards: ['8', 'F', '5', 'D']

Which cards must you turn over?
Your answer:","['8', 'F', '5', 'D']","8, F","['8', 'F']","['not_P', 'not_Q']",LOGIC_ERROR,70,4,0
1,T2,4,10046,"If the letter is D, then the number must be 5.","Rule: ""If the letter is D, then the number must be 5.""
Cards: ['8', 'D', '5', 'F']

Which cards must you turn over?
Your answer:","['8', 'D', '5', 'F']","8, F","['8', 'F']","['not_P', 'not_Q']",LOGIC_ERROR,70,4,0
2,T3,0,20042,"If there is a U on the card, then there is an 8 on the back.","Rule: ""If there is a U on the card, then there is an 8 on the back.""
Cards: ['G', '1', '8', 'U']

Which cards must you turn over?
Your answer:","['G', '1', '8', 'U']",U,['U'],['P'],CONFIRMATION_BIAS,75,2,0
2,T3,1,20043,"If there is a U on the card, then there is an 8 on the back.","Rule: ""If there is a U on the card, then there is an 8 on the back.""
Cards: ['G', '1', 'U', '8']

Which cards must you turn over?
Your answer:","['G', '1', 'U', '8']",U,['U'],['P'],CONFIRMATION_BIAS,75,2,0
2,T3,2,20044,"If there is a U on the card, then there is an 8 on the back.","Rule: ""If there is a U on the card, then there is an 8 on the back.""
Cards: ['1', 'U', 'G', '8']

Which cards must you turn over?
Your answer:","['1', 'U', 'G', '8']",U,['U'],['P'],CONFIRMATION_BIAS,75,2,0
2,T3,3,20045,"If there is a U on the card, then there is an 8 on the back.","Rule: ""If there is a U on the card, then there is an 8 on the back.""
Cards: ['1', 'G', '8', 'U']

Which cards must you turn over?
Your answer:","['1', 'G', '8', 'U']",U,['U'],['P'],CONFIRMATION_BIAS,75,2,0
2,T3,4,20046,"If there is a U on the card, then there is an 8 on the back.","Rule: ""If there is a U on the card, then there is an 8 on the back.""
Cards: ['8', 'G', 'U', '1']

Which cards must you turn over?
Your answer:","['8', 'G', 'U', '1']",U,['U'],['P'],CONFIRMATION_BIAS,75,2,0
3,T4,0,30042,"If the card shows an E, then the number is 2.","Rule: ""If the card shows an E, then the number is 2.""
Cards: ['9', 'K', 'E', '2']

Which cards must you turn over?
Your answer:","['9', 'K', 'E', '2']",E,['E'],['P'],CONFIRMATION_BIAS,70,2,0
3,T4,1,30043,"If the card shows an E, then the number is 2.","Rule: ""If the card shows an E, then the number is 2.""
Cards: ['E', '2', '9', 'K']

Which cards must you turn over?
Your answer:","['E', '2', '9', 'K']",E,['E'],['P'],CONFIRMATION_BIAS,70,2,0
3,T4,2,30044,"If the card shows an E, then the number is 2.","Rule: ""If the card shows an E, then the number is 2.""
Cards: ['E', '9', '2', 'K']

Which cards must you turn over?
Your answer:","['E', '9', '2', 'K']","9, K","['9', 'K']","['not_P', 'not_Q']",LOGIC_ERROR,70,4,0
3,T4,3,30045,"If the card shows an E, then the number is 2.","Rule: ""If the card shows an E, then the number is 2.""
Cards: ['9', 'E', 'K', '2']

Which cards must you turn over?
Your answer:","['9', 'E', 'K', '2']",E,['E'],['P'],CONFIRMATION_BIAS,70,2,0
3,T4,4,30046,"If the card shows an E, then the number is 2.","Rule: ""If the card shows an E, then the number is 2.""
Cards: ['K', 'E', '2', '9']

Which cards must you turn over?
Your answer:","['K', 'E', '2', '9']",E,['E'],['P'],CONFIRMATION_BIAS,70,2,0
4,T5,0,40042,"If the card shows a 7, then the letter is X.","Rule: ""If the card shows a 7, then the letter is X.""
Cards: ['X', '7', 'Y', '4']

Which cards must you turn over?
Your answer:","['X', '7', 'Y', '4']",7,['7'],['P'],CONFIRMATION_BIAS,70,2,0
4,T5,1,40043,"If the card shows a 7, then the letter is X.","Rule: ""If the card shows a 7, then the letter is X.""
Cards: ['4', 'X', '7', 'Y']

Which cards must you turn over?
Your answer:","['4', 'X', '7', 'Y']","4, 7","['4', '7']","['P', 'not_P']",LOGIC_ERROR,70,5,0
4,T5,2,40044,"If the card shows a 7, then the letter is X.","Rule: ""If the card shows a 7, then the letter is X.""
Cards: ['7', 'X', 'Y', '4']

Which cards must you turn over?
Your answer:","['7', 'X', 'Y', '4']","7, X","['7', 'X']","['P', 'Q']",MATCHING_BIAS,70,4,0
4,T5,3,40045,"If the card shows a 7, then the letter is X.","Rule: ""If the card shows a 7, then the letter is X.""
Cards: ['4', 'Y', 'X', '7']

Which cards must you turn over?
Your answer:","['4', 'Y', 'X', '7']","4, Y","['4', 'Y']","['not_P', 'not_Q']",LOGIC_ERROR,70,4,0
4,T5,4,40046,"If the card shows a 7, then the letter is X.","Rule: ""If the card shows a 7, then the letter is X.""
Cards: ['4', '7', 'X', 'Y']

Which cards must you turn over?
Your answer:","['4', '7', 'X', 'Y']","4, X, Y","['4', 'X', 'Y']","['Q', 'not_P', 'not_Q']",LOGIC_ERROR,70,6,0
5,T6,0,50042,"If the letter is K, then the number is 4.","Rule: ""If the letter is K, then the number is 4.""
Cards: ['K', '9', '4', 'A']

Which cards must you turn over?
Your answer:","['K', '9', '4', 'A']","9, A","['9', 'A']","['not_P', 'not_Q']",LOGIC_ERROR,69,4,0
5,T6,1,50043,"If the letter is K, then the number is 4.","Rule: ""If the letter is K, then the number is 4.""
Cards: ['9', '4', 'A', 'K']

Which cards must you turn over?
Your answer:","['9', '4', 'A', 'K']","9, A","['9', 'A']","['not_P', 'not_Q']",LOGIC_ERROR,69,4,0
5,T6,2,50044,"If the letter is K, then the number is 4.","Rule: ""If the letter is K, then the number is 4.""
Cards: ['4', '9', 'K', 'A']

Which cards must you turn over?
Your answer:","['4', '9', 'K', 'A']","4, K","['4', 'K']","['P', 'Q']",MATCHING_BIAS,69,4,0
