ID,Rule Text,JSON Mapping,prompt,llama-3.2-3b-instruct_response,llama-3.2-3b-instruct_category,qwen3-30b-a3b-instruct-2507_response,qwen3-30b-a3b-instruct-2507_category,gpt-5.2_response,gpt-5.2_category,claude-sonnet-4.5_response,claude-sonnet-4.5_category,qwen3-30b-a3b_response,qwen3-30b-a3b_category,qwen3-8b-reasoning_response,qwen3-8b-reasoning_category,claude-sonnet-4.6_responses,claude-sonnet-4.6_categories,claude-sonnet-4.6_card_orders,grok-4.1-fast_responses,grok-4.1-fast_categories,grok-4.1-fast_card_orders,gpt-5.2_responses,gpt-5.2_categories,gpt-5.2_card_orders
T01,"If a card has a Vowel on one side, then it has an Even Number on the other side.","{'A': 'P', 'K': 'not_P', '4': 'Q', '7': 'not_Q'}","Rule: ""If a card has a Vowel on one side, then it has an Even Number on the other side.""
Cards: ['A', 'K', '4', '7']

Which cards must you turn over?
Your answer:","['A', '4']",MATCHING_BIAS,"['A', '7']",CORRECT,"['A', '7']",CORRECT,"['A', '7']",CORRECT,"['A', '7']",CORRECT,"['A', '7']",CORRECT,"[['A', '7'], ['A', '7'], ['A', '7'], ['A', '7'], ['A', '7']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['4', 'K', '7', 'A'], ['A', '7', '4', 'K'], ['7', 'A', 'K', '4'], ['7', '4', 'K', 'A'], ['4', 'A', '7', 'K']]","[['7', 'A'], ['A', '7'], ['A', '7'], ['7', 'A'], ['A', '7']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['4', 'K', '7', 'A'], ['A', '7', '4', 'K'], ['7', 'A', 'K', '4'], ['7', '4', 'K', 'A'], ['4', 'A', '7', 'K']]","[['7', 'A'], ['A', '7'], ['A', '7'], ['7', 'A'], ['A', '7']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['4', 'K', '7', 'A'], ['A', '7', '4', 'K'], ['7', 'A', 'K', '4'], ['7', '4', 'K', 'A'], ['4', 'A', '7', 'K']]"
T02,"If a card has a Consonant on one side, then it has an Odd Number on the other side.","{'K': 'P', 'A': 'not_P', '7': 'Q', '4': 'not_Q'}","Rule: ""If a card has a Consonant on one side, then it has an Odd Number on the other side.""
Cards: ['K', 'A', '7', '4']

Which cards must you turn over?
Your answer:","['K', '7']",MATCHING_BIAS,"['K', '7', '4']",OVER_SELECTION,"['K', '4']",CORRECT,"['K', '4']",CORRECT,"['K', '4']",CORRECT,"['K', '4']",CORRECT,"[['K', '4'], ['4', 'K'], ['K', '4'], ['4', 'K'], ['4', 'K']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['K', '7', 'A', '4'], ['4', 'K', 'A', '7'], ['A', 'K', '4', '7'], ['4', 'A', '7', 'K'], ['4', 'K', '7', 'A']]","[['K', '4'], ['4', 'K'], ['K', '4'], ['4', 'K'], ['4', 'K']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['K', '7', 'A', '4'], ['4', 'K', 'A', '7'], ['A', 'K', '4', '7'], ['4', 'A', '7', 'K'], ['4', 'K', '7', 'A']]","[['K', '4'], ['K', '4'], ['K', '4'], ['4', 'K'], ['K', '4']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['K', '7', 'A', '4'], ['4', 'K', 'A', '7'], ['A', 'K', '4', '7'], ['4', 'A', '7', 'K'], ['4', 'K', '7', 'A']]"
T03,"If there is an A on one side, then there is a 3 on the other side.","{'A': 'P', 'D': 'not_P', '3': 'Q', '7': 'not_Q'}","Rule: ""If there is an A on one side, then there is a 3 on the other side.""
Cards: ['A', 'D', '3', '7']

Which cards must you turn over?
Your answer:","['A', '3']",MATCHING_BIAS,"['A', '7']",CORRECT,"['A', '7']",CORRECT,"['A', '7']",CORRECT,"['A', '7']",CORRECT,[''],NOISE,"[['A', '7'], ['A', '7'], ['A', '7'], ['7', 'D', 'A'], ['A', '7']]","['CORRECT', 'CORRECT', 'CORRECT', 'LOGIC_ERROR', 'CORRECT']","[['D', '7', '3', 'A'], ['D', '7', 'A', '3'], ['7', 'A', 'D', '3'], ['7', 'D', '3', 'A'], ['3', 'D', 'A', '7']]","[['7', 'A'], ['7', 'A'], ['A'], ['A'], ['A', '7']]","['CORRECT', 'CORRECT', 'CONFIRMATION_BIAS', 'CONFIRMATION_BIAS', 'CORRECT']","[['D', '7', '3', 'A'], ['D', '7', 'A', '3'], ['7', 'A', 'D', '3'], ['7', 'D', '3', 'A'], ['3', 'D', 'A', '7']]","[['A', '7'], ['A', '7'], ['A', '7'], ['7', 'A'], ['A', '7']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['D', '7', '3', 'A'], ['D', '7', 'A', '3'], ['7', 'A', 'D', '3'], ['7', 'D', '3', 'A'], ['3', 'D', 'A', '7']]"
T04,"If the letter is D, then the number must be 5.","{'D': 'P', 'F': 'not_P', '5': 'Q', '8': 'not_Q'}","Rule: ""If the letter is D, then the number must be 5.""
Cards: ['D', 'F', '5', '8']

Which cards must you turn over?
Your answer:","['F', '8']",LOGIC_ERROR,"['D', '8']",CORRECT,"['D', '8']",CORRECT,"['D', '8']",CORRECT,"['D', '8']",CORRECT,"['D', '8']",CORRECT,"[['D', '8'], ['D', '8'], ['D', '8'], ['D', '8'], ['D', '8']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['8', 'F', 'D', '5'], ['D', '5', '8', 'F'], ['D', '8', '5', 'F'], ['8', 'D', 'F', '5'], ['F', 'D', '5', '8']]","[['D'], ['D', '8'], ['D', '8'], ['D'], ['D', '8']]","['CONFIRMATION_BIAS', 'CORRECT', 'CORRECT', 'CONFIRMATION_BIAS', 'CORRECT']","[['8', 'F', 'D', '5'], ['D', '5', '8', 'F'], ['D', '8', '5', 'F'], ['8', 'D', 'F', '5'], ['F', 'D', '5', '8']]","[['D', '8'], ['D', '8'], ['D', '8'], ['8', 'D'], ['D', '8']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['8', 'F', 'D', '5'], ['D', '5', '8', 'F'], ['D', '8', '5', 'F'], ['8', 'D', 'F', '5'], ['F', 'D', '5', '8']]"
T05,"If there is a U on the card, then there is an 8 on the back.","{'U': 'P', 'G': 'not_P', '8': 'Q', '1': 'not_Q'}","Rule: ""If there is a U on the card, then there is an 8 on the back.""
Cards: ['U', 'G', '8', '1']

Which cards must you turn over?
Your answer:","['G', '1']",LOGIC_ERROR,"['U', '8']",MATCHING_BIAS,"['U', '1']",CORRECT,"['U', '1']",CORRECT,['U'],CONFIRMATION_BIAS,"['U', '1']",CORRECT,"[['U', '1', 'G'], ['U', '1'], ['U', '1', 'G'], ['1', 'U'], ['U', '1']]","['LOGIC_ERROR', 'CORRECT', 'LOGIC_ERROR', 'CORRECT', 'CORRECT']","[['8', 'U', '1', 'G'], ['G', '8', 'U', '1'], ['U', '8', '1', 'G'], ['G', '1', '8', 'U'], ['G', 'U', '8', '1']]","[['U'], ['U', '1'], ['U'], ['U'], ['card2', 'card4']]","['CONFIRMATION_BIAS', 'CORRECT', 'CONFIRMATION_BIAS', 'CONFIRMATION_BIAS', 'NOISE']","[['8', 'U', '1', 'G'], ['G', '8', 'U', '1'], ['U', '8', '1', 'G'], ['G', '1', '8', 'U'], ['G', 'U', '8', '1']]","[['U', '1'], ['U', '1'], ['U', '1'], ['1', 'U'], ['U', '1']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['8', 'U', '1', 'G'], ['G', '8', 'U', '1'], ['U', '8', '1', 'G'], ['G', '1', '8', 'U'], ['G', 'U', '8', '1']]"
T06,"If the number is Even, then the letter is a Vowel.","{'4': 'P', '7': 'not_P', 'E': 'Q', 'K': 'not_Q'}","Rule: ""If the number is Even, then the letter is a Vowel.""
Cards: ['4', '7', 'E', 'K']

Which cards must you turn over?
Your answer:","['4', 'E']",MATCHING_BIAS,"['4', 'E']",MATCHING_BIAS,"['4', 'K']",CORRECT,"['4', 'K']",CORRECT,"['4', 'K']",CORRECT,"['4', 'K']",CORRECT,"[['4', 'K'], ['K', '4'], ['K', '4'], ['4', 'K'], ['4', 'K']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['4', 'K', 'E', '7'], ['K', 'E', '7', '4'], ['E', 'K', '4', '7'], ['7', '4', 'K', 'E'], ['4', 'K', '7', 'E']]","[['4', 'K'], ['K', '4'], ['K', '4'], ['4', 'K'], ['4', 'K']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['4', 'K', 'E', '7'], ['K', 'E', '7', '4'], ['E', 'K', '4', '7'], ['7', '4', 'K', 'E'], ['4', 'K', '7', 'E']]","[['4', 'K'], ['7', '4'], ['E', '7'], ['4', 'K'], ['4', 'K']]","['CORRECT', 'LOGIC_ERROR', 'LOGIC_ERROR', 'CORRECT', 'CORRECT']","[['4', 'K', 'E', '7'], ['K', 'E', '7', '4'], ['E', 'K', '4', '7'], ['7', '4', 'K', 'E'], ['4', 'K', '7', 'E']]"
T07,"If the number is Odd, then the letter is a Consonant.","{'9': 'P', '6': 'not_P', 'M': 'Q', 'A': 'not_Q'}","Rule: ""If the number is Odd, then the letter is a Consonant.""
Cards: ['9', '6', 'M', 'A']

Which cards must you turn over?
Your answer:","['9', 'M']",MATCHING_BIAS,"['9', 'A']",CORRECT,"['9', 'A']",CORRECT,"['9', 'A']",CORRECT,"['9', 'A']",CORRECT,"['9', 'A']",CORRECT,"[['A', '9'], ['9', 'A'], ['A', '9'], ['A', '9'], ['9', 'A']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['M', '6', 'A', '9'], ['9', '6', 'M', 'A'], ['A', '9', '6', 'M'], ['6', 'A', 'M', '9'], ['9', 'A', 'M', '6']]","[['A', '9'], ['9', 'A'], ['A', '9'], ['A', '9'], ['9', 'A']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['M', '6', 'A', '9'], ['9', '6', 'M', 'A'], ['A', '9', '6', 'M'], ['6', 'A', 'M', '9'], ['9', 'A', 'M', '6']]","[['A', '9'], ['9', 'A'], ['9', 'A'], ['M', '9'], ['9', 'A']]","['CORRECT', 'CORRECT', 'CORRECT', 'MATCHING_BIAS', 'CORRECT']","[['M', '6', 'A', '9'], ['9', '6', 'M', 'A'], ['A', '9', '6', 'M'], ['6', 'A', 'M', '9'], ['9', 'A', 'M', '6']]"
T08,"If the card shows an E, then the number is 2.","{'E': 'P', 'K': 'not_P', '2': 'Q', '9': 'not_Q'}","Rule: ""If the card shows an E, then the number is 2.""
Cards: ['E', 'K', '2', '9']

Which cards must you turn over?
Your answer:",['2'],NOISE,"['E', '9']",CORRECT,"['E', '9']",CORRECT,"['E', '9']",CORRECT,"['E', '9']",CORRECT,"['E', '9']",CORRECT,"[['E', '9'], ['9', 'E'], ['9', 'E'], ['E', '9'], ['E', '9']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['9', 'E', '2', 'K'], ['K', '2', '9', 'E'], ['2', 'K', '9', 'E'], ['E', '9', '2', 'K'], ['9', 'K', '2', 'E']]","[['E'], ['E'], ['E'], ['E', '9'], ['E']]","['CONFIRMATION_BIAS', 'CONFIRMATION_BIAS', 'CONFIRMATION_BIAS', 'CORRECT', 'CONFIRMATION_BIAS']","[['9', 'E', '2', 'K'], ['K', '2', '9', 'E'], ['2', 'K', '9', 'E'], ['E', '9', '2', 'K'], ['9', 'K', '2', 'E']]","[['E', '9'], ['9', 'E'], ['9', 'E'], ['E', '9'], ['E', '9']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['9', 'E', '2', 'K'], ['K', '2', '9', 'E'], ['2', 'K', '9', 'E'], ['E', '9', '2', 'K'], ['9', 'K', '2', 'E']]"
T09,"If the card shows a 7, then the letter is X.","{'7': 'P', '4': 'not_P', 'X': 'Q', 'Y': 'not_Q'}","Rule: ""If the card shows a 7, then the letter is X.""
Cards: ['7', '4', 'X', 'Y']

Which cards must you turn over?
Your answer:","['7', 'X']",MATCHING_BIAS,"['7', 'X']",MATCHING_BIAS,"['7', 'Y']",CORRECT,"['7', 'Y']",CORRECT,"['7', 'Y']",CORRECT,['7'],CONFIRMATION_BIAS,"[['7', 'Y'], ['7', 'Y'], ['7', 'Y'], ['7', 'Y'], ['7', 'Y']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['X', '4', '7', 'Y'], ['4', '7', 'X', 'Y'], ['7', 'Y', '4', 'X'], ['7', '4', 'X', 'Y'], ['Y', '7', 'X', '4']]","[['7', 'Y'], ['7', 'Y'], ['7', 'Y'], ['7', 'Y'], ['7']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CONFIRMATION_BIAS']","[['X', '4', '7', 'Y'], ['4', '7', 'X', 'Y'], ['7', 'Y', '4', 'X'], ['7', '4', 'X', 'Y'], ['Y', '7', 'X', '4']]","[['7', 'Y'], ['7', 'Y'], ['7', 'Y'], ['7', 'Y'], ['Y', '7']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['X', '4', '7', 'Y'], ['4', '7', 'X', 'Y'], ['7', 'Y', '4', 'X'], ['7', '4', 'X', 'Y'], ['Y', '7', 'X', '4']]"
T10,"If the letter is B, then the number is Greater than 10.","{'B': 'P', 'A': 'not_P', '15': 'Q', '5': 'not_Q'}","Rule: ""If the letter is B, then the number is Greater than 10.""
Cards: ['B', 'A', '15', '5']

Which cards must you turn over?
Your answer:","['B', '15']",MATCHING_BIAS,"['B', '5']",CORRECT,"['B', '5']",CORRECT,"['B', '5']",CORRECT,"['B', '5']",CORRECT,"['B', '5']",CORRECT,"[['B', '5'], ['B', '5'], ['B', '5'], ['B', '5'], ['B', '5']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['B', 'A', '5', '15'], ['15', 'B', '5', 'A'], ['B', '5', 'A', '15'], ['B', 'A', '15', '5'], ['A', 'B', '15', '5']]","[['B'], ['B', '5'], ['B', '5'], ['B', '15', '5'], ['B', '5']]","['CONFIRMATION_BIAS', 'CORRECT', 'CORRECT', 'OVER_SELECTION', 'CORRECT']","[['B', 'A', '5', '15'], ['15', 'B', '5', 'A'], ['B', '5', 'A', '15'], ['B', 'A', '15', '5'], ['A', 'B', '15', '5']]","[['B', '5'], ['B', '5'], ['B', '5'], ['B', '5'], ['B', '5']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['B', 'A', '5', '15'], ['15', 'B', '5', 'A'], ['B', '5', 'A', '15'], ['B', 'A', '15', '5'], ['A', 'B', '15', '5']]"
