code,category
"lambda x, y, z: x < y < z",Uncategorized
"lambda x, y, z: x > y > z",Uncategorized
"lambda x, y, z: x <= y <= z",Uncategorized
"lambda x, y, z: x >= y >= z",Uncategorized
"lambda x, y, z: x < z < y",Uncategorized
"lambda x, y, z: x > y and z > y",Uncategorized
"lambda x, y, z: x != y and y != z and x != z",Uncategorized
"lambda x, y, z: x == y == z",Uncategorized
"lambda x, y, z: x == y or y == z or x == z",Uncategorized
"lambda x, y, z: x % 2 == 0 and y % 2 == 0 and z % 2 == 0",Uncategorized
"lambda x, y, z: x % 2 != 0 and y % 2 != 0 and z % 2 != 0",Uncategorized
"lambda x, y, z: x % 2 == y % 2 == z % 2",Uncategorized
"lambda x, y, z: sum([x % 2, y % 2, z % 2]) == 1",Uncategorized
"lambda x, y, z: x % 2 == 0",Uncategorized
"lambda x, y, z: x % 3 == 0 and y % 3 == 0 and z % 3 == 0",Uncategorized
"lambda x, y, z: x % 5 == 0 and y % 5 == 0 and z % 5 == 0",Uncategorized
"lambda x, y, z: z % x == 0",Uncategorized
"lambda x, y, z: (x + y + z) % 2 == 0",Uncategorized
"lambda x, y, z: (x + y + z) % 3 == 0",Uncategorized
"lambda x, y, z: y - x == z - y",Uncategorized
"lambda x, y, z: y - x == 2 and z - y == 2",Uncategorized
"lambda x, y, z: y - x == 1 and z - y == 1",Uncategorized
"lambda x, y, z: x + y == z",Uncategorized
"lambda x, y, z: x * y == z",Uncategorized
"lambda x, y, z: y == (x + z) // 2",Uncategorized
"lambda x, y, z: abs(x - y) == abs(y - z)",Uncategorized
"lambda x, y, z: z > x + y",Uncategorized
"lambda x, y, z: z == x * 2",Uncategorized
"lambda x, y, z: x * y > z",Uncategorized
"lambda x, y, z: len(set([x, y, z])) == 2",Uncategorized
"lambda x, y, z: x == y",Uncategorized
"lambda x, y, z: y == z",Uncategorized
"lambda x, y, z: x < y and z == x",Uncategorized
"lambda x, y, z: y > x + 10",Uncategorized
"lambda x, y, z: max(x,y,z) == z",Uncategorized
"lambda x, y, z: min(x,y,z) == y",Uncategorized
"lambda x, y, z: x < 10",Uncategorized
"lambda x, y, z: z < 10",Uncategorized
"lambda x, y, z: x > 50 and y > 50 and z > 50",Uncategorized
"lambda x, y, z: x + z == 2 * y",Uncategorized
"lambda x, y, z: x % 2 == 0 and x < y < z",Uncategorized
"lambda x, y, z: x < y < z and (x+y+z) % 2 == 0",Uncategorized
"lambda x, y, z: x % 2 != 0 and y % 2 == 0 and z % 2 != 0",Uncategorized
"lambda x, y, z: x < y and y > z",Uncategorized
"lambda x, y, z: x < y and y < z and z - x < 10",Uncategorized
"lambda x, y, z: (x % 2 == 0) == (y % 2 == 0)",Uncategorized
"lambda x, y, z: x < y < z and y - x != z - y",Uncategorized
"lambda x, y, z: z % 2 == 0 and z > y",Uncategorized
"lambda x, y, z: x * 2 < z",Uncategorized
"lambda x, y, z: abs(x - z) < 5",Uncategorized
