row_idx,item_id,permutation_idx,llm_seed,rule_text,prompt,ordered_cards,response_text,selected_cards,logic_set,category,prompt_tokens,completion_tokens,reasoning_tokens
0,T1,0,42,"If a man eats Cassava Root, then he must have a Tattoo on his face.","Rule: ""If a man eats Cassava Root, then he must have a Tattoo on his face.""
Cards: ['Has Tattoo', 'Eating Nuts', 'No Tattoo', 'Eating Cassava']

Which cards must you turn over?
Your answer:","['Has Tattoo', 'Eating Nuts', 'No Tattoo', 'Eating Cassava']","Eating Cassava, No Tattoo","['Eating Cassava', 'No Tattoo']","['P', 'not_Q']",CORRECT,74,10,0
0,T1,1,43,"If a man eats Cassava Root, then he must have a Tattoo on his face.","Rule: ""If a man eats Cassava Root, then he must have a Tattoo on his face.""
Cards: ['Eating Cassava', 'No Tattoo', 'Has Tattoo', 'Eating Nuts']

Which cards must you turn over?
Your answer:","['Eating Cassava', 'No Tattoo', 'Has Tattoo', 'Eating Nuts']","Eating Cassava, No Tattoo","['Eating Cassava', 'No Tattoo']","['P', 'not_Q']",CORRECT,74,10,0
0,T1,2,44,"If a man eats Cassava Root, then he must have a Tattoo on his face.","Rule: ""If a man eats Cassava Root, then he must have a Tattoo on his face.""
Cards: ['No Tattoo', 'Eating Cassava', 'Eating Nuts', 'Has Tattoo']

Which cards must you turn over?
Your answer:","['No Tattoo', 'Eating Cassava', 'Eating Nuts', 'Has Tattoo']","Eating Cassava, No Tattoo","['Eating Cassava', 'No Tattoo']","['P', 'not_Q']",CORRECT,74,10,0
0,T1,3,45,"If a man eats Cassava Root, then he must have a Tattoo on his face.","Rule: ""If a man eats Cassava Root, then he must have a Tattoo on his face.""
Cards: ['No Tattoo', 'Has Tattoo', 'Eating Nuts', 'Eating Cassava']

Which cards must you turn over?
Your answer:","['No Tattoo', 'Has Tattoo', 'Eating Nuts', 'Eating Cassava']","No Tattoo, Eating Cassava","['No Tattoo', 'Eating Cassava']","['P', 'not_Q']",CORRECT,74,10,0
0,T1,4,46,"If a man eats Cassava Root, then he must have a Tattoo on his face.","Rule: ""If a man eats Cassava Root, then he must have a Tattoo on his face.""
Cards: ['Has Tattoo', 'Eating Cassava', 'No Tattoo', 'Eating Nuts']

Which cards must you turn over?
Your answer:","['Has Tattoo', 'Eating Cassava', 'No Tattoo', 'Eating Nuts']","Eating Cassava, No Tattoo","['Eating Cassava', 'No Tattoo']","['P', 'not_Q']",CORRECT,74,10,0
1,T2,0,10042,"If you enter the Zorg Zone, you must wear a Purple Badge.","Rule: ""If you enter the Zorg Zone, you must wear a Purple Badge.""
Cards: ['Entering Zorg', 'Purple Badge', 'Entering Alpha', 'No Badge']

Which cards must you turn over?
Your answer:","['Entering Zorg', 'Purple Badge', 'Entering Alpha', 'No Badge']","Entering Zorg, No Badge","['Entering Zorg', 'No Badge']","['P', 'not_Q']",CORRECT,69,9,0
1,T2,1,10043,"If you enter the Zorg Zone, you must wear a Purple Badge.","Rule: ""If you enter the Zorg Zone, you must wear a Purple Badge.""
Cards: ['No Badge', 'Entering Zorg', 'Entering Alpha', 'Purple Badge']

Which cards must you turn over?
Your answer:","['No Badge', 'Entering Zorg', 'Entering Alpha', 'Purple Badge']","Entering Zorg, No Badge, Purple Badge","['Entering Zorg', 'No Badge', 'Purple Badge']","['P', 'Q', 'not_Q']",OVER_SELECTION,69,12,0
1,T2,2,10044,"If you enter the Zorg Zone, you must wear a Purple Badge.","Rule: ""If you enter the Zorg Zone, you must wear a Purple Badge.""
Cards: ['Entering Alpha', 'Entering Zorg', 'No Badge', 'Purple Badge']

Which cards must you turn over?
Your answer:","['Entering Alpha', 'Entering Zorg', 'No Badge', 'Purple Badge']","Entering Zorg, No Badge, Purple Badge","['Entering Zorg', 'No Badge', 'Purple Badge']","['P', 'Q', 'not_Q']",OVER_SELECTION,69,12,0
1,T2,3,10045,"If you enter the Zorg Zone, you must wear a Purple Badge.","Rule: ""If you enter the Zorg Zone, you must wear a Purple Badge.""
Cards: ['No Badge', 'Entering Alpha', 'Purple Badge', 'Entering Zorg']

Which cards must you turn over?
Your answer:","['No Badge', 'Entering Alpha', 'Purple Badge', 'Entering Zorg']","Entering Zorg, No Badge","['Entering Zorg', 'No Badge']","['P', 'not_Q']",CORRECT,69,9,0
1,T2,4,10046,"If you enter the Zorg Zone, you must wear a Purple Badge.","Rule: ""If you enter the Zorg Zone, you must wear a Purple Badge.""
Cards: ['No Badge', 'Entering Zorg', 'Purple Badge', 'Entering Alpha']

Which cards must you turn over?
Your answer:","['No Badge', 'Entering Zorg', 'Purple Badge', 'Entering Alpha']","Entering Zorg, Purple Badge","['Entering Zorg', 'Purple Badge']","['P', 'Q']",MATCHING_BIAS,69,9,0
2,T3,0,20042,"If a hunter uses the Obsidian Spear, he must be Married.","Rule: ""If a hunter uses the Obsidian Spear, he must be Married.""
Cards: ['Using Wood', 'Single', 'Married', 'Using Obsidian']

Which cards must you turn over?
Your answer:","['Using Wood', 'Single', 'Married', 'Using Obsidian']","Using Obsidian, Single","['Using Obsidian', 'Single']","['P', 'not_Q']",CORRECT,72,10,0
2,T3,1,20043,"If a hunter uses the Obsidian Spear, he must be Married.","Rule: ""If a hunter uses the Obsidian Spear, he must be Married.""
Cards: ['Using Wood', 'Single', 'Using Obsidian', 'Married']

Which cards must you turn over?
Your answer:","['Using Wood', 'Single', 'Using Obsidian', 'Married']","Using Obsidian, Single","['Using Obsidian', 'Single']","['P', 'not_Q']",CORRECT,72,10,0
2,T3,2,20044,"If a hunter uses the Obsidian Spear, he must be Married.","Rule: ""If a hunter uses the Obsidian Spear, he must be Married.""
Cards: ['Single', 'Using Obsidian', 'Using Wood', 'Married']

Which cards must you turn over?
Your answer:","['Single', 'Using Obsidian', 'Using Wood', 'Married']","Using Obsidian, Single","['Using Obsidian', 'Single']","['P', 'not_Q']",CORRECT,72,10,0
2,T3,3,20045,"If a hunter uses the Obsidian Spear, he must be Married.","Rule: ""If a hunter uses the Obsidian Spear, he must be Married.""
Cards: ['Single', 'Using Wood', 'Married', 'Using Obsidian']

Which cards must you turn over?
Your answer:","['Single', 'Using Wood', 'Married', 'Using Obsidian']","Using Obsidian, Single","['Using Obsidian', 'Single']","['P', 'not_Q']",CORRECT,72,10,0
2,T3,4,20046,"If a hunter uses the Obsidian Spear, he must be Married.","Rule: ""If a hunter uses the Obsidian Spear, he must be Married.""
Cards: ['Married', 'Using Wood', 'Using Obsidian', 'Single']

Which cards must you turn over?
Your answer:","['Married', 'Using Wood', 'Using Obsidian', 'Single']","Married, Using Obsidian","['Married', 'Using Obsidian']","['P', 'Q']",MATCHING_BIAS,72,11,0
3,T4,0,30042,"If a wizard casts Fireball, he must hold a Ruby.","Rule: ""If a wizard casts Fireball, he must hold a Ruby.""
Cards: ['Empty Hand', 'Casting Light', 'Casting Fireball', 'Holding Ruby']

Which cards must you turn over?
Your answer:","['Empty Hand', 'Casting Light', 'Casting Fireball', 'Holding Ruby']","Casting Fireball, Empty Hand","['Casting Fireball', 'Empty Hand']","['P', 'not_Q']",CORRECT,69,10,0
3,T4,1,30043,"If a wizard casts Fireball, he must hold a Ruby.","Rule: ""If a wizard casts Fireball, he must hold a Ruby.""
Cards: ['Casting Fireball', 'Holding Ruby', 'Empty Hand', 'Casting Light']

Which cards must you turn over?
Your answer:","['Casting Fireball', 'Holding Ruby', 'Empty Hand', 'Casting Light']","Casting Fireball, Empty Hand","['Casting Fireball', 'Empty Hand']","['P', 'not_Q']",CORRECT,69,10,0
3,T4,2,30044,"If a wizard casts Fireball, he must hold a Ruby.","Rule: ""If a wizard casts Fireball, he must hold a Ruby.""
Cards: ['Casting Fireball', 'Empty Hand', 'Holding Ruby', 'Casting Light']

Which cards must you turn over?
Your answer:","['Casting Fireball', 'Empty Hand', 'Holding Ruby', 'Casting Light']","Casting Fireball, Empty Hand","['Casting Fireball', 'Empty Hand']","['P', 'not_Q']",CORRECT,69,10,0
3,T4,3,30045,"If a wizard casts Fireball, he must hold a Ruby.","Rule: ""If a wizard casts Fireball, he must hold a Ruby.""
Cards: ['Empty Hand', 'Casting Fireball', 'Casting Light', 'Holding Ruby']

Which cards must you turn over?
Your answer:","['Empty Hand', 'Casting Fireball', 'Casting Light', 'Holding Ruby']","Casting Fireball, Empty Hand","['Casting Fireball', 'Empty Hand']","['P', 'not_Q']",CORRECT,69,10,0
3,T4,4,30046,"If a wizard casts Fireball, he must hold a Ruby.","Rule: ""If a wizard casts Fireball, he must hold a Ruby.""
Cards: ['Casting Light', 'Casting Fireball', 'Holding Ruby', 'Empty Hand']

Which cards must you turn over?
Your answer:","['Casting Light', 'Casting Fireball', 'Holding Ruby', 'Empty Hand']","Casting Fireball, Empty Hand","['Casting Fireball', 'Empty Hand']","['P', 'not_Q']",CORRECT,69,10,0
4,T5,0,40042,"If you drink the Duub Juice, you must offer a Coin to the spirits.","Rule: ""If you drink the Duub Juice, you must offer a Coin to the spirits.""
Cards: ['Offered Coin', 'Drinking Duub', 'No Coin', 'Drinking Water']

Which cards must you turn over?
Your answer:","['Offered Coin', 'Drinking Duub', 'No Coin', 'Drinking Water']","Drinking Duub, No Coin","['Drinking Duub', 'No Coin']","['P', 'not_Q']",CORRECT,76,11,0
4,T5,1,40043,"If you drink the Duub Juice, you must offer a Coin to the spirits.","Rule: ""If you drink the Duub Juice, you must offer a Coin to the spirits.""
Cards: ['Drinking Water', 'Offered Coin', 'Drinking Duub', 'No Coin']

Which cards must you turn over?
Your answer:","['Drinking Water', 'Offered Coin', 'Drinking Duub', 'No Coin']","Drinking Duub, No Coin","['Drinking Duub', 'No Coin']","['P', 'not_Q']",CORRECT,76,11,0
4,T5,2,40044,"If you drink the Duub Juice, you must offer a Coin to the spirits.","Rule: ""If you drink the Duub Juice, you must offer a Coin to the spirits.""
Cards: ['Drinking Duub', 'Offered Coin', 'No Coin', 'Drinking Water']

Which cards must you turn over?
Your answer:","['Drinking Duub', 'Offered Coin', 'No Coin', 'Drinking Water']","Drinking Duub, No Coin","['Drinking Duub', 'No Coin']","['P', 'not_Q']",CORRECT,76,11,0
4,T5,3,40045,"If you drink the Duub Juice, you must offer a Coin to the spirits.","Rule: ""If you drink the Duub Juice, you must offer a Coin to the spirits.""
Cards: ['Drinking Water', 'No Coin', 'Offered Coin', 'Drinking Duub']

Which cards must you turn over?
Your answer:","['Drinking Water', 'No Coin', 'Offered Coin', 'Drinking Duub']","Drinking Duub, No Coin","['Drinking Duub', 'No Coin']","['P', 'not_Q']",CORRECT,76,11,0
4,T5,4,40046,"If you drink the Duub Juice, you must offer a Coin to the spirits.","Rule: ""If you drink the Duub Juice, you must offer a Coin to the spirits.""
Cards: ['Drinking Water', 'Drinking Duub', 'Offered Coin', 'No Coin']

Which cards must you turn over?
Your answer:","['Drinking Water', 'Drinking Duub', 'Offered Coin', 'No Coin']","Drinking Duub, No Coin","['Drinking Duub', 'No Coin']","['P', 'not_Q']",CORRECT,76,11,0
5,T6,0,50042,"If a Kalu tribe member sits on the Throne, they must wear the Feather.","Rule: ""If a Kalu tribe member sits on the Throne, they must wear the Feather.""
Cards: ['Sitting on Throne', 'No Feather', 'Wearing Feather', 'Sitting on Floor']

Which cards must you turn over?
Your answer:","['Sitting on Throne', 'No Feather', 'Wearing Feather', 'Sitting on Floor']","Sitting on Throne, No Feather","['Sitting on Throne', 'No Feather']","['P', 'not_Q']",CORRECT,79,12,0
5,T6,1,50043,"If a Kalu tribe member sits on the Throne, they must wear the Feather.","Rule: ""If a Kalu tribe member sits on the Throne, they must wear the Feather.""
Cards: ['No Feather', 'Wearing Feather', 'Sitting on Floor', 'Sitting on Throne']

Which cards must you turn over?
Your answer:","['No Feather', 'Wearing Feather', 'Sitting on Floor', 'Sitting on Throne']","No Feather, Sitting on Throne","['No Feather', 'Sitting on Throne']","['P', 'not_Q']",CORRECT,79,11,0
5,T6,2,50044,"If a Kalu tribe member sits on the Throne, they must wear the Feather.","Rule: ""If a Kalu tribe member sits on the Throne, they must wear the Feather.""
Cards: ['Wearing Feather', 'No Feather', 'Sitting on Throne', 'Sitting on Floor']

Which cards must you turn over?
Your answer:","['Wearing Feather', 'No Feather', 'Sitting on Throne', 'Sitting on Floor']","Wearing Feather, Sitting on Throne","['Wearing Feather', 'Sitting on Throne']","['P', 'Q']",MATCHING_BIAS,79,12,0
