model,prompt_style,reasoning,category,turn,mean_iou,confirming_test_rate
anthropic__claude-sonnet-4.6,baseline,high,Арифметика,1,0.05021,1.0
anthropic__claude-sonnet-4.6,baseline,high,Арифметика,2,0.021259999999999994,0.4
anthropic__claude-sonnet-4.6,baseline,high,Арифметика,3,0.18589,0.8
anthropic__claude-sonnet-4.6,baseline,high,Арифметика,4,0.09061111111111113,0.7777777777777778
anthropic__claude-sonnet-4.6,baseline,high,Арифметика,5,0.03665,0.875
anthropic__claude-sonnet-4.6,baseline,high,Арифметика,6,0.1688875,0.75
anthropic__claude-sonnet-4.6,baseline,high,Арифметика,7,0.05655000000000001,1.0
anthropic__claude-sonnet-4.6,baseline,high,Арифметика,8,0.057716666666666666,0.6666666666666666
anthropic__claude-sonnet-4.6,baseline,high,Арифметика,9,0.16481666666666667,0.6666666666666666
anthropic__claude-sonnet-4.6,baseline,high,Арифметика,10,0.27192,1.0
anthropic__claude-sonnet-4.6,baseline,high,Арифметика,11,0.0666,1.0
anthropic__claude-sonnet-4.6,baseline,high,Арифметика,12,0.1173,0.6666666666666666
anthropic__claude-sonnet-4.6,baseline,high,Арифметика,13,0.11903333333333332,0.0
anthropic__claude-sonnet-4.6,baseline,high,Арифметика,14,0.11716666666666668,0.6666666666666666
anthropic__claude-sonnet-4.6,baseline,high,Арифметика,15,0.11259999999999999,1.0
anthropic__claude-sonnet-4.6,baseline,high,Арифметика,16,0.4542333333333333,1.0
anthropic__claude-sonnet-4.6,baseline,high,Арифметика,17,0.16335,1.0
anthropic__claude-sonnet-4.6,baseline,high,Арифметика,18,0.1568,1.0
anthropic__claude-sonnet-4.6,baseline,high,Арифметика,19,0.18905,1.0
anthropic__claude-sonnet-4.6,baseline,high,Паттерн,1,0.0919,1.0
anthropic__claude-sonnet-4.6,baseline,high,Паттерн,2,0.07904545454545454,0.7272727272727273
anthropic__claude-sonnet-4.6,baseline,high,Паттерн,3,0.04549999999999999,0.9090909090909091
anthropic__claude-sonnet-4.6,baseline,high,Паттерн,4,0.05023,0.7
anthropic__claude-sonnet-4.6,baseline,high,Паттерн,5,0.15237,0.7
anthropic__claude-sonnet-4.6,baseline,high,Паттерн,6,0.0655375,0.75
anthropic__claude-sonnet-4.6,baseline,high,Паттерн,7,0.07245714285714286,1.0
anthropic__claude-sonnet-4.6,baseline,high,Паттерн,8,0.07274285714285714,0.8571428571428571
anthropic__claude-sonnet-4.6,baseline,high,Паттерн,9,0.09682857142857142,0.5714285714285714
anthropic__claude-sonnet-4.6,baseline,high,Паттерн,10,0.1681,0.8333333333333334
anthropic__claude-sonnet-4.6,baseline,high,Паттерн,11,0.006375,0.75
anthropic__claude-sonnet-4.6,baseline,high,Паттерн,12,0.0014333333333333333,0.6666666666666666
anthropic__claude-sonnet-4.6,baseline,high,Паттерн,13,0.0014,1.0
anthropic__claude-sonnet-4.6,baseline,high,Паттерн,14,0.0,1.0
anthropic__claude-sonnet-4.6,baseline,high,Паттерн,15,0.0,0.0
anthropic__claude-sonnet-4.6,baseline,high,Паттерн,16,0.0,1.0
anthropic__claude-sonnet-4.6,baseline,high,Паттерн,17,0.0,0.0
