row_idx,item_id,permutation_idx,llm_seed,rule_text,prompt,ordered_cards,response_text,selected_cards,logic_set,category,prompt_tokens,completion_tokens,reasoning_tokens
0,T1,0,42,"If the animal is an Elephant, then it has a Trunk.","Rule: ""If the animal is an Elephant, then it has a Trunk.""
Cards: ['Trunk', 'Rhino', 'No trunk', 'Elephant']

Which cards must you turn over?
Your answer:","['Trunk', 'Rhino', 'No trunk', 'Elephant']","Elephant, No trunk","['Elephant', 'No trunk']","['P', 'not_Q']",CORRECT,226,5,0
0,T1,1,43,"If the animal is an Elephant, then it has a Trunk.","Rule: ""If the animal is an Elephant, then it has a Trunk.""
Cards: ['Elephant', 'No trunk', 'Trunk', 'Rhino']

Which cards must you turn over?
Your answer:","['Elephant', 'No trunk', 'Trunk', 'Rhino']","Elephant, No trunk","['Elephant', 'No trunk']","['P', 'not_Q']",CORRECT,226,5,0
0,T1,2,44,"If the animal is an Elephant, then it has a Trunk.","Rule: ""If the animal is an Elephant, then it has a Trunk.""
Cards: ['No trunk', 'Elephant', 'Rhino', 'Trunk']

Which cards must you turn over?
Your answer:","['No trunk', 'Elephant', 'Rhino', 'Trunk']","Elephant, No trunk","['Elephant', 'No trunk']","['P', 'not_Q']",CORRECT,226,5,0
0,T1,3,45,"If the animal is an Elephant, then it has a Trunk.","Rule: ""If the animal is an Elephant, then it has a Trunk.""
Cards: ['No trunk', 'Trunk', 'Rhino', 'Elephant']

Which cards must you turn over?
Your answer:","['No trunk', 'Trunk', 'Rhino', 'Elephant']","Elephant, No trunk","['Elephant', 'No trunk']","['P', 'not_Q']",CORRECT,226,5,0
0,T1,4,46,"If the animal is an Elephant, then it has a Trunk.","Rule: ""If the animal is an Elephant, then it has a Trunk.""
Cards: ['Trunk', 'Elephant', 'No trunk', 'Rhino']

Which cards must you turn over?
Your answer:","['Trunk', 'Elephant', 'No trunk', 'Rhino']","Elephant, No trunk","['Elephant', 'No trunk']","['P', 'not_Q']",CORRECT,226,5,0
1,T2,0,10042,"If the fish is a Clownfish, then it lives near Anemones.","Rule: ""If the fish is a Clownfish, then it lives near Anemones.""
Cards: ['Clownfish', 'Anemones', 'Salmon', 'Open water']

Which cards must you turn over?
Your answer:","['Clownfish', 'Anemones', 'Salmon', 'Open water']","Clownfish, Salmon","['Clownfish', 'Salmon']","['P', 'not_P']",LOGIC_ERROR,232,5,0
1,T2,1,10043,"If the fish is a Clownfish, then it lives near Anemones.","Rule: ""If the fish is a Clownfish, then it lives near Anemones.""
Cards: ['Open water', 'Clownfish', 'Salmon', 'Anemones']

Which cards must you turn over?
Your answer:","['Open water', 'Clownfish', 'Salmon', 'Anemones']","Clownfish, Salmon","['Clownfish', 'Salmon']","['P', 'not_P']",LOGIC_ERROR,232,5,0
1,T2,2,10044,"If the fish is a Clownfish, then it lives near Anemones.","Rule: ""If the fish is a Clownfish, then it lives near Anemones.""
Cards: ['Salmon', 'Clownfish', 'Open water', 'Anemones']

Which cards must you turn over?
Your answer:","['Salmon', 'Clownfish', 'Open water', 'Anemones']","Clownfish, Open water","['Clownfish', 'Open water']","['P', 'not_Q']",CORRECT,232,6,0
1,T2,3,10045,"If the fish is a Clownfish, then it lives near Anemones.","Rule: ""If the fish is a Clownfish, then it lives near Anemones.""
Cards: ['Open water', 'Salmon', 'Anemones', 'Clownfish']

Which cards must you turn over?
Your answer:","['Open water', 'Salmon', 'Anemones', 'Clownfish']","Clownfish, Open water","['Clownfish', 'Open water']","['P', 'not_Q']",CORRECT,232,6,0
1,T2,4,10046,"If the fish is a Clownfish, then it lives near Anemones.","Rule: ""If the fish is a Clownfish, then it lives near Anemones.""
Cards: ['Open water', 'Clownfish', 'Anemones', 'Salmon']

Which cards must you turn over?
Your answer:","['Open water', 'Clownfish', 'Anemones', 'Salmon']","Clownfish, Open water","['Clownfish', 'Open water']","['P', 'not_Q']",CORRECT,232,6,0
