Rule Text,JSON Mapping,claude-sonnet-4.6_responses,claude-sonnet-4.6_categories,claude-sonnet-4.6_card_orders,grok-4.1-fast_responses,grok-4.1-fast_categories,grok-4.1-fast_card_orders,gpt-5.2_responses,gpt-5.2_categories,gpt-5.2_card_orders
"If the animal is an Elephant, then it has a Trunk.","{'Elephant': 'P', 'Rhino': 'not_P', 'Trunk': 'Q', 'No trunk': 'not_Q'}","[['No trunk', 'Elephant'], ['Elephant', 'No trunk'], ['No trunk', 'Elephant'], ['No trunk', 'Elephant'], ['Elephant', 'No trunk']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['Trunk', 'Rhino', 'No trunk', 'Elephant'], ['Elephant', 'No trunk', 'Trunk', 'Rhino'], ['No trunk', 'Elephant', 'Rhino', 'Trunk'], ['No trunk', 'Trunk', 'Rhino', 'Elephant'], ['Trunk', 'Elephant', 'No trunk', 'Rhino']]","[['Elephant', 'No trunk'], ['Elephant', 'No trunk'], ['Elephant', 'No trunk'], ['Elephant', 'No trunk'], ['Elephant', 'No trunk']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['Trunk', 'Rhino', 'No trunk', 'Elephant'], ['Elephant', 'No trunk', 'Trunk', 'Rhino'], ['No trunk', 'Elephant', 'Rhino', 'Trunk'], ['No trunk', 'Trunk', 'Rhino', 'Elephant'], ['Trunk', 'Elephant', 'No trunk', 'Rhino']]","[['Trunk', 'No trunk', 'Elephant'], ['Elephant', 'No trunk'], ['Elephant', 'No trunk'], ['No trunk', 'Elephant'], ['Elephant', 'No trunk']]","['OVER_SELECTION', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['Trunk', 'Rhino', 'No trunk', 'Elephant'], ['Elephant', 'No trunk', 'Trunk', 'Rhino'], ['No trunk', 'Elephant', 'Rhino', 'Trunk'], ['No trunk', 'Trunk', 'Rhino', 'Elephant'], ['Trunk', 'Elephant', 'No trunk', 'Rhino']]"
"If the fish is a Clownfish, then it lives near Anemones.","{'Clownfish': 'P', 'Salmon': 'not_P', 'Anemones': 'Q', 'Open water': 'not_Q'}","[['Clownfish', 'Open water'], ['Clownfish', 'Open water'], ['Clownfish', 'Open water'], ['Clownfish', 'Anemones'], ['Clownfish', 'Open water']]","['CORRECT', 'CORRECT', 'CORRECT', 'MATCHING_BIAS', 'CORRECT']","[['Clownfish', 'Anemones', 'Salmon', 'Open water'], ['Open water', 'Clownfish', 'Salmon', 'Anemones'], ['Salmon', 'Clownfish', 'Open water', 'Anemones'], ['Open water', 'Salmon', 'Anemones', 'Clownfish'], ['Open water', 'Clownfish', 'Anemones', 'Salmon']]","[['Clownfish', 'Salmon'], ['Clownfish', 'Salmon'], ['Clownfish', 'Open water'], ['Clownfish', 'Open water'], ['Clownfish', 'Open water']]","['LOGIC_ERROR', 'LOGIC_ERROR', 'CORRECT', 'CORRECT', 'CORRECT']","[['Clownfish', 'Anemones', 'Salmon', 'Open water'], ['Open water', 'Clownfish', 'Salmon', 'Anemones'], ['Salmon', 'Clownfish', 'Open water', 'Anemones'], ['Open water', 'Salmon', 'Anemones', 'Clownfish'], ['Open water', 'Clownfish', 'Anemones', 'Salmon']]","[['Clownfish', 'Open water'], ['Clownfish', 'Open water'], ['Clownfish', 'Open water'], ['Anemones', 'Clownfish'], ['Clownfish', 'Open water']]","['CORRECT', 'CORRECT', 'CORRECT', 'MATCHING_BIAS', 'CORRECT']","[['Clownfish', 'Anemones', 'Salmon', 'Open water'], ['Open water', 'Clownfish', 'Salmon', 'Anemones'], ['Salmon', 'Clownfish', 'Open water', 'Anemones'], ['Open water', 'Salmon', 'Anemones', 'Clownfish'], ['Open water', 'Clownfish', 'Anemones', 'Salmon']]"
"If the metal is Silver, then it conducts Electricity.","{'Silver': 'P', 'Wood': 'not_P', 'Conducts electricity': 'Q', 'Does not conduct': 'not_Q'}","[[""'Silver'"", ""'Does not conduct'""], ['Silver', 'Does not conduct'], ['Does not conduct', 'Silver'], [""'Does not conduct'"", ""'Silver'""], ['Silver', 'Does not conduct']]","['NOISE', 'CORRECT', 'CORRECT', 'NOISE', 'CORRECT']","[['Wood', 'Does not conduct', 'Conducts electricity', 'Silver'], ['Wood', 'Does not conduct', 'Silver', 'Conducts electricity'], ['Does not conduct', 'Silver', 'Wood', 'Conducts electricity'], ['Does not conduct', 'Wood', 'Conducts electricity', 'Silver'], ['Conducts electricity', 'Wood', 'Silver', 'Does not conduct']]","[['Silver', 'Does not conduct'], ['Silver', 'Does not conduct'], ['Silver', 'Does not conduct'], ['Conducts electricity', 'Silver'], ['Silver', 'Does not conduct']]","['CORRECT', 'CORRECT', 'CORRECT', 'MATCHING_BIAS', 'CORRECT']","[['Wood', 'Does not conduct', 'Conducts electricity', 'Silver'], ['Wood', 'Does not conduct', 'Silver', 'Conducts electricity'], ['Does not conduct', 'Silver', 'Wood', 'Conducts electricity'], ['Does not conduct', 'Wood', 'Conducts electricity', 'Silver'], ['Conducts electricity', 'Wood', 'Silver', 'Does not conduct']]","[['Silver', 'Does not conduct'], ['Silver', 'Does not conduct'], ['Does not conduct', 'Silver'], ['Silver', 'Does not conduct'], ['Silver', 'Does not conduct']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['Wood', 'Does not conduct', 'Conducts electricity', 'Silver'], ['Wood', 'Does not conduct', 'Silver', 'Conducts electricity'], ['Does not conduct', 'Silver', 'Wood', 'Conducts electricity'], ['Does not conduct', 'Wood', 'Conducts electricity', 'Silver'], ['Conducts electricity', 'Wood', 'Silver', 'Does not conduct']]"
"If the fruit is a Banana, then the peel is Yellow.","{'Banana': 'P', 'Kiwi': 'not_P', 'Yellow': 'Q', 'Brown': 'not_Q'}","[['Banana', 'Brown'], ['Banana', 'Brown'], ['Banana', 'Brown'], ['Banana', 'Brown'], ['Banana', 'Brown']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['Brown', 'Kiwi', 'Banana', 'Yellow'], ['Banana', 'Yellow', 'Brown', 'Kiwi'], ['Banana', 'Brown', 'Yellow', 'Kiwi'], ['Brown', 'Banana', 'Kiwi', 'Yellow'], ['Kiwi', 'Banana', 'Yellow', 'Brown']]","[['Banana', 'Brown'], ['Banana', 'Brown'], ['Banana', 'Yellow'], ['Banana', 'Brown'], ['Banana', 'Yellow']]","['CORRECT', 'CORRECT', 'MATCHING_BIAS', 'CORRECT', 'MATCHING_BIAS']","[['Brown', 'Kiwi', 'Banana', 'Yellow'], ['Banana', 'Yellow', 'Brown', 'Kiwi'], ['Banana', 'Brown', 'Yellow', 'Kiwi'], ['Brown', 'Banana', 'Kiwi', 'Yellow'], ['Kiwi', 'Banana', 'Yellow', 'Brown']]","[['Banana', 'Brown'], ['Banana', 'Brown'], ['Banana', 'Brown'], ['Banana', 'Brown'], ['Banana', 'Brown']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['Brown', 'Kiwi', 'Banana', 'Yellow'], ['Banana', 'Yellow', 'Brown', 'Kiwi'], ['Banana', 'Brown', 'Yellow', 'Kiwi'], ['Brown', 'Banana', 'Kiwi', 'Yellow'], ['Kiwi', 'Banana', 'Yellow', 'Brown']]"
"If the animal is a Crocodile, then it is Cold-blooded.","{'Crocodile': 'P', 'Lion': 'not_P', 'Cold-blooded': 'Q', 'Warm-blooded': 'not_Q'}","[['Crocodile', 'Warm-blooded'], ['Crocodile', 'Warm-blooded'], ['Crocodile', 'Warm-blooded'], ['Cold-blooded', 'Crocodile'], ['Crocodile', 'Warm-blooded']]","['CORRECT', 'CORRECT', 'CORRECT', 'MATCHING_BIAS', 'CORRECT']","[['Cold-blooded', 'Crocodile', 'Warm-blooded', 'Lion'], ['Lion', 'Cold-blooded', 'Crocodile', 'Warm-blooded'], ['Crocodile', 'Cold-blooded', 'Warm-blooded', 'Lion'], ['Lion', 'Warm-blooded', 'Cold-blooded', 'Crocodile'], ['Lion', 'Crocodile', 'Cold-blooded', 'Warm-blooded']]","[['Crocodile', 'Warm-blooded'], ['Crocodile', 'Warm-blooded'], ['Crocodile', 'Warm-blooded'], ['Crocodile', 'Warm-blooded'], ['Crocodile', 'Warm-blooded']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['Cold-blooded', 'Crocodile', 'Warm-blooded', 'Lion'], ['Lion', 'Cold-blooded', 'Crocodile', 'Warm-blooded'], ['Crocodile', 'Cold-blooded', 'Warm-blooded', 'Lion'], ['Lion', 'Warm-blooded', 'Cold-blooded', 'Crocodile'], ['Lion', 'Crocodile', 'Cold-blooded', 'Warm-blooded']]","[['Crocodile', 'Warm-blooded'], ['Crocodile', 'Warm-blooded'], ['Crocodile', 'Warm-blooded'], ['Crocodile', 'Warm-blooded'], ['Crocodile', 'Warm-blooded']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['Cold-blooded', 'Crocodile', 'Warm-blooded', 'Lion'], ['Lion', 'Cold-blooded', 'Crocodile', 'Warm-blooded'], ['Crocodile', 'Cold-blooded', 'Warm-blooded', 'Lion'], ['Lion', 'Warm-blooded', 'Cold-blooded', 'Crocodile'], ['Lion', 'Crocodile', 'Cold-blooded', 'Warm-blooded']]"
"If the vehicle is a Car, then the fuel is Gas.","{'Car': 'P', 'Bike': 'not_P', 'Gas': 'Q', 'Electric': 'not_Q'}","[['Car', 'Gas'], ['Gas', 'Car'], ['Car', 'Gas'], ['Car', 'Electric'], ['**Car', 'Electric**']]","['MATCHING_BIAS', 'MATCHING_BIAS', 'MATCHING_BIAS', 'CORRECT', 'NOISE']","[['Car', 'Electric', 'Gas', 'Bike'], ['Electric', 'Gas', 'Bike', 'Car'], ['Gas', 'Electric', 'Car', 'Bike'], ['Bike', 'Car', 'Electric', 'Gas'], ['Car', 'Electric', 'Bike', 'Gas']]","[['Car', 'Electric'], ['Car', 'Electric'], ['Car', 'Electric'], ['Car', 'Electric'], ['Car', 'Electric']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['Car', 'Electric', 'Gas', 'Bike'], ['Electric', 'Gas', 'Bike', 'Car'], ['Gas', 'Electric', 'Car', 'Bike'], ['Bike', 'Car', 'Electric', 'Gas'], ['Car', 'Electric', 'Bike', 'Gas']]","[['Car', 'Electric'], ['Gas', 'Car'], ['Gas', 'Bike'], ['Car', 'Electric'], ['Car', 'Electric']]","['CORRECT', 'MATCHING_BIAS', 'LOGIC_ERROR', 'CORRECT', 'CORRECT']","[['Car', 'Electric', 'Gas', 'Bike'], ['Electric', 'Gas', 'Bike', 'Car'], ['Gas', 'Electric', 'Car', 'Bike'], ['Bike', 'Car', 'Electric', 'Gas'], ['Car', 'Electric', 'Bike', 'Gas']]"
"If the month is June, then the season is Summer.","{'June': 'P', 'December': 'not_P', 'Summer': 'Q', 'Winter': 'not_Q'}","[['June', 'Summer'], ['June', 'Winter'], ['June', 'Summer'], ['June', 'Summer'], ['June', 'Winter']]","['MATCHING_BIAS', 'CORRECT', 'MATCHING_BIAS', 'MATCHING_BIAS', 'CORRECT']","[['Summer', 'December', 'Winter', 'June'], ['June', 'December', 'Summer', 'Winter'], ['Winter', 'June', 'December', 'Summer'], ['December', 'Winter', 'Summer', 'June'], ['June', 'Winter', 'Summer', 'December']]","[['June', 'Winter'], ['June', 'Winter'], ['June', 'Winter'], ['June', 'Winter'], ['June', 'Winter']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['Summer', 'December', 'Winter', 'June'], ['June', 'December', 'Summer', 'Winter'], ['Winter', 'June', 'December', 'Summer'], ['December', 'Winter', 'Summer', 'June'], ['June', 'Winter', 'Summer', 'December']]","[['Summer', 'June'], ['June', 'Winter'], ['June', 'Winter'], ['June', 'Winter'], ['June', 'Winter']]","['MATCHING_BIAS', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['Summer', 'December', 'Winter', 'June'], ['June', 'December', 'Summer', 'Winter'], ['Winter', 'June', 'December', 'Summer'], ['December', 'Winter', 'Summer', 'June'], ['June', 'Winter', 'Summer', 'December']]"
"If the tool is a Hammer, then the handle is Wood.","{'Hammer': 'P', 'Wrench': 'not_P', 'Wood': 'Q', 'Metal': 'not_Q'}","[['Hammer', 'Metal'], ['Hammer', 'Metal'], ['Wood', 'Hammer'], ['Hammer', 'Metal'], ['Wood', 'Hammer']]","['CORRECT', 'CORRECT', 'MATCHING_BIAS', 'CORRECT', 'MATCHING_BIAS']","[['Metal', 'Hammer', 'Wood', 'Wrench'], ['Wrench', 'Wood', 'Metal', 'Hammer'], ['Wood', 'Wrench', 'Metal', 'Hammer'], ['Hammer', 'Metal', 'Wood', 'Wrench'], ['Metal', 'Wrench', 'Wood', 'Hammer']]","[['Hammer', 'Wood'], ['Hammer', 'Wood'], ['Hammer', 'Wrench'], ['Hammer', 'Wood'], ['Hammer', 'Wood']]","['MATCHING_BIAS', 'MATCHING_BIAS', 'LOGIC_ERROR', 'MATCHING_BIAS', 'MATCHING_BIAS']","[['Metal', 'Hammer', 'Wood', 'Wrench'], ['Wrench', 'Wood', 'Metal', 'Hammer'], ['Wood', 'Wrench', 'Metal', 'Hammer'], ['Hammer', 'Metal', 'Wood', 'Wrench'], ['Metal', 'Wrench', 'Wood', 'Hammer']]","[['Hammer', 'Metal'], ['Hammer', 'Metal'], ['Hammer', 'Metal'], ['Hammer', 'Metal'], ['Hammer', 'Wood']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'MATCHING_BIAS']","[['Metal', 'Hammer', 'Wood', 'Wrench'], ['Wrench', 'Wood', 'Metal', 'Hammer'], ['Wood', 'Wrench', 'Metal', 'Hammer'], ['Hammer', 'Metal', 'Wood', 'Wrench'], ['Metal', 'Wrench', 'Wood', 'Hammer']]"
"If the liquid is Lava, then the temperature is Extremely hot.","{'Lava': 'P', 'Water': 'not_P', 'Extremely hot': 'Q', 'Room temperature': 'not_Q'}","[['Lava', 'Room temperature'], ['Lava', 'Room temperature'], ['Lava', 'Room temperature'], ['Lava', 'Room temperature'], ['Lava', 'Room temperature']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['Extremely hot', 'Water', 'Lava', 'Room temperature'], ['Water', 'Lava', 'Extremely hot', 'Room temperature'], ['Lava', 'Room temperature', 'Water', 'Extremely hot'], ['Lava', 'Water', 'Extremely hot', 'Room temperature'], ['Room temperature', 'Lava', 'Extremely hot', 'Water']]","[['Lava', 'Room temperature'], ['Lava', 'Room temperature'], ['Lava', 'Room temperature'], ['Lava', 'Room temperature'], ['Lava', 'Extremely hot']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'MATCHING_BIAS']","[['Extremely hot', 'Water', 'Lava', 'Room temperature'], ['Water', 'Lava', 'Extremely hot', 'Room temperature'], ['Lava', 'Room temperature', 'Water', 'Extremely hot'], ['Lava', 'Water', 'Extremely hot', 'Room temperature'], ['Room temperature', 'Lava', 'Extremely hot', 'Water']]","[['Lava', 'Room temperature'], ['Lava', 'Room temperature'], ['Lava', 'Room temperature'], ['Lava', 'Room temperature'], ['Lava', 'Room temperature']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['Extremely hot', 'Water', 'Lava', 'Room temperature'], ['Water', 'Lava', 'Extremely hot', 'Room temperature'], ['Lava', 'Room temperature', 'Water', 'Extremely hot'], ['Lava', 'Water', 'Extremely hot', 'Room temperature'], ['Room temperature', 'Lava', 'Extremely hot', 'Water']]"
"If the animal is a Hedgehog, then it has Spines.","{'Hedgehog': 'P', 'Squirrel': 'not_P', 'Spines': 'Q', 'Fur': 'not_Q'}","[['Hedgehog', 'Fur'], ['**Hedgehog**'], ['Hedgehog', 'Fur'], ['Hedgehog', 'Fur'], ['Hedgehog', 'Fur']]","['CORRECT', 'NOISE', 'CORRECT', 'CORRECT', 'CORRECT']","[['Hedgehog', 'Squirrel', 'Fur', 'Spines'], ['Spines', 'Hedgehog', 'Fur', 'Squirrel'], ['Hedgehog', 'Fur', 'Squirrel', 'Spines'], ['Hedgehog', 'Squirrel', 'Spines', 'Fur'], ['Squirrel', 'Hedgehog', 'Spines', 'Fur']]","[['Hedgehog', 'Squirrel'], ['Hedgehog', 'Fur'], ['Hedgehog', 'Squirrel'], ['Hedgehog', 'Squirrel'], ['Hedgehog', 'Spines']]","['LOGIC_ERROR', 'CORRECT', 'LOGIC_ERROR', 'LOGIC_ERROR', 'MATCHING_BIAS']","[['Hedgehog', 'Squirrel', 'Fur', 'Spines'], ['Spines', 'Hedgehog', 'Fur', 'Squirrel'], ['Hedgehog', 'Fur', 'Squirrel', 'Spines'], ['Hedgehog', 'Squirrel', 'Spines', 'Fur'], ['Squirrel', 'Hedgehog', 'Spines', 'Fur']]","[['Hedgehog', 'Fur'], ['Hedgehog', 'Fur'], ['Hedgehog', 'Fur'], ['Hedgehog', 'Fur'], ['Hedgehog', 'Fur']]","['CORRECT', 'CORRECT', 'CORRECT', 'CORRECT', 'CORRECT']","[['Hedgehog', 'Squirrel', 'Fur', 'Spines'], ['Spines', 'Hedgehog', 'Fur', 'Squirrel'], ['Hedgehog', 'Fur', 'Squirrel', 'Spines'], ['Hedgehog', 'Squirrel', 'Spines', 'Fur'], ['Squirrel', 'Hedgehog', 'Spines', 'Fur']]"
